Store Number,Footage,"
16"" Shelves"," 
1x48 Snap Rail","
Snap Rail Pegs 8"""
3641,40FT,7,10,87
3644,40FT,7,10,87
3693,40FT,7,10,87
3749,40FT,7,10,87
3750,40FT,7,10,87
3760,40FT,7,10,87
3764,40FT,7,10,87
3789,40FT,7,10,87
3835,40FT,7,10,87
3840,40FT,7,10,87
3847,40FT,7,10,87
3850,40FT,7,10,87
3857,40FT,7,10,87
3893,40FT,7,10,87
4112,40FT,7,10,87
4115,40FT,7,10,87
4118,40FT,7,10,87
4201,40FT,7,10,87
4216,40FT,7,10,87
4231,40FT,7,10,87
4243,40FT,7,10,87
4258,40FT,7,10,87
4260,40FT,7,10,87
4262,40FT,7,10,87
4288,40FT,7,10,87
4350,40FT,7,10,87
4356,40FT,7,10,87
4370,40FT,7,10,87
4374,40FT,7,10,87
4384,40FT,7,10,87
4387,40FT,7,10,87
4389,40FT,7,10,87
4412,40FT,7,10,87
4417,40FT,7,10,87
4444,40FT,7,10,87
4456,40FT,7,10,87
4460,40FT,7,10,87
4476,40FT,7,10,87
4487,40FT,7,10,87
4497,40FT,7,10,87
4508,40FT,7,10,87
4520,40FT,7,10,87
4574,40FT,7,10,87
4611,40FT,7,10,87
4664,40FT,7,10,87
4678,40FT,7,10,87
4679,40FT,7,10,87
4865,40FT,7,10,87
5027,40FT,7,10,87
5037,40FT,7,10,87
5055,40FT,7,10,87
5056,40FT,7,10,87
5072,40FT,7,10,87
5091,40FT,7,10,87
5104,40FT,7,10,87
5118,40FT,7,10,87
5150,40FT,7,10,87
5175,40FT,7,10,87
5193,40FT,7,10,87
5195,40FT,7,10,87
5244,40FT,7,10,87
5246,40FT,7,10,87
5250,40FT,7,10,87
5253,40FT,7,10,87
5264,40FT,7,10,87
5285,40FT,7,10,87
5294,40FT,7,10,87
5298,40FT,7,10,87
5331,40FT,7,10,87
5379,40FT,7,10,87
5396,40FT,7,10,87
5410,40FT,7,10,87
5417,40FT,7,10,87
5428,40FT,7,10,87
5443,40FT,7,10,87
5449,40FT,7,10,87
5450,40FT,7,10,87
5455,40FT,7,10,87
5460,40FT,7,10,87
5472,40FT,7,10,87
5476,40FT,7,10,87
5479,40FT,7,10,87
5480,40FT,7,10,87
5672,40FT,7,10,87
5701,40FT,7,10,87
5703,40FT,7,10,87
5707,40FT,7,10,87
5728,40FT,7,10,87
5745,40FT,7,10,87
5808,40FT,7,10,87
5812,40FT,7,10,87
5814,40FT,7,10,87
5839,40FT,7,10,87
5844,40FT,7,10,87
5893,40FT,7,10,87
5992,40FT,7,10,87
6286,40FT,7,10,87
6300,40FT,7,10,87
6467,40FT,7,10,87
6477,40FT,7,10,87
6898,40FT,7,10,87
6929,40FT,7,10,87
6978,40FT,7,10,87
7294,40FT,7,10,87
9,44FT,8,10,87
46,44FT,8,10,87
54,44FT,8,10,87
69,44FT,8,10,87
75,44FT,8,10,87
103,44FT,8,10,87
140,44FT,8,10,87
163,44FT,8,10,87
219,44FT,8,10,87
220,44FT,8,10,87
243,44FT,8,10,87
258,44FT,8,10,87
272,44FT,8,10,87
275,44FT,8,10,87
297,44FT,8,10,87
299,44FT,8,10,87
301,44FT,8,10,87
304,44FT,8,10,87
307,44FT,8,10,87
310,44FT,8,10,87
331,44FT,8,10,87
335,44FT,8,10,87
351,44FT,8,10,87
369,44FT,8,10,87
376,44FT,8,10,87
381,44FT,8,10,87
391,44FT,8,10,87
427,44FT,8,10,87
451,44FT,8,10,87
462,44FT,8,10,87
475,44FT,8,10,87
491,44FT,8,10,87
499,44FT,8,10,87
505,44FT,8,10,87
535,44FT,8,10,87
548,44FT,8,10,87
554,44FT,8,10,87
579,44FT,8,10,87
588,44FT,8,10,87
601,44FT,8,10,87
603,44FT,8,10,87
608,44FT,8,10,87
632,44FT,8,10,87
639,44FT,8,10,87
640,44FT,8,10,87
641,44FT,8,10,87
651,44FT,8,10,87
657,44FT,8,10,87
664,44FT,8,10,87
670,44FT,8,10,87
671,44FT,8,10,87
680,44FT,8,10,87
682,44FT,8,10,87
685,44FT,8,10,87
690,44FT,8,10,87
694,44FT,8,10,87
711,44FT,8,10,87
716,44FT,8,10,87
720,44FT,8,10,87
729,44FT,8,10,87
745,44FT,8,10,87
746,44FT,8,10,87
753,44FT,8,10,87
755,44FT,8,10,87
769,44FT,8,10,87
774,44FT,8,10,87
786,44FT,8,10,87
810,44FT,8,10,87
818,44FT,8,10,87
828,44FT,8,10,87
836,44FT,8,10,87
849,44FT,8,10,87
878,44FT,8,10,87
880,44FT,8,10,87
890,44FT,8,10,87
896,44FT,8,10,87
904,44FT,8,10,87
905,44FT,8,10,87
923,44FT,8,10,87
942,44FT,8,10,87
965,44FT,8,10,87
969,44FT,8,10,87
982,44FT,8,10,87
990,44FT,8,10,87
1016,44FT,8,10,87
1019,44FT,8,10,87
1026,44FT,8,10,87
1034,44FT,8,10,87
1035,44FT,8,10,87
1041,44FT,8,10,87
1066,44FT,8,10,87
1071,44FT,8,10,87
1081,44FT,8,10,87
1082,44FT,8,10,87
1091,44FT,8,10,87
1104,44FT,8,10,87
1132,44FT,8,10,87
1146,44FT,8,10,87
1152,44FT,8,10,87
1156,44FT,8,10,87
1196,44FT,8,10,87
1200,44FT,8,10,87
1213,44FT,8,10,87
1218,44FT,8,10,87
1231,44FT,8,10,87
1241,44FT,8,10,87
1254,44FT,8,10,87
1264,44FT,8,10,87
1280,44FT,8,10,87
1302,44FT,8,10,87
1304,44FT,8,10,87
1311,44FT,8,10,87
1315,44FT,8,10,87
1321,44FT,8,10,87
1326,44FT,8,10,87
1339,44FT,8,10,87
1341,44FT,8,10,87
1350,44FT,8,10,87
1351,44FT,8,10,87
1353,44FT,8,10,87
1358,44FT,8,10,87
1362,44FT,8,10,87
1367,44FT,8,10,87
1374,44FT,8,10,87
1387,44FT,8,10,87
1419,44FT,8,10,87
1430,44FT,8,10,87
1433,44FT,8,10,87
1463,44FT,8,10,87
1465,44FT,8,10,87
1473,44FT,8,10,87
1477,44FT,8,10,87
1479,44FT,8,10,87
1488,44FT,8,10,87
1495,44FT,8,10,87
1507,44FT,8,10,87
1523,44FT,8,10,87
1525,44FT,8,10,87
1541,44FT,8,10,87
1543,44FT,8,10,87
1556,44FT,8,10,87
1565,44FT,8,10,87
1595,44FT,8,10,87
1608,44FT,8,10,87
1619,44FT,8,10,87
1622,44FT,8,10,87
