Store Number,Patio Set Week,Parking Lot Set
1735,7,7
1736,6,6
1737,7,7
1738,12,12
1739,7,7
1740,7,7
1741,6,6
1742,8,8
1743,6,6
1744,10,10
1745,6,6
1746,52,No Set
1747,52,No Set
1748,52,52
1749,8,8
1750,7,7
1751,4,No Set
1752,7,7
1753,8,8
1754,7,7
1755,1,1
1756,52,No Set
1757,13,13
1758,6,6
1759,5,5
1760,52,52
1761,4,4
1762,8,No Set
1763,8,8
1764,7,7
1765,7,7
1766,6,6
1767,52,52
1768,11,11
1769,7,7
1770,7,7
1771,7,7
1772,7,7
1773,5,5
1774,2,No Set
1775,3,3
1776,8,8
1777,6,6
1778,13,13
1779,7,7
1780,8,8
1781,8,8
1782,8,8
1783,5,5
1784,3,3
1785,8,8
1786,9,No Set
1787,7,7
1788,7,No Set
1789,1,1
1790,7,7
1791,7,7
1792,7,7
1793,2,2
1794,7,7
1795,5,5
1796,8,8
1797,8,8
1798,7,7
1799,8,8
1800,52,No Set
1801,1,1
1802,5,5
1803,52,52
1804,7,7
1805,52,No Set
1806,10,10
1807,8,8
1808,15,15
1809,7,7
1810,9,9
1811,5,No Set
1812,8,8
1813,10,10
1814,7,7
1815,1,No Set
1816,4,4
1817,4,4
1819,9,9
1820,7,7
1821,4,No Set
1823,6,6
1825,4,4
1826,4,4
1827,15,15
1828,9,9
1829,4,4
1830,10,10
1831,10,10
1832,52,No Set
1833,6,6
1834,3,3
1835,10,10
1836,7,7
1837,52,52
1838,52,No Set
1839,9,9
1840,1,1
1841,3,3
1842,6,No Set
1843,3,3
1844,8,8
1845,52,No Set
1846,4,No Set
1847,52,No Set
1848,7,7
1849,6,6
1850,6,6
1851,49,No Set
1852,4,4
1853,2,2
1855,12,No Set
1856,7,7
1857,9,9
1858,12,12
1859,52,No Set
1860,7,No Set
1861,9,No Set
1862,52,No Set
1863,9,9
1864,9,No Set
1865,9,9
1866,8,8
1867,7,7
1868,7,7
1869,8,8
1870,5,5
1871,10,10
1872,13,13
1873,8,8
1874,52,52
1875,7,7
1876,3,3
1877,2,2
1878,13,13
1879,52,52
1880,3,3
1881,52,52
1882,4,4
1883,7,7
1884,7,7
1885,7,7
1886,6,6
1887,7,7
1888,13,13
1889,7,7
1890,7,No Set
1891,8,No Set
1892,7,7
1893,7,No Set
1894,9,9
1895,6,6
1896,13,13
1897,7,7
1898,7,7
1899,52,52
1900,11,11
1901,15,15
1902,13,13
1903,6,6
1904,6,6
1905,13,13
1906,8,No Set
1907,8,8
1908,9,9
1909,8,No Set
1910,1,1
1911,8,8
1912,52,No Set
1913,7,7
1914,52,No Set
1915,1,1
1916,52,No Set
1917,4,4
1918,8,8
1919,8,8
1920,3,3
1921,6,6
1922,52,52
1923,7,7
1924,8,8
1925,3,3
1926,10,10
1927,7,No Set
1928,7,No Set
1929,13,13
1930,8,8
1931,9,9
1932,8,8
1933,7,7
1934,6,6
1935,7,7
1936,7,7
1937,8,8
1938,5,No Set
1939,8,8
1940,9,9
1941,52,52
1942,5,No Set
1943,11,11
1945,7,7
1946,10,10
1947,7,7
1948,8,8
1949,10,10
1950,3,3
1951,8,8
1952,9,No Set
1953,6,No Set
1954,8,8
1955,7,7
1956,11,11
1957,52,No Set
1958,52,No Set
1959,7,No Set
1960,49,No Set
1961,4,4
1962,5,5
1963,4,4
1964,8,8
1965,11,11
1966,10,10
1967,7,No Set
1968,7,7
1969,6,6
1970,7,7
1971,12,12
1972,1,1
1973,10,10
1974,8,8
1975,8,8
1976,10,10
1977,8,8
1978,7,7
1979,52,52
1980,8,8
1981,7,7
1982,9,9
1983,52,52
1984,8,8
1985,7,No Set
1986,6,6
1987,7,7
1988,1,1
1989,1,No Set
1990,6,6
1991,5,No Set
1992,52,No Set
1993,10,10
1994,10,10
1995,13,13
1996,49,No Set
1997,9,9
1998,5,No Set
1999,12,12
2000,3,No Set
2001,1,1
2002,2,2
2003,6,No Set
2004,7,7
2005,6,6
2006,4,4
2007,4,4
2008,7,7
2009,6,No Set
2010,5,5
2012,8,8
2013,8,8
2014,7,7
2015,6,6
2016,7,7
2019,7,7
2020,6,6
2021,8,8
2022,8,8
2023,6,6
2024,7,7
2025,4,4
2027,7,No Set
2028,52,52
2030,4,No Set
2031,2,No Set
2032,52,No Set
2033,13,13
2035,6,6
2036,8,8
2037,3,3
2038,6,6
