Store Number,Outpost in Week 20,Outpost in March,Had an Outpost,Have an Organic Table,Have a Nut Rack,
4365,,Yes,,Yes,,
4368,,,Yes,Yes,Yes,
4370,Yes,,,Yes,,
2275,Yes,,,,,
4325,Yes,,,,,
3516,Yes,,,,,
4378,Yes,,,Yes,,
4381,Yes,,,Yes,Yes,
4459,Yes,,,,,
4384,Yes,,,Yes,,
4387,,,Yes,Yes,Yes,
3749,,,Yes,,,
4393,Yes,,,Yes,,
4394,,,Yes,Yes,,
4395,,,Yes,Yes,,
4372,,,Yes,,,
4403,Yes,,,Yes,,
4404,,,Yes,Yes,,
4405,Yes,,,Yes,,
4407,,,Yes,Yes,Yes,
4409,Yes,,,,,
4410,Yes,,,Yes,,
4412,Yes,,,Yes,,
4414,,,Yes,,,
4416,Yes,,,,,
4417,Yes,,,Yes,,
4420,Yes,,,Yes,,
4423,,,Yes,Yes,Yes,
4424,Yes,,,Yes,,
4427,,Yes,,Yes,,
4430,Yes,,,Yes,,
4435,,,Yes,Yes,,
4436,,Yes,,Yes,,
4438,Yes,,,Yes,Yes,
4439,Yes,,,Yes,,
4440,Yes,,,Yes,,
4444,,Yes,,Yes,,
4446,,,Yes,Yes,,
4450,Yes,,,Yes,Yes,
4451,Yes,,,Yes,Yes,
4456,,,Yes,Yes,,
4458,Yes,,,Yes,,
2730,Yes,,,,,
4460,,Yes,,Yes,Yes,
3758,Yes,,,,,
4472,,Yes,,Yes,,
4474,Yes,,,Yes,Yes,
4475,,,Yes,Yes,Yes,
4476,Yes,,,Yes,Yes,
4477,Yes,,,Yes,,
5787,Yes,,,,,
4482,Yes,,,Yes,Yes,
4483,,,Yes,Yes,,
4484,Yes,,,Yes,,
4487,Yes,,,Yes,,
4488,,,Yes,Yes,,
4497,,Yes,,Yes,Yes,
4499,Yes,,,Yes,,
4501,Yes,,,Yes,Yes,
4503,,,Yes,,,
4506,Yes,,,Yes,,
4508,Yes,,,,,
4509,,,Yes,Yes,Yes,
4511,Yes,,,Yes,,
4512,Yes,,,,,
4514,Yes,,,Yes,,
4520,,,Yes,Yes,Yes,
4521,Yes,,,Yes,Yes,
4526,Yes,,,,,
4529,Yes,,,Yes,Yes,
4531,Yes,,,Yes,Yes,
4533,Yes,,,,,
4538,Yes,,,,,
4540,Yes,,,Yes,,
4479,Yes,,,,,
4553,Yes,,,Yes,,
4554,Yes,,,,,
5134,Yes,,,,,
4557,Yes,,,Yes,,
4558,,Yes,,Yes,,
4564,Yes,,,Yes,Yes,
4567,Yes,,,Yes,Yes,
4639,Yes,,,,,
4543,Yes,,,,,
4574,Yes,,,Yes,Yes,
4581,,Yes,,Yes,,
4583,Yes,,,Yes,,
4588,,,Yes,Yes,Yes,
4590,,,Yes,Yes,,
4593,,,Yes,Yes,Yes,
4556,Yes,,,,,
4597,Yes,,,Yes,,
4599,Yes,,,Yes,Yes,
4600,Yes,,,Yes,Yes,
4601,Yes,,,,,
978,Yes,,,,,
3305,Yes,,,,,
4611,Yes,,,Yes,,
4612,Yes,,,Yes,,
4615,Yes,,,Yes,Yes,
4616,Yes,,,Yes,,
4621,Yes,,,,,
4623,Yes,,,Yes,Yes,
4627,Yes,,,Yes,,
4631,Yes,,,Yes,Yes,
4635,Yes,,,Yes,,
2293,Yes,,,,,
4637,Yes,,,Yes,,
4638,Yes,,,Yes,,
5023,,,Yes,,,
4641,,,Yes,Yes,Yes,
4643,Yes,,,Yes,Yes,
4644,Yes,,,Yes,Yes,
4653,Yes,,,Yes,Yes,
4660,Yes,,,Yes,Yes,
4664,Yes,,,Yes,,
4677,Yes,,,Yes,,
4678,Yes,,,Yes,Yes,
4679,Yes,,,Yes,,
4681,,,Yes,Yes,,
4682,Yes,,,Yes,,
4683,Yes,,,Yes,Yes,
4687,,,Yes,Yes,Yes,
4689,,,Yes,Yes,,
4690,,,Yes,Yes,Yes,
4695,Yes,,,Yes,Yes,
4696,Yes,,,Yes,,
4697,Yes,,,Yes,Yes,
1010,Yes,,,,,
2842,Yes,,,,,
4865,,,Yes,Yes,Yes,
5003,Yes,,,,,
5012,Yes,,,Yes,,
5022,Yes,,,Yes,Yes,
1288,Yes,,,,,
5025,,,Yes,Yes,,
5027,Yes,,,Yes,,
1142,Yes,,,,,
5029,Yes,,,Yes,,
5030,Yes,,,Yes,Yes,
5031,Yes,,,Yes,Yes,
5033,Yes,,,Yes,,
5034,,Yes,,Yes,Yes,
5035,,Yes,,Yes,Yes,
5036,,,Yes,Yes,Yes,
5037,,Yes,,Yes,,
5039,Yes,,,Yes,,
5041,Yes,,,Yes,Yes,
5766,,,Yes,,,
5045,Yes,,,Yes,Yes,
5046,Yes,,,Yes,Yes,
5049,Yes,,,Yes,,
5051,Yes,,,Yes,,
5054,,Yes,,Yes,,
5055,,Yes,,Yes,Yes,
5056,Yes,,,Yes,,
5057,,Yes,,Yes,Yes,
5058,,,Yes,Yes,Yes,
5060,Yes,,,Yes,Yes,
5063,Yes,,,Yes,,
2117,,,Yes,,,
5065,Yes,,,Yes,,
5066,Yes,,,Yes,Yes,
5070,Yes,,,Yes,Yes,
5071,Yes,,,Yes,Yes,
5075,Yes,,,Yes,,
5076,Yes,,,Yes,,
5078,Yes,,,Yes,Yes,
5079,Yes,,,Yes,,
5080,Yes,,,Yes,Yes,
5082,Yes,,,Yes,,
5085,,,Yes,Yes,,
5087,,,Yes,Yes,Yes,
5088,Yes,,,Yes,Yes,
5090,Yes,,,Yes,,
5091,,,Yes,Yes,,
5092,Yes,,,Yes,Yes,
5095,,,Yes,Yes,Yes,
5096,Yes,,,Yes,,
5099,Yes,,,Yes,Yes,
5101,Yes,,,Yes,Yes,
2908,Yes,,,,,
5105,Yes,,,Yes,Yes,
5113,,Yes,,Yes,,
5115,Yes,,,Yes,,
5116,Yes,,,Yes,,
5117,Yes,,,Yes,,
5118,Yes,,,Yes,,
5123,,,Yes,Yes,Yes,
5124,Yes,,,,,
5126,Yes,,,,,
5127,Yes,,,Yes,,
5133,Yes,,,Yes,Yes,
1275,Yes,,,,,
5136,Yes,,,Yes,,
5137,Yes,,,Yes,Yes,
5139,Yes,,,Yes,,
5141,Yes,,,Yes,Yes,
5142,,,Yes,Yes,,
5144,Yes,,,,,
5145,Yes,,,,,
5146,Yes,,,,,
5147,Yes,,,,,
5150,Yes,,,Yes,Yes,
5151,,,Yes,Yes,Yes,
2664,Yes,,,,,
5155,Yes,,,,,
5156,Yes,,,Yes,,
5157,Yes,,,Yes,,
5159,Yes,,,Yes,Yes,
5160,Yes,,,Yes,,
5162,Yes,,,Yes,Yes,
5165,Yes,,,,,
5166,Yes,,,,,
5167,Yes,,,Yes,,
5168,Yes,,,Yes,,
1724,Yes,,,,,
5172,Yes,,,,,
5173,,,Yes,Yes,Yes,
5174,,Yes,,Yes,Yes,
5175,,,Yes,Yes,Yes,
5184,,,Yes,Yes,,
5185,Yes,,,Yes,,
5186,Yes,,,Yes,,
5189,,,Yes,,,
5190,Yes,,,Yes,,
5191,Yes,,,Yes,Yes,
5192,,,Yes,Yes,Yes,
2787,Yes,,,,Yes,
5196,,,Yes,,,
5197,,,Yes,Yes,,
5199,Yes,,,Yes,Yes,
4383,Yes,,,,Yes,
5210,Yes,,,Yes,Yes,
5211,,,Yes,Yes,Yes,
5214,,Yes,,Yes,Yes,
1718,Yes,,,,,
5216,,,Yes,Yes,Yes,
5218,,,Yes,Yes,Yes,
5220,Yes,,,,,
5231,Yes,,,Yes,,
5232,Yes,,,Yes,,
5233,Yes,,,Yes,,
5234,Yes,,,Yes,Yes,
5235,Yes,,,Yes,Yes,
5236,Yes,,,Yes,,
5239,Yes,,,Yes,,
5240,Yes,,,Yes,,
5241,Yes,,,Yes,,
5242,Yes,,,Yes,,
5244,,,Yes,Yes,Yes,
5245,Yes,,,,,
5246,Yes,,,,,
5247,,,Yes,Yes,Yes,
5250,Yes,,,,,
5251,,,Yes,Yes,Yes,
5252,,Yes,,Yes,,
5253,Yes,,,Yes,,
5254,Yes,,,Yes,,
5260,Yes,,,Yes,Yes,
5261,Yes,,,Yes,Yes,
5262,,Yes,,Yes,,
5263,Yes,,,Yes,Yes,
5264,,,Yes,Yes,Yes,
5266,,Yes,,Yes,Yes,
5270,Yes,,,Yes,Yes,
5272,Yes,,,Yes,,
5273,Yes,,,Yes,Yes,
5275,,Yes,,Yes,Yes,
5278,,,Yes,Yes,Yes,
5280,Yes,,,Yes,,
5282,Yes,,,Yes,,
5285,Yes,,,Yes,,
5287,Yes,,,Yes,,
5288,,,Yes,Yes,Yes,
5292,Yes,,,Yes,,
3248,Yes,,,,,
5295,,,Yes,Yes,,
5296,Yes,,,Yes,Yes,
5299,,Yes,,Yes,Yes,
5300,,Yes,,Yes,Yes,
5301,,Yes,,Yes,Yes,
5303,Yes,,,Yes,,
5307,Yes,,,Yes,Yes,
5309,Yes,,,Yes,Yes,
5311,,,Yes,Yes,,
5312,,,Yes,,,
5313,Yes,,,Yes,Yes,
5316,Yes,,,Yes,Yes,
5317,Yes,,,,,
5319,Yes,,,Yes,Yes,
5320,Yes,,,Yes,,
5325,,,Yes,Yes,,
5326,,Yes,,Yes,,
5329,Yes,,,Yes,,
5330,Yes,,,,,
5331,Yes,,,,,
5334,Yes,,,Yes,,
294,Yes,,,,,
5337,Yes,,,Yes,Yes,
5341,Yes,,,Yes,,
5343,Yes,,,Yes,Yes,
5346,Yes,,,Yes,Yes,
5347,,,Yes,Yes,,
5348,,Yes,,Yes,,
5350,Yes,,,Yes,,
5352,,,Yes,Yes,Yes,
3876,Yes,,,,,
5358,Yes,,,Yes,,
5359,,,Yes,Yes,Yes,
5361,Yes,,,Yes,Yes,
5363,,Yes,,Yes,Yes,
5368,Yes,,,Yes,,
5369,Yes,,,,,
5370,Yes,,,Yes,,
5373,Yes,,,Yes,,
1829,Yes,,,,,
5376,Yes,,,Yes,,
5379,Yes,,,Yes,Yes,
5382,Yes,,,Yes,,
1653,Yes,,,,,
2245,Yes,,,,,
5387,,,Yes,Yes,,
5388,Yes,,,Yes,,
5389,Yes,,,,,
5390,,Yes,,Yes,Yes,
5391,,Yes,,Yes,,
5392,Yes,,,,,
1938,Yes,,,,,
5396,Yes,,,Yes,,
5397,Yes,,,Yes,Yes,
5398,Yes,,,Yes,Yes,
5399,Yes,,,Yes,Yes,
5402,Yes,,,Yes,,
5403,Yes,,,Yes,Yes,
3151,,,Yes,,,
5410,Yes,,,Yes,Yes,
2447,,,Yes,,,
5414,Yes,,,Yes,,
5416,Yes,,,Yes,Yes,
5417,,,Yes,Yes,,
5418,Yes,,,Yes,Yes,
5419,,,Yes,Yes,,
5420,,Yes,,Yes,Yes,
5422,,Yes,,Yes,Yes,
5424,Yes,,,Yes,Yes,
2662,Yes,,,,,
5428,Yes,,,Yes,Yes,
5429,Yes,,,Yes,Yes,
5430,Yes,,,,,
5432,Yes,,,Yes,,
5433,,,Yes,Yes,,
2491,,,Yes,,,
5438,Yes,,,Yes,,
5439,,,Yes,Yes,,
5441,,,Yes,Yes,Yes,
5442,Yes,,,Yes,,
5443,Yes,,,Yes,Yes,
3747,Yes,,,,,
5445,Yes,,,Yes,,
5446,Yes,,,Yes,,
5447,Yes,,,Yes,Yes,
5649,Yes,,,,,
5449,,,Yes,Yes,,
5450,Yes,,,Yes,,
5455,,,Yes,Yes,,
5458,Yes,,,Yes,,
5460,Yes,,,,,
5461,Yes,,,Yes,,
5462,Yes,,,Yes,Yes,
5463,Yes,,,Yes,Yes,
5466,Yes,,,Yes,Yes,
5469,Yes,,,Yes,,
5471,Yes,,,Yes,Yes,
5472,Yes,,,Yes,Yes,
5476,Yes,,,Yes,Yes,
5477,Yes,,,Yes,,
5479,Yes,,,,,
5480,Yes,,,Yes,,
5481,Yes,,,Yes,,
5482,Yes,,,,,
5483,Yes,,,Yes,Yes,
5485,Yes,,,Yes,,
5486,Yes,,,Yes,Yes,
5487,Yes,,,Yes,,
5488,Yes,,,Yes,Yes,
5491,Yes,,,Yes,Yes,
5492,Yes,,,Yes,Yes,
5494,Yes,,,Yes,Yes,
5497,Yes,,,Yes,,
5498,Yes,,,Yes,,
1747,,,Yes,,,
5612,Yes,,,,,
5616,Yes,,,,,
5617,Yes,,,Yes,,
5626,Yes,,,,,
5628,Yes,,,Yes,,
1914,Yes,,,,,
5644,Yes,,,Yes,,
2357,,,Yes,,,
5667,,,Yes,Yes,Yes,
4609,Yes,,,,,
3436,,,Yes,,,
5671,Yes,,,,,
5672,Yes,,,Yes,Yes,
5673,Yes,,,Yes,,
5409,Yes,,,,,
5686,Yes,,,Yes,,
5703,,,Yes,Yes,,
5705,Yes,,,Yes,,
5706,,,Yes,Yes,Yes,
5707,,,Yes,Yes,Yes,
5709,,,Yes,Yes,,
5710,,,Yes,Yes,,
5713,,,Yes,,,
5717,Yes,,,,,
5727,,,Yes,Yes,,
5728,Yes,,,Yes,Yes,
5731,,,Yes,Yes,,
5732,Yes,,,Yes,,
5735,,Yes,,Yes,,
5743,Yes,,,Yes,,
5745,Yes,,,Yes,,
5747,Yes,,,Yes,,
5748,,,Yes,Yes,Yes,
1882,,,Yes,,,
5752,Yes,,,Yes,,
5753,,,Yes,Yes,,
5761,Yes,,,,,
5763,Yes,,,Yes,,
5764,,,Yes,Yes,Yes,
644,Yes,,,,,
5768,Yes,,,Yes,,
5772,,Yes,,Yes,Yes,
5777,,,Yes,Yes,Yes,
5779,Yes,,,Yes,Yes,
5786,,,Yes,,,
5215,Yes,,,,,
5795,Yes,,,Yes,,
5797,,,Yes,,,
5799,Yes,,,,,
2888,Yes,,,,,
3875,Yes,,,,,
5808,Yes,,,,,
5809,Yes,,,,,
5810,Yes,,,Yes,,
5812,,,Yes,Yes,,
5814,,,Yes,Yes,Yes,
5823,,,Yes,Yes,,
5835,Yes,,,Yes,,
5839,,,Yes,Yes,Yes,
5841,Yes,,,Yes,,
5842,Yes,,,Yes,,
5669,Yes,,,,,
5844,Yes,,,Yes,Yes,
5845,,Yes,,Yes,,
5847,Yes,,,Yes,,
5851,Yes,,,Yes,,
2909,Yes,,,,,
5854,,,Yes,,,
5857,Yes,,,Yes,,
5858,Yes,,,Yes,,
6394,Yes,,,,,
5864,Yes,,,Yes,,
5866,Yes,,,Yes,Yes,
5867,Yes,,,Yes,,
5871,,,Yes,Yes,,
5872,,Yes,,Yes,,
5879,,,Yes,Yes,Yes,
5880,Yes,,,Yes,,
5881,,,Yes,Yes,,
5882,,,Yes,Yes,Yes,
5883,,,Yes,Yes,,
5884,,,Yes,Yes,,
5807,Yes,,,,,
629,,,Yes,,,
5889,,,Yes,,,
5293,,,Yes,,,
5891,,,Yes,Yes,,
5893,Yes,,,Yes,Yes,
5894,,,Yes,Yes,,
5898,Yes,,,,,
5911,,Yes,,Yes,,
5912,,,Yes,,,
5922,Yes,,,Yes,,
1265,Yes,,,,,
5929,,,Yes,Yes,Yes,
5932,,,Yes,,,
5935,Yes,,,Yes,,
5936,,,Yes,Yes,,
5947,Yes,,,,,
5957,,,Yes,Yes,Yes,
5959,,,Yes,Yes,,
5964,,Yes,,Yes,Yes,
5965,Yes,,,Yes,,
5968,,,Yes,Yes,,
5969,Yes,,,Yes,,
5976,Yes,,,Yes,,
5977,Yes,,,Yes,,
5987,Yes,,,Yes,,
5992,Yes,,,Yes,,
6173,,Yes,,Yes,,
6190,Yes,,,,,
6286,Yes,,,Yes,Yes,
6300,,,Yes,Yes,,
6370,Yes,,,,,
2435,Yes,,,,,
6395,Yes,,,Yes,,
6397,Yes,,,Yes,,
6467,,,Yes,Yes,,
6469,,Yes,,Yes,,
854,Yes,,,,,
6477,Yes,,,Yes,,
6480,Yes,,,Yes,,
6579,Yes,,,Yes,Yes,
6807,Yes,,,Yes,,
6878,,,Yes,Yes,,
6879,Yes,,,Yes,,
5927,Yes,,,,Yes,
6898,Yes,,,Yes,,
6929,,,Yes,Yes,Yes,
6930,,,Yes,,,
6931,Yes,,,Yes,Yes,
6932,Yes,,,Yes,,
2335,Yes,,,,,
6958,Yes,,,Yes,,
6963,,,Yes,Yes,,
6964,,,Yes,,,
6978,,Yes,,Yes,Yes,
6998,,Yes,,Yes,,
7009,Yes,,,Yes,,
7020,Yes,,,Yes,,
7032,Yes,,,Yes,,
7156,Yes,,,,,
7178,Yes,,,Yes,Yes,
7179,Yes,,,Yes,,
7181,Yes,,,Yes,,
7185,,,Yes,Yes,Yes,
7194,,,Yes,,,
7199,Yes,,,Yes,,
7245,,,Yes,,,
7246,Yes,,,,,
7247,Yes,,,,,
7249,,,Yes,,,
7280,,Yes,,Yes,Yes,
7281,Yes,,,,,
7290,Yes,,,Yes,Yes,
7294,Yes,,,Yes,,
7301,Yes,,,Yes,,
7324,Yes,,,,,
7326,Yes,,,Yes,Yes,
7634,Yes,,,,,
7635,Yes,,,,,
8331,Yes,,,Yes,Yes,
8930,,,Yes,Yes,,
