Region,Market,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
2,26,518,221,Chromebook,16 feet,8 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,26,615,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,26,615,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,26,615,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,26,615,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,26,615,233,Tablets,,,4 feet,Moved tablets to the table
2,26,618,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,26,618,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,26,937,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,26,937,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,26,937,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,26,1586,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,26,1586,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,26,1586,233,Tablets,,,4 feet,Moved tablets to the table
2,26,1586,267,Tonies,,,4 feet,Repurposed tablet – footage
2,26,1586,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,26,3403,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,26,3403,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,26,3403,233,Tablets,,,4 feet,Moved tablets to the table
2,26,3403,267,Tonies,,,4 feet,Repurposed tablet – footage
2,26,3403,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,26,3471,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,26,3471,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,26,3471,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,26,3611,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,26,3748,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,26,3748,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,26,3748,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,26,3748,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,26,3748,233,Tablets,,,4 feet,Moved tablets to the table
2,26,5275,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,26,5275,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,26,5275,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,26,5814,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
2,26,5814,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,30,754,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,30,1024,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
2,30,1143,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
2,30,1143,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,30,1293,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,30,1293,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,30,1293,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,30,1293,233,Tablets,,,4 feet,Moved tablets to the table
2,30,1658,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,30,3570,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,30,3570,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,30,3570,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,30,3570,233,Tablets,,,4 feet,Moved tablets to the table
2,30,4144,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
2,30,5735,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,32,555,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,32,555,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,32,555,233,Tablets,,,8 feet,Moved tablets to the table
2,32,555,267,Tonies,,,8 feet,Repurposed tablet – footage
2,32,555,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,32,758,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
2,32,758,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,32,907,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,32,907,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,32,907,221,Chromebook,12 feet,0 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,32,1153,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,32,1153,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
