Store Number,Market,Approved Installation Date,Planned Go-Live Date,Boxed Coin Delivery Date
2329,156,8/14/2024,8/15/2024,8/5/2024
2508,399,8/14/2024,8/15/2024,8/6/2024
2905,164,8/14/2024,8/15/2024,8/5/2024
3180,446,8/14/2024,8/15/2024,8/5/2024
3568,403,8/14/2024,8/15/2024,8/5/2024
430,253,8/14/2024,8/15/2024,8/5/2024
472,356,8/14/2024,8/15/2024,8/5/2024
5295,172,8/14/2024,8/15/2024,8/5/2024
564,344,8/14/2024,8/15/2024,8/6/2024
5738,534,8/14/2024,8/15/2024,8/5/2024
5804,494,8/14/2024,8/15/2024,8/6/2024
709,256,8/14/2024,8/15/2024,8/5/2024
786,264,8/14/2024,8/15/2024,8/6/2024
1116,349,8/15/2024,8/16/2024,8/5/2024
1555,463,8/15/2024,8/16/2024,8/5/2024
1747,461,8/15/2024,8/16/2024,8/5/2024
1900,400,8/15/2024,8/16/2024,8/6/2024
2118,156,8/15/2024,8/16/2024,8/5/2024
2395,507,8/15/2024,8/16/2024,8/5/2024
2517,466,8/15/2024,8/16/2024,8/5/2024
2531,164,8/15/2024,8/16/2024,8/5/2024
2563,580,8/15/2024,8/16/2024,8/5/2024
2583,172,8/15/2024,8/16/2024,8/5/2024
2742,534,8/15/2024,8/16/2024,8/5/2024
276,351,8/15/2024,8/16/2024,8/6/2024
2827,418,8/15/2024,8/16/2024,8/7/2024
2921,401,8/15/2024,8/16/2024,8/6/2024
5408,494,8/15/2024,8/16/2024,8/5/2024
5603,551,8/15/2024,8/16/2024,8/5/2024
9,335,8/15/2024,8/16/2024,8/5/2024
995,251,8/15/2024,8/16/2024,8/5/2024
1162,580,8/16/2024,8/17/2024,8/5/2024
130,347,8/16/2024,8/17/2024,8/5/2024
1393,413,8/16/2024,8/17/2024,
1708,401,8/16/2024,8/17/2024,8/6/2024
269,349,8/16/2024,8/17/2024,8/5/2024
2803,352,8/16/2024,8/17/2024,8/6/2024
2952,460,8/16/2024,8/17/2024,8/5/2024
2964,156,8/16/2024,8/17/2024,8/5/2024
3520,577,8/16/2024,8/17/2024,8/5/2024
4132,465,8/16/2024,8/17/2024,8/5/2024
5335,463,8/16/2024,8/17/2024,8/5/2024
5418,242,8/16/2024,8/17/2024,8/5/2024
5443,249,8/16/2024,8/17/2024,8/5/2024
5644,466,8/16/2024,8/17/2024,8/5/2024
675,146,8/16/2024,8/17/2024,8/6/2024
6960,537,8/16/2024,8/17/2024,8/6/2024
10,347,8/17/2024,8/18/2024,8/12/2024
107,146,8/17/2024,8/18/2024,8/13/2024
1459,249,8/17/2024,8/18/2024,8/13/2024
151,350,8/17/2024,8/18/2024,8/12/2024
2022,162,8/17/2024,8/18/2024,8/12/2024
2110,465,8/17/2024,8/18/2024,8/12/2024
2206,466,8/17/2024,8/18/2024,8/13/2024
2267,156,8/17/2024,8/18/2024,8/12/2024
257,254,8/17/2024,8/18/2024,8/13/2024
2826,515,8/17/2024,8/18/2024,8/12/2024
3294,242,8/17/2024,8/18/2024,8/12/2024
3589,403,8/17/2024,8/18/2024,8/12/2024
3795,577,8/17/2024,8/18/2024,8/12/2024
5071,349,8/17/2024,8/18/2024,8/12/2024
5234,401,8/17/2024,8/18/2024,8/13/2024
5286,533,8/17/2024,8/18/2024,8/12/2024
1437,406,8/19/2024,8/20/2024,8/14/2024
1561,145,8/19/2024,8/20/2024,8/12/2024
188,335,8/19/2024,8/20/2024,8/12/2024
1888,401,8/19/2024,8/20/2024,8/13/2024
2341,159,8/19/2024,8/20/2024,8/12/2024
25,359,8/19/2024,8/20/2024,8/14/2024
2629,156,8/19/2024,8/20/2024,8/12/2024
2752,585,8/19/2024,8/20/2024,8/12/2024
3200,159,8/19/2024,8/20/2024,8/16/2024
3561,160,8/19/2024,8/20/2024,8/12/2024
36,329,8/19/2024,8/20/2024,8/13/2024
372,406,8/19/2024,8/20/2024,8/12/2024
3826,71,8/19/2024,8/20/2024,8/12/2024
3848,401,8/19/2024,8/20/2024,8/13/2024
4543,365,8/19/2024,8/20/2024,8/12/2024
5099,388,8/19/2024,8/20/2024,8/12/2024
5101,396,8/19/2024,8/20/2024,8/12/2024
5626,367,8/19/2024,8/20/2024,8/12/2024
7320,510,8/19/2024,8/20/2024,8/12/2024
74,329,8/19/2024,8/20/2024,8/12/2024
964,505,8/19/2024,8/20/2024,8/12/2024
1280,388,8/20/2024,8/21/2024,8/12/2024
1364,365,8/20/2024,8/21/2024,8/12/2024
150,344,8/20/2024,8/21/2024,8/15/2024
1612,366,8/20/2024,8/21/2024,8/12/2024
1699,401,8/20/2024,8/21/2024,8/12/2024
2021,160,8/20/2024,8/21/2024,8/12/2024
2095,160,8/20/2024,8/21/2024,8/12/2024
2322,145,8/20/2024,8/21/2024,8/12/2024
2636,466,8/20/2024,8/21/2024,8/5/2024
2660,157,8/20/2024,8/21/2024,8/12/2024
3533,585,8/20/2024,8/21/2024,8/12/2024
3655,397,8/20/2024,8/21/2024,8/12/2024
4272,401,8/20/2024,8/21/2024,8/13/2024
4337,365,8/20/2024,8/21/2024,8/12/2024
4387,156,8/20/2024,8/21/2024,8/12/2024
4415,526,8/20/2024,8/21/2024,8/15/2024
453,329,8/20/2024,8/21/2024,8/12/2024
51,359,8/20/2024,8/21/2024,8/12/2024
62,329,8/20/2024,8/21/2024,8/13/2024
6943,492,8/20/2024,8/21/2024,8/12/2024
812,70,8/20/2024,8/21/2024,8/12/2024
861,71,8/20/2024,8/21/2024,8/12/2024
134,344,8/21/2024,8/22/2024,8/15/2024
1492,376,8/21/2024,8/22/2024,8/12/2024
190,329,8/21/2024,8/22/2024,8/12/2024
2051,405,8/21/2024,8/22/2024,8/12/2024
2157,160,8/21/2024,8/22/2024,8/12/2024
2158,156,8/21/2024,8/22/2024,8/12/2024
2180,157,8/21/2024,8/22/2024,8/12/2024
30,335,8/21/2024,8/22/2024,8/12/2024
3366,401,8/21/2024,8/22/2024,8/13/2024
3454,401,8/21/2024,8/22/2024,8/13/2024
4299,71,8/21/2024,8/22/2024,8/13/2024
4491,490,8/21/2024,8/22/2024,8/12/2024
45,329,8/21/2024,8/22/2024,8/13/2024
4553,361,8/21/2024,8/22/2024,8/12/2024
4654,492,8/21/2024,8/22/2024,8/12/2024
500,505,8/21/2024,8/22/2024,8/12/2024
5124,369,8/21/2024,8/22/2024,8/12/2024
5342,365,8/21/2024,8/22/2024,8/12/2024
5448,160,8/21/2024,8/22/2024,8/12/2024
822,70,8/21/2024,8/22/2024,8/12/2024
128,329,8/22/2024,8/23/2024,8/12/2024
1306,387,8/22/2024,8/23/2024,8/12/2024
1474,365,8/22/2024,8/23/2024,8/12/2024
1689,376,8/22/2024,8/23/2024,8/13/2024
19,335,8/22/2024,8/23/2024,8/13/2024
1906,160,8/22/2024,8/23/2024,8/15/2024
1970,159,8/22/2024,8/23/2024,8/12/2024
2227,159,8/22/2024,8/23/2024,8/12/2024
2640,157,8/22/2024,8/23/2024,8/12/2024
3789,401,8/22/2024,8/23/2024,8/13/2024
4203,365,8/22/2024,8/23/2024,8/12/2024
4339,397,8/22/2024,8/23/2024,8/12/2024
4706,557,8/22/2024,8/23/2024,8/13/2024
5189,369,8/22/2024,8/23/2024,8/12/2024
5232,388,8/22/2024,8/23/2024,8/12/2024
5791,538,8/22/2024,8/23/2024,8/12/2024
607,349,8/22/2024,8/23/2024,8/15/2024
626,73,8/22/2024,8/23/2024,8/13/2024
677,146,8/22/2024,8/23/2024,8/13/2024
6807,145,8/22/2024,8/23/2024,8/12/2024
7362,570,8/22/2024,8/23/2024,8/13/2024
1095,388,8/23/2024,8/24/2024,8/14/2024
1370,365,8/23/2024,8/24/2024,8/12/2024
2122,159,8/23/2024,8/24/2024,8/12/2024
2139,157,8/23/2024,8/24/2024,8/12/2024
229,329,8/23/2024,8/24/2024,8/12/2024
2336,159,8/23/2024,8/24/2024,8/12/2024
2751,380,8/23/2024,8/24/2024,8/12/2024
2902,159,8/23/2024,8/24/2024,8/12/2024
3384,70,8/23/2024,8/24/2024,8/12/2024
4325,365,8/23/2024,8/24/2024,8/12/2024
479,349,8/23/2024,8/24/2024,8/15/2024
5109,557,8/23/2024,8/24/2024,8/13/2024
5206,557,8/23/2024,8/24/2024,8/13/2024
537,73,8/23/2024,8/24/2024,8/12/2024
5423,397,8/23/2024,8/24/2024,8/12/2024
611,387,8/23/2024,8/24/2024,8/12/2024
7127,538,8/23/2024,8/24/2024,8/13/2024
94,145,8/23/2024,8/24/2024,8/12/2024
97,146,8/23/2024,8/24/2024,8/13/2024
1199,388,8/24/2024,8/25/2024,8/19/2024
1308,380,8/24/2024,8/25/2024,8/19/2024
1559,394,8/24/2024,8/25/2024,8/19/2024
2103,159,8/24/2024,8/25/2024,8/19/2024
2128,159,8/24/2024,8/25/2024,8/19/2024
2904,159,8/24/2024,8/25/2024,8/19/2024
3114,157,8/24/2024,8/25/2024,8/19/2024
5205,557,8/24/2024,8/25/2024,8/20/2024
5233,403,8/24/2024,8/25/2024,8/20/2024
900,70,8/24/2024,8/25/2024,8/14/2024
93,146,8/24/2024,8/25/2024,8/20/2024
950,145,8/24/2024,8/25/2024,8/19/2024
1440,403,8/26/2024,8/27/2024,8/19/2024
1797,179,8/26/2024,8/27/2024,8/19/2024
1866,180,8/26/2024,8/27/2024,8/19/2024
1924,179,8/26/2024,8/27/2024,8/21/2024
2330,183,8/26/2024,8/27/2024,8/21/2024
4377,388,8/26/2024,8/27/2024,8/22/2024
4689,582,8/26/2024,8/27/2024,8/20/2024
869,375,8/27/2024,8/28/2024,8/24/2024
1384,389,8/27/2024,8/28/2024,8/21/2024
1572,582,8/27/2024,8/28/2024,8/23/2024
1686,403,8/27/2024,8/28/2024,8/19/2024
1768,582,8/27/2024,8/28/2024,8/20/2024
1808,388,8/27/2024,8/28/2024,8/19/2024
1919,179,8/27/2024,8/28/2024,8/22/2024
