STORE_NBR,ITEM_NBR,ITEM1_DESC,CURRENT_RTL
42,675562009,HKITTY POMPOM KEYCH,9.88
42,675562028,HELLOKITTY BFF KEYCH,9.88
42,675625465,DEADPL/WLVERNE BFFPD,8.88
42,675677756,STITCH KEYCHAIN BAG,9.88
42,675562001,STITCH/ANGEL KEYCHN,8.88
42,675562357,JACK PLUSH KEYCHAIN,9.88
42,675562010,HELLOKITTY KEYCH BAG,9.88
42,675625455,HELLOKITTY EAR SET,7.88
42,675677762,KUROMI PLUSH KEYCH,9.88
42,675562002,SNOOPY BFF KEYCHAIN,8.88
42,675562097,KUROMI HOOP EARRING,7.88
42,675562821,HKITTY/KEROPPI KYCH,8.88
42,675562075,HELLO KITTY BFF PDS,8.88
42,675562005,STITCH/ANGEL KEYCHN,9.88
42,675677758,HELLOKITTY BFF KEYCH,9.88
44,675562121,HELLO KITTY PD/ER,7.88
44,675562011,HKITTY/MYMELDY KEYCH,9.88
44,675562524,STITCH BOW CLIP SET,8.88
44,675562123,HELLOKITTY HRT PD/ER,7.88
44,675562097,KUROMI HOOP EARRING,7.88
44,675677756,STITCH KEYCHAIN BAG,9.88
44,675561998,CHEER BEAR KEYCHAIN,8.88
44,675562021,STITCH DIARY KEYCH,9.88
44,675562075,HELLO KITTY BFF PDS,8.88
44,675562591,STITCH CLIP SET 6PCS,7.88
44,676314867,HELLOKITTY CLIP 4PC,7.88
44,675562005,STITCH/ANGEL KEYCHN,9.88
44,675562357,JACK PLUSH KEYCHAIN,9.88
44,675562057,HKITTY CRYSTAL PD,8.88
44,675562002,SNOOPY BFF KEYCHAIN,8.88
44,675677758,HELLOKITTY BFF KEYCH,9.88
47,675677762,KUROMI PLUSH KEYCH,9.88
47,675562075,HELLO KITTY BFF PDS,8.88
47,675625465,DEADPL/WLVERNE BFFPD,8.88
47,675562083,STITCH CRYSTAL PEND,8.88
47,675625455,HELLOKITTY EAR SET,7.88
47,675562010,HELLOKITTY KEYCH BAG,9.88
47,675562524,STITCH BOW CLIP SET,8.88
47,675562099,HELLO KITTY CRYS ER,8.88
47,675562011,HKITTY/MYMELDY KEYCH,9.88
47,675562001,STITCH/ANGEL KEYCHN,8.88
47,675561998,CHEER BEAR KEYCHAIN,8.88
47,675562821,HKITTY/KEROPPI KYCH,8.88
47,675562057,HKITTY CRYSTAL PD,8.88
47,675562016,MYMELODY PLUSH KEYCH,9.88
47,675562002,SNOOPY BFF KEYCHAIN,8.88
47,675562097,KUROMI HOOP EARRING,7.88
47,676314867,HELLOKITTY CLIP 4PC,7.88
47,675677756,STITCH KEYCHAIN BAG,9.88
47,675562009,HKITTY POMPOM KEYCH,9.88
47,675562121,HELLO KITTY PD/ER,7.88
48,675562021,STITCH DIARY KEYCH,9.88
48,675562064,STITCH/ANGEL BFF PD,8.88
48,675562075,HELLO KITTY BFF PDS,8.88
48,675562524,STITCH BOW CLIP SET,8.88
48,675562083,STITCH CRYSTAL PEND,8.88
48,675562057,HKITTY CRYSTAL PD,8.88
48,675562123,HELLOKITTY HRT PD/ER,7.88
48,675562685,HELLOKITTY SCRUNCHIE,3
48,675561998,CHEER BEAR KEYCHAIN,8.88
48,675562014,HELLOKITTY PLSH KYCH,9.88
