Club List,Grower,Rack QTY,RECEIPT UNITS WK 30,Wk 30 Racks,RECEIPT UNITS WK  31,Wk 31 racks,RECEIPT UNITS WK 32,Wk 32 racks,RECEIPT UNITS WK 33,Wk 33 racks ,RECEIPT UNITS WK 34,Wk 34 Racks,RECEIPT WUNITS K 35,Wk 35 Racks,RECEIPT UNITS WK 36,Wk 36 Racks,RECEIPT  UNITS WK 37,Wk 37 Racks,RECEIPT UNITS WK 38,Wk 38 Racks
8129,Metrolina,24,111,5,199,8,205,9,217,9,248,10,189,8,131,5,71,3,47,2.0
8142,Metrolina,24,151,6,167,7,181,8,180,8,66,3,61,3,25,1,-1,0,0,0.0
8152,Metrolina,24,123,5,151,6,265,11,208,9,197,8,149,6,46,2,46,2,46,1.9
8158,Metrolina,24,0,0,127,5,172,7,217,9,233,10,96,4,118,5,0,0,0,0.0
8166,Metrolina,24,0,0,50,2,60,2,38,2,16,1,25,1,0,0,0,0,0,0.0
8194,Metrolina,24,41,2,178,7,180,7,160,7,153,6,213,9,61,3,73,3,0,0.0
8202,Metrolina,24,0,0,32,1,164,7,99,4,128,5,103,4,23,1,-2,0,-1,0.0
8203,Metrolina,24,0,0,65,3,134,6,15,1,31,1,92,4,49,2,45,2,-1,0.0
8211,Metrolina,24,0,0,83,3,84,3,65,3,55,2,17,1,0,0,-5,0,0,0.0
8213,Metrolina,24,179,7,176,7,215,9,242,10,205,9,140,6,30,1,3,0,-1,0.0
8218,Metrolina,24,79,3,138,6,188,8,211,9,190,8,116,5,72,3,15,1,0,0.0
8219,Metrolina,24,0,0,95,4,157,7,125,5,122,5,54,2,27,1,0,0,22,0.9
8220,Metrolina,24,171,7,171,7,266,11,189,8,212,9,132,6,47,2,3,0,46,1.9
8222,Metrolina,24,139,6,317,13,322,13,314,13,160,7,97,4,103,4,-7,0,0,0.0
8223,Metrolina,24,0,0,49,2,90,4,77,3,80,3,22,1,6,0,0,0,0,0.0
8225,Metrolina,24,0,0,90,4,201,8,148,6,190,8,68,3,53,2,13,1,0,0.0
8228,Metrolina,24,89,4,165,7,191,8,161,7,143,6,92,4,53,2,50,2,46,1.9
8252,Metrolina,24,0,0,109,5,217,9,173,7,167,7,44,2,34,1,0,0,-2,-0.1
8256,Metrolina,24,89,4,277,12,228,9,363,15,279,12,302,13,180,7,134,6,3,0.1
8278,Metrolina,24,126,5,208,9,213,9,220,9,35,1,51,2,0,0,-1,0,-2,-0.1
8283,Metrolina,24,0,0,74,3,44,2,62,3,57,2,79,3,0,0,0,0,0,0.0
8287,Metrolina,24,0,0,47,2,83,3,27,1,43,2,64,3,52,2,0,0,0,0.0
4724,south central ,12,95,8,161,13,317,26,299,25,139,12,229,19,-1,0,-8,-1,-7,-0.6
4740,south central ,12,118,10,119,10,282,24,296,25,27,2,199,17,0,0,0,0,0,0.0
4749,south central ,12,287,24,103,9,497,41,489,41,38,3,438,36,46,4,0,0,0,0.0
4776,south central ,12,122,10,185,15,351,29,242,20,143,12,227,19,-1,0,0,0,-2,-0.2
4790,south central ,12,116,10,112,9,197,16,280,23,68,6,327,27,0,0,-2,0,0,0.0
4817,south central ,12,141,12,74,6,276,23,296,25,151,13,240,20,-3,0,0,0,-2,-0.2
4825,south central ,12,192,16,60,5,412,34,260,22,196,16,291,24,0,0,-1,0,0,0.0
4836,south central ,12,163,14,81,7,286,24,327,27,105,9,212,18,-2,0,-2,0,0,0.0
4871,south central ,12,127,11,51,4,250,21,223,19,128,11,199,17,0,0,-1,0,0,0.0
4930,south central ,12,51,4,250,21,207,17,191,16,151,13,198,16,0,0,0,0,0,0.0
4989,south central ,12,253,21,75,6,386,32,321,27,176,15,363,30,-1,0,0,0,0,0.0
4990,south central ,12,159,13,34,3,295,25,326,27,57,5,210,17,42,3,0,0,0,0.0
6249,south central ,12,71,6,218,18,288,24,307,26,16,1,193,16,-1,0,0,0,0,0.0
6256,south central ,12,71,6,75,6,155,13,157,13,52,4,141,12,0,0,0,0,-5,-0.4
