,,,,,,Action Alley ,,
1903,457,56,WM Supercenter,,3,1,1,1
1904,292,76,WM Supercenter,,3,1,1,1
1905,400,56,WM Supercenter,,3,1,1,1
1906,160,16,Wal-Mart,,0,,,
1907,184,16,WM Supercenter,,3,1,1,1
1908,440,53,WM Supercenter,,3,1,1,1
1909,195,76,WM Supercenter,,3,1,1,1
1910,468,56,WM Supercenter,,3,1,1,1
1911,215,20,WM Supercenter,,3,1,1,1
1912,461,58,WM Supercenter,,1,,,1
1913,207,19,WM Supercenter,,3,1,1,1
1914,445,58,WM Supercenter,,3,1,1,1
1915,463,58,WM Supercenter,,3,1,1,1
1916,108,9,WM Supercenter,,3,1,1,1
1917,459,58,Wal-Mart,,0,,,
1918,156,16,Wal-Mart,,0,,,
1919,179,16,Wal-Mart,,0,,,
1920,477,60,Wal-Mart,,0,,,
1921,178,22,Wal-Mart,,0,,,
1922,462,58,Wal-Mart,,0,,,
1923,200,19,WM Supercenter,,3,1,1,1
1924,179,16,WM Supercenter,,3,1,1,1
1925,478,60,WM Supercenter,,3,1,1,1
1926,191,76,WM Supercenter,,3,1,1,1
1927,209,20,WM Supercenter,,1,,,1
1928,205,19,WM Supercenter,,3,1,1,1
1929,419,52,WM Supercenter,,3,1,1,1
1930,184,16,Wal-Mart,,0,,,
1931,440,53,WM Supercenter,,3,1,1,1
1932,179,16,WM Supercenter,,3,1,1,1
1933,267,25,Wal-Mart,,0,,,
1934,314,75,WM Supercenter,,3,1,1,1
1935,231,76,WM Supercenter,,3,1,1,1
1936,196,53,WM Supercenter,,3,1,1,1
1937,216,20,WM Supercenter,,3,1,1,1
1938,268,25,WM Supercenter,,1,,,1
1939,180,16,WM Supercenter,,3,1,1,1
1940,188,16,WM Supercenter,,3,1,1,1
1941,462,58,WM Supercenter,,3,1,1,1
1942,200,19,WM Supercenter,,3,1,1,1
1943,433,47,WM Supercenter,,3,1,1,1
1945,226,17,WM Supercenter,,3,1,1,1
1946,187,16,WM Supercenter,,3,1,1,1
1947,473,60,WM Supercenter,,2,,1,1
1948,227,20,WM Supercenter,,2,,1,1
1949,194,76,WM Supercenter,,3,1,1,1
1950,301,26,WM Supercenter,,0,,,
1951,399,56,WM Supercenter,,3,1,1,1
1952,422,52,WM Supercenter,,3,1,1,1
1953,297,26,WM Supercenter,,1,,,1
1954,183,16,WM Supercenter,,3,1,1,1
1955,263,53,WM Supercenter,,3,1,1,1
1956,382,47,WM Supercenter,,3,1,1,1
1957,105,9,WM Supercenter,,0,,,
1958,80,6,WM Supercenter,,0,,,
1959,164,17,WM Supercenter,,3,1,1,1
1960,112,3,WM Supercenter,,3,1,1,1
1961,225,21,WM Supercenter,,3,1,1,1
1962,246,21,WM Supercenter,,3,1,1,1
1963,450,56,Wal-Mart,,0,,,
1964,161,17,WM Supercenter,,3,1,1,1
1965,432,47,WM Supercenter,,3,1,1,1
1966,194,76,WM Supercenter,,3,1,1,1
1967,154,16,WM Supercenter,,3,1,1,1
1968,281,75,WM Supercenter,,3,1,1,1
1969,290,75,WM Supercenter,,3,1,1,1
1970,159,16,WM Supercenter,,3,1,1,1
1971,425,53,WM Supercenter,,3,1,1,1
1972,511,56,Wal-Mart,,0,,,
1973,194,76,WM Supercenter,,3,1,1,1
1974,179,16,Wal-Mart,,0,,,
1975,181,16,WM Supercenter,,2,,1,1
1976,190,17,WM Supercenter,,3,1,1,1
1977,178,22,WM Supercenter,,3,1,1,1
1978,247,21,WM Supercenter,,3,1,1,1
1979,457,56,Wal-Mart,,0,,,
1980,162,17,WM Supercenter,,3,1,1,1
1981,508,75,WM Supercenter,,3,1,1,1
1982,439,53,WM Supercenter,,3,1,1,1
1983,450,56,WM Supercenter,,3,1,1,1
1984,154,16,WM Supercenter,,3,1,1,1
1985,283,76,WM Supercenter,,2,,1,1
1986,213,19,WM Supercenter,,3,1,1,1
1987,205,19,WM Supercenter,,3,1,1,1
1988,455,56,WM Supercenter,,0,,,
1989,447,57,WM Supercenter,,0,,,
1990,217,21,Wal-Mart,,0,,,
1991,251,41,WM Supercenter,,3,1,1,1
1992,462,58,Wal-Mart,,0,,,
1993,195,76,WM Supercenter,,3,1,1,1
1994,187,16,WM Supercenter,,3,1,1,1
1995,400,56,WM Supercenter,,3,1,1,1
1996,553,9,WM Supercenter,,3,1,1,1
1997,188,16,WM Supercenter,,3,1,1,1
1998,267,25,WM Supercenter,,3,1,1,1
1999,424,52,WM Supercenter,,3,1,1,1
2000,301,26,WM Supercenter,,0,,,
2001,449,57,WM Supercenter,,3,1,1,1
2002,451,56,WM Supercenter,,3,1,1,1
2003,174,17,WM Supercenter,,1,,,1
2004,415,52,WM Supercenter,,3,1,1,1
2005,306,26,WM Supercenter,,3,1,1,1
2006,475,60,WM Supercenter,,3,1,1,1
2007,473,60,WM Supercenter,,3,1,1,1
2008,229,20,Wal-Mart,,0,,,
2009,281,75,Wal-Mart,,0,,,
2010,201,19,WM Supercenter,,3,1,1,1
2012,156,16,WM Supercenter,,3,1,1,1
2013,179,16,WM Supercenter,,3,1,1,1
2014,204,19,WM Supercenter,,3,1,1,1
2015,292,76,WM Supercenter,,3,1,1,1
2016,473,60,WM Supercenter,,3,1,1,1
2019,235,20,WM Supercenter,,3,1,1,1
2020,246,21,Wal-Mart,,0,,,
2021,160,16,WM Supercenter,,3,1,1,1
2022,162,17,WM Supercenter,,3,1,1,1
2023,233,22,WM Supercenter,,3,1,1,1
2024,226,17,WM Supercenter,,3,1,1,1
2025,511,56,WM Supercenter,,3,1,1,1
2027,320,76,WM Supercenter,,3,1,1,1
2028,461,58,WM Supercenter,,3,1,1,1
2030,450,56,WM Supercenter,,3,1,1,1
2031,511,56,Wal-Mart,,0,,,
2032,446,57,WM Supercenter,,3,1,1,1
2033,427,47,WM Supercenter,,3,1,1,1
2035,239,21,WM Supercenter,,3,1,1,1
2036,317,20,WM Supercenter,,3,1,1,1
2037,472,60,WM Supercenter,,3,1,1,1
2038,292,76,WM Supercenter,,3,1,1,1
2039,450,56,Wal-Mart,,0,,,
2040,558,22,WM Supercenter,,3,1,1,1
2041,284,22,Wal-Mart,,0,,,
2043,194,76,Wal-Mart,,0,,,
2044,457,56,Wal-Mart,,0,,,
2045,281,75,WM Supercenter,,3,1,1,1
2046,180,16,WM Supercenter,,3,1,1,1
2047,179,16,WM Supercenter,,2,,1,1
2048,453,56,WM Supercenter,,3,1,1,1
2049,237,22,WM Supercenter,,3,1,1,1
2050,396,57,WM Supercenter,,0,,,
2051,405,57,WM Supercenter,,3,1,1,1
2052,457,56,Wal-Mart,,0,,,
2053,457,56,WM Supercenter,,0,,,
2054,454,56,Wal-Mart,,0,,,
2055,183,16,WM Supercenter,,3,1,1,1
2056,188,16,WM Supercenter,,3,1,1,1
2057,184,16,Wal-Mart,,0,,,
2058,297,26,WM Supercenter,,3,1,1,1
2059,231,76,WM Supercenter,,3,1,1,1
2061,201,19,WM Supercenter,,3,1,1,1
2062,201,19,WM Supercenter,,3,1,1,1
2063,208,20,WM Supercenter,,3,1,1,1
2064,164,17,WM Supercenter,,3,1,1,1
2065,122,12,WM Supercenter,,3,1,1,1
2066,64,6,WM Supercenter,,3,1,1,1
2068,170,22,WM Supercenter,,1,,,1
2069,468,56,WM Supercenter,,1,,,1
2070,469,60,WM Supercenter,,0,,,
2071,469,60,WM Supercenter,,0,,,
2073,214,20,WM Supercenter,,3,1,1,1
2074,469,60,WM Supercenter,,0,,,
2075,478,60,WM Supercenter,,3,1,1,1
2077,460,58,WM Supercenter,,1,,,1
2078,216,20,WM Supercenter,,3,1,1,1
2079,196,53,WM Supercenter,,3,1,1,1
2080,202,19,WM Supercenter,,0,,,
2081,111,3,WM Supercenter,,3,1,1,1
2082,464,58,WM Supercenter,,3,1,1,1
2083,320,76,WM Supercenter,,3,1,1,1
2084,383,47,WM Supercenter,,3,1,1,1
2086,56,5,WM Supercenter,,3,1,1,1
2087,422,52,WM Supercenter,,3,1,1,1
2088,194,76,WM Supercenter,,3,1,1,1
2089,311,20,WM Supercenter,,1,,,1
2090,174,17,Wal-Mart,,0,,,
2091,110,9,WM Supercenter,,0,,,
2092,187,16,Wal-Mart,,0,,,
2093,189,76,WM Supercenter,,1,,,1
2094,460,58,WM Supercenter,,3,1,1,1
2095,160,16,WM Supercenter,,3,1,1,1
2096,170,22,WM Supercenter,,0,,,
2097,188,16,WM Supercenter,,0,,,
2098,219,21,WM Supercenter,,2,1,,1
2099,447,57,Wal-Mart,,0,,,
2100,196,53,WM Supercenter,,3,1,1,1
2101,475,60,WM Supercenter,,3,1,1,1
2102,200,19,WM Supercenter,,3,1,1,1
2103,159,16,WM Supercenter,,3,1,1,1
2104,164,17,WM Supercenter,,1,,,1
2105,53,5,WM Supercenter,,3,1,1,1
2106,392,56,WM Supercenter,,3,1,1,1
2107,195,76,WM Supercenter,,3,1,1,1
2108,165,22,WM Supercenter,,3,1,1,1
2109,165,22,Wal-Mart,,0,,,
2110,465,57,WM Supercenter,,3,1,1,1
2111,13,14,WM Supercenter,,3,1,1,1
2112,372,46,WM Supercenter,,3,1,1,1
2113,370,46,WM Supercenter,,2,,1,1
2114,7,14,WM Supercenter,,3,1,1,1
2115,216,20,WM Supercenter,,3,1,1,1
2116,187,16,WM Supercenter,,3,1,1,1
2117,451,56,WM Supercenter,,3,1,1,1
2118,156,16,Wal-Mart,,0,,,
2119,511,56,WM Supercenter,,3,1,1,1
2120,190,17,WM Supercenter,,3,1,1,1
2121,472,60,WM Supercenter,,3,1,1,1
2122,159,16,WM Supercenter,,1,,,1
2123,47,44,WM Supercenter,,3,1,1,1
2124,223,21,WM Supercenter,,3,1,1,1
2125,380,54,WM Supercenter,,3,1,1,1
2126,470,57,Wal-Mart,,0,,,
2127,440,53,WM Supercenter,,1,,,1
2128,159,16,WM Supercenter,,0,,,
2129,237,22,WM Supercenter,,3,1,1,1
2130,183,16,WM Supercenter,,3,1,1,1
2131,411,47,WM Supercenter,,3,1,1,1
2132,131,13,WM Supercenter,,3,1,1,1
2133,82,7,WM Supercenter,,3,1,1,1
2134,306,26,WM Supercenter,,3,1,1,1
2135,190,17,WM Supercenter,,3,1,1,1
2136,291,75,WM Supercenter,,3,1,1,1
2137,296,26,WM Supercenter,,1,,,1
2138,181,16,Wal-Mart,,0,,,
2139,157,16,Wal-Mart,,0,,,
2140,180,16,WM Supercenter,,3,1,1,1
2141,166,22,WM Supercenter,,3,1,1,1
2142,184,16,WM Supercenter,,3,1,1,1
2143,179,16,WM Supercenter,,1,,,1
2144,163,17,Wal-Mart,,0,,,
2145,168,22,WM Supercenter,,3,1,1,1
2146,189,76,WM Supercenter,,3,1,1,1
2147,383,47,WM Supercenter,,3,1,1,1
2149,216,20,WM Supercenter,,3,1,1,1
2150,458,58,Wal-Mart,,0,,,
2151,109,9,WM Supercenter,,1,,,1
2152,188,16,WM Supercenter,,3,1,1,1
2153,183,16,WM Supercenter,,3,1,1,1
2154,24,2,WM Supercenter,,3,1,1,1
2155,156,16,WM Supercenter,,3,1,1,1
2156,171,17,Wal-Mart,,0,,,
2157,160,16,WM Supercenter,,3,1,1,1
2158,156,16,WM Supercenter,,3,1,1,1
2159,194,76,WM Supercenter,,3,1,1,1
2160,290,75,WM Supercenter,,3,1,1,1
2161,511,56,Wal-Mart,,0,,,
2163,173,17,Wal-Mart,,0,,,
2164,194,76,WM Supercenter,,3,1,1,1
2166,191,76,WM Supercenter,,3,1,1,1
2167,167,22,Wal-Mart,,0,,,
2169,232,22,WM Supercenter,,3,1,1,1
2170,162,17,Wal-Mart,,0,,,
2174,154,16,WM Supercenter,,3,1,1,1
2175,333,40,WM Supercenter,,3,1,1,1
2176,107,9,WM Supercenter,,3,1,1,1
2177,459,58,Wal-Mart,,0,,,
2178,179,16,WM Supercenter,,3,1,1,1
2180,157,16,Wal-Mart,,0,,,
2181,463,58,WM Supercenter,,3,1,1,1
2183,180,16,WM Supercenter,,3,1,1,1
2184,160,16,Wal-Mart,,0,,,
2185,232,22,WM Supercenter,,3,1,1,1
2187,473,60,WM Supercenter,,3,1,1,1
2188,469,60,WM Supercenter,,0,,,
2189,392,56,WM Supercenter,,3,1,1,1
2190,453,56,Wal-Mart,,0,,,
2191,207,19,WM Supercenter,,3,1,1,1
2192,436,53,WM Supercenter,,3,1,1,1
2193,227,20,WM Supercenter,,3,1,1,1
2194,283,76,Wal-Mart,,0,,,
2195,178,22,WM Supercenter,,3,1,1,1
2196,472,60,WM Supercenter,,3,1,1,1
2197,208,20,WM Supercenter,,3,1,1,1
2198,423,52,WM Supercenter,,3,1,1,1
2199,235,20,WM Supercenter,,3,1,1,1
2200,162,17,Wal-Mart,,0,,,
2201,505,7,WM Supercenter,,3,1,1,1
2202,180,16,WM Supercenter,,3,1,1,1
2203,534,72,WM On Campus/RX Facilities,,0,,,
2204,267,25,WM Supercenter,,0,,,
2205,233,22,WM Supercenter,,3,1,1,1
2206,466,58,Wal-Mart,,0,,,
2207,403,54,WM Supercenter,,0,,,
2208,226,17,WM Supercenter,,0,,,
2209,216,20,WM Supercenter,,1,,,1
2210,195,76,WM Supercenter,,3,1,1,1
2211,208,20,WM Supercenter,,3,1,1,1
2213,340,40,WM Supercenter,,3,1,1,1
2214,41,4,WM Supercenter,,3,1,1,1
2215,265,25,WM Supercenter,,3,1,1,1
2218,466,58,WM Supercenter,,3,1,1,1
2219,600,55,WM On Campus/RX Facilities,,0,,,
2221,333,40,WM Supercenter,,3,1,1,1
2222,157,16,WM Supercenter,,3,1,1,1
2223,585,54,WM Supercenter,,2,,1,1
2224,181,16,Wal-Mart,,0,,,
2225,161,17,WM Supercenter,,0,,,
2226,481,61,Neighborhood Market,,0,,,
2227,159,16,Wal-Mart,,0,,,
2228,154,16,Wal-Mart,,0,,,
2229,114,3,WM Supercenter,,0,,,
2230,237,22,WM Supercenter,,3,1,1,1
2231,279,25,WM Supercenter,,3,1,1,1
2232,173,17,Wal-Mart,,0,,,
2233,280,76,WM Supercenter,,3,1,1,1
2234,189,76,WM Supercenter,,3,1,1,1
2236,167,22,Wal-Mart,,0,,,
2237,118,9,WM Supercenter,,3,1,1,1
2238,200,19,WM Supercenter,,3,1,1,1
2239,86,7,WM Supercenter,,1,,,1
2241,475,60,WM Supercenter,,2,,1,1
2242,464,58,WM Supercenter,,1,,,1
2243,478,60,WM Supercenter,,3,1,1,1
2244,316,20,WM Supercenter,,3,1,1,1
2245,460,58,WM Supercenter,,3,1,1,1
2247,299,26,WM Supercenter,,3,1,1,1
2248,293,75,Wal-Mart,,0,,,
2249,467,60,WM Supercenter,,3,1,1,1
2250,221,21,WM Supercenter,,3,1,1,1
2251,484,57,WM Supercenter,,3,1,1,1
2252,168,22,WM Supercenter,,3,1,1,1
2253,458,58,WM Supercenter,,3,1,1,1
2254,165,22,Wal-Mart,,0,,,
2255,232,22,WM Supercenter,,3,1,1,1
2256,296,26,WM Supercenter,,3,1,1,1
2257,67,6,WM Supercenter,,3,1,1,1
2258,283,76,Wal-Mart,,0,,,
2259,383,47,WM Supercenter,,2,,1,1
2261,161,17,WM Supercenter,,3,1,1,1
2262,190,17,WM Supercenter,,3,1,1,1
2263,167,22,WM Supercenter,,3,1,1,1
2264,189,76,Wal-Mart,,0,,,
2265,35,4,WM Supercenter,,3,1,1,1
2266,214,20,WM Supercenter,,3,1,1,1
2267,156,16,Wal-Mart,,0,,,
2269,473,60,WM Supercenter,,3,1,1,1
2270,375,46,WM Supercenter,,1,,,1
2271,440,53,WM Supercenter,,3,1,1,1
2272,285,22,WM Supercenter,,3,1,1,1
2273,205,19,WM Supercenter,,3,1,1,1
2274,424,52,WM Supercenter,,3,1,1,1
2275,225,21,WM Supercenter,,3,1,1,1
2276,238,19,WM Supercenter,,3,1,1,1
2277,449,57,WM Supercenter,,1,,,1
2278,228,76,WM Supercenter,,3,1,1,1
2279,282,75,WM Supercenter,,3,1,1,1
2280,451,56,WM Supercenter,,3,1,1,1
2281,235,20,WM Supercenter,,3,1,1,1
2282,162,17,WM Supercenter,,3,1,1,1
2283,161,17,WM Supercenter,,1,,,1
2284,173,17,WM Supercenter,,3,1,1,1
2285,189,76,WM Supercenter,,3,1,1,1
2286,171,17,Wal-Mart,,0,,,
2287,229,20,WM Supercenter,,3,1,1,1
2288,462,58,Wal-Mart,,0,,,
2289,154,16,WM Supercenter,,3,1,1,1
2291,458,58,Wal-Mart,,0,,,
2292,484,57,WM Supercenter,,3,1,1,1
2293,585,54,WM Supercenter,,3,1,1,1
2294,174,17,WM Supercenter,,3,1,1,1
2295,287,75,WM Supercenter,,3,1,1,1
2297,448,57,Wal-Mart,,0,,,
2299,163,17,WM Supercenter,,0,,,
2300,227,20,WM Supercenter,,3,1,1,1
2306,11,11,WM Supercenter,,1,,,1
2307,403,54,WM Supercenter,,3,1,1,1
2308,470,57,Wal-Mart,,0,,,
2309,221,21,WM Supercenter,,3,1,1,1
2310,122,12,WM Supercenter,,3,1,1,1
2311,247,21,WM Supercenter,,3,1,1,1
2312,312,75,WM Supercenter,,3,1,1,1
2313,209,20,WM Supercenter,,3,1,1,1
2314,470,57,Wal-Mart,,0,,,
2315,478,60,Wal-Mart,,0,,,
2316,214,20,WM Supercenter,,3,1,1,1
2317,472,60,Wal-Mart,,0,,,
2318,231,76,WM Supercenter,,3,1,1,1
2319,471,60,Wal-Mart,,0,,,
2320,468,56,WM Supercenter,,1,,,1
2321,470,57,Wal-Mart,,0,,,
2322,145,11,WM Supercenter,,3,1,1,1
2323,215,20,WM Supercenter,,3,1,1,1
2325,472,60,WM Supercenter,,3,1,1,1
2326,194,76,Wal-Mart,,0,,,
2328,497,59,Neighborhood Market,,0,,,
2329,156,16,WM Supercenter,,0,,,
2330,183,16,WM Supercenter,,3,1,1,1
2331,162,17,WM Supercenter,,3,1,1,1
2332,181,16,Wal-Mart,,0,,,
2333,445,58,Wal-Mart,,0,,,
2334,233,22,WM Supercenter,,3,1,1,1
2335,441,53,WM Supercenter,,3,1,1,1
2336,159,16,WM Supercenter,,3,1,1,1
2337,312,75,WM Supercenter,,3,1,1,1
2338,196,53,WM Supercenter,,0,,,
2339,246,21,WM Supercenter,,3,1,1,1
2340,233,22,WM Supercenter,,3,1,1,1
2341,159,16,Wal-Mart,,0,,,
2345,559,72,Neighborhood Market,,0,,,
2348,33,4,WM Supercenter,,0,,,
2350,207,19,WM Supercenter,,3,1,1,1
2351,188,16,WM Supercenter,,3,1,1,1
2352,424,52,WM Supercenter,,3,1,1,1
2354,205,19,WM Supercenter,,3,1,1,1
2355,195,76,WM Supercenter,,3,1,1,1
2357,280,76,WM Supercenter,,3,1,1,1
2358,196,53,WM Supercenter,,3,1,1,1
2359,209,20,WM Supercenter,,3,1,1,1
2361,215,20,Wal-Mart,,0,,,
2362,209,20,WM Supercenter,,3,1,1,1
2365,174,17,WM Supercenter,,3,1,1,1
2366,160,16,WM Supercenter,,3,1,1,1
2367,419,52,WM Supercenter,,3,1,1,1
2368,174,17,WM Supercenter,,1,,,1
2369,181,16,WM Supercenter,,3,1,1,1
2370,188,16,WM Supercenter,,3,1,1,1
2371,163,17,WM Supercenter,,3,1,1,1
2373,161,17,Wal-Mart,,0,,,
2385,514,60,WM Supercenter,,3,1,1,1
2386,154,16,WM Supercenter,,2,,1,1
2387,114,3,WM Supercenter,,3,1,1,1
2388,239,21,WM Supercenter,,3,1,1,1
2391,548,72,Neighborhood Market,,0,,,
2392,102,72,Neighborhood Market,,0,,,
2393,533,64,Neighborhood Market,,0,,,
2394,533,64,Neighborhood Market,,0,,,
2395,507,64,Neighborhood Market,,0,,,
2396,488,72,Neighborhood Market,,0,,,
2397,561,64,Neighborhood Market,,0,,,
2398,183,16,Wal-Mart,,0,,,
2399,184,16,WM Supercenter,,3,1,1,1
2400,218,21,WM Supercenter,,3,1,1,1
2401,484,57,Wal-Mart,,0,,,
2402,400,56,WM Supercenter,,3,1,1,1
2403,514,60,WM Supercenter,,3,1,1,1
2404,87,7,WM Supercenter,,3,1,1,1
2405,194,76,WM Supercenter,,3,1,1,1
2406,488,72,Neighborhood Market,,0,,,
2411,16,14,STAND ALONE PICKUP,,0,,,
2412,293,75,WM Supercenter,,3,1,1,1
2414,500,59,Neighborhood Market,,0,,,
2417,196,53,WM Supercenter,,1,,,1
2418,455,56,Wal-Mart,,0,,,
2419,285,22,Wal-Mart,,0,,,
2420,235,20,WM Supercenter,,3,1,1,1
2421,436,53,WM Supercenter,,3,1,1,1
2422,476,60,Wal-Mart,,0,,,
2424,187,16,WM Supercenter,,0,,,
2425,485,59,Neighborhood Market,,0,,,
2426,217,21,WM Supercenter,,1,,,1
2427,53,5,WM Supercenter,,3,1,1,1
2428,409,44,WM Supercenter,,3,1,1,1
2429,223,21,WM Supercenter,,3,1,1,1
2431,492,72,Neighborhood Market,,0,,,
2432,433,47,WM Supercenter,,3,1,1,1
2433,561,64,Neighborhood Market,,0,,,
2434,196,53,WM Supercenter,,3,1,1,1
2435,282,75,WM Supercenter,,3,1,1,1
2436,293,75,WM Supercenter,,3,1,1,1
2437,286,76,WM Supercenter,,3,1,1,1
2438,291,75,WM Supercenter,,3,1,1,1
2439,60,6,WM Supercenter,,3,1,1,1
2440,294,4,WM Supercenter,,3,1,1,1
2441,225,21,WM Supercenter,,0,,,
2442,485,59,Neighborhood Market,,0,,,
2443,430,47,WM Supercenter,,3,1,1,1
2444,189,76,WM Supercenter,,3,1,1,1
2445,170,22,WM Supercenter,,3,1,1,1
2446,170,22,WM Supercenter,,3,1,1,1
2447,225,21,WM Supercenter,,3,1,1,1
2448,423,52,WM Supercenter,,3,1,1,1
2450,471,60,Wal-Mart,,0,,,
2451,570,64,Neighborhood Market,,0,,,
2452,444,53,WM Supercenter,,1,,,1
2453,392,56,WM Supercenter,,1,,,1
2455,383,47,WM Supercenter,,3,1,1,1
2457,454,56,WM Supercenter,,0,,,
2458,451,56,WM Supercenter,,1,,,1
2459,115,9,WM Supercenter,,3,1,1,1
2460,285,22,WM Supercenter,,0,,,
2463,56,5,WM Supercenter,,3,1,1,1
2464,454,56,WM Supercenter,,3,1,1,1
2465,497,59,Neighborhood Market,,0,,,
2467,545,72,Neighborhood Market,,0,,,
2468,552,61,Neighborhood Market,,0,,,
2469,467,60,WM Supercenter,,3,1,1,1
2471,217,21,WM Supercenter,,3,1,1,1
2472,308,26,WM Supercenter,,3,1,1,1
2473,470,57,Wal-Mart,,0,,,
2474,320,76,WM Supercenter,,2,,1,1
2475,25,2,WM Supercenter,,3,1,1,1
2476,475,60,WM Supercenter,,3,1,1,1
2477,468,56,WM Supercenter,,3,1,1,1
2479,459,58,WM Supercenter,,3,1,1,1
2480,226,17,WM Supercenter,,3,1,1,1
2481,232,22,WM Supercenter,,3,1,1,1
2482,372,46,WM Supercenter,,3,1,1,1
2483,394,57,WM Supercenter,,3,1,1,1
2484,118,9,WM Supercenter,,3,1,1,1
2485,474,60,WM Supercenter,,3,1,1,1
2486,512,61,Neighborhood Market,,0,,,
2487,515,61,Neighborhood Market,,0,,,
2488,566,59,Neighborhood Market,,0,,,
2489,600,55,WM On Campus/RX Facilities,,0,,,
2490,362,40,Wal-Mart,,0,,,
2491,273,25,WM Supercenter,,3,1,1,1
2492,475,60,WM Supercenter,,2,,1,1
2493,200,19,WM Supercenter,,0,,,
2494,460,58,WM Supercenter,,3,1,1,1
2495,466,58,Wal-Mart,,0,,,
2496,124,12,WM Supercenter,,1,,,1
2497,174,17,WM Supercenter,,3,1,1,1
2499,96,72,Neighborhood Market,,0,,,
2500,544,72,Neighborhood Market,,0,,,
2502,231,76,WM Supercenter,,3,1,1,1
2503,174,17,WM Supercenter,,3,1,1,1
2504,188,16,WM Supercenter,,1,,,1
2505,62,6,WM Supercenter,,3,1,1,1
2506,208,20,WM Supercenter,,3,1,1,1
2507,447,57,Wal-Mart,,0,,,
2508,399,56,WM Supercenter,,3,1,1,1
2509,439,53,WM Supercenter,,3,1,1,1
2510,440,53,WM Supercenter,,3,1,1,1
2511,582,54,WM Supercenter,,3,1,1,1
2512,369,46,WM Supercenter,,2,,1,1
2513,18,2,WM Supercenter,,3,1,1,1
2514,285,22,WM Supercenter,,3,1,1,1
2515,370,46,WM Supercenter,,3,1,1,1
2516,514,60,WM Supercenter,,1,,,1
2517,466,58,WM Supercenter,,0,,,
2518,178,22,Wal-Mart,,0,,,
2519,233,22,WM Supercenter,,3,1,1,1
2520,291,75,WM Supercenter,,3,1,1,1
2522,196,53,WM Supercenter,,3,1,1,1
2523,464,58,Wal-Mart,,0,,,
2526,446,57,WM Supercenter,,0,,,
2527,460,58,Wal-Mart,,0,,,
2528,232,22,WM Supercenter,,3,1,1,1
2529,289,75,WM Supercenter,,3,1,1,1
2530,181,16,Wal-Mart,,0,,,
2531,164,17,Wal-Mart,,0,,,
2532,263,53,WM Supercenter,,3,1,1,1
2533,14,14,WM Supercenter,,3,1,1,1
2534,7,14,WM Supercenter,,3,1,1,1
2535,232,22,WM Supercenter,,1,,,1
2536,581,57,Wal-Mart,,0,,,
2537,457,56,WM Supercenter,,2,,1,1
2538,478,60,Wal-Mart,,0,,,
2539,474,60,WM Supercenter,,3,1,1,1
2540,229,20,WM Supercenter,,3,1,1,1
2541,208,20,WM Supercenter,,3,1,1,1
2542,222,21,WM Supercenter,,0,,,
2543,226,17,WM Supercenter,,2,1,,1
2544,238,19,WM Supercenter,,3,1,1,1
2545,196,53,WM Supercenter,,3,1,1,1
2546,464,58,Wal-Mart,,0,,,
2547,164,17,WM Supercenter,,1,,,1
2548,316,20,WM Supercenter,,3,1,1,1
2549,474,60,WM Supercenter,,3,1,1,1
2550,476,60,WM Supercenter,,1,,,1
2551,280,76,Wal-Mart,,0,,,
2553,457,56,Wal-Mart,,0,,,
2554,368,46,WM Supercenter,,3,1,1,1
2555,284,22,Wal-Mart,,0,,,
2556,447,57,Wal-Mart,,0,,,
2557,447,57,WM Supercenter,,3,1,1,1
2558,206,19,Wal-Mart,,0,,,
2559,206,19,WM Supercenter,,3,1,1,1
2560,285,22,WM Supercenter,,3,1,1,1
2561,228,76,WM Supercenter,,3,1,1,1
2562,406,47,WM Supercenter,,0,,,
2563,580,41,WM Supercenter,,0,,,
2564,286,76,WM Supercenter,,0,,,
2565,315,75,WM Supercenter,,3,1,1,1
2566,280,76,WM Supercenter,,3,1,1,1
2567,200,19,WM Supercenter,,3,1,1,1
2568,446,57,Wal-Mart,,0,,,
2571,514,60,Wal-Mart,,0,,,
2572,218,21,WM Supercenter,,2,,1,1
2574,234,22,WM Supercenter,,3,1,1,1
2575,326,42,WM Supercenter,,3,1,1,1
2576,316,20,WM Supercenter,,3,1,1,1
2577,281,75,WM Supercenter,,3,1,1,1
2579,429,47,WM Supercenter,,0,,,
2580,300,4,WM Supercenter,,3,1,1,1
2581,191,76,WM Supercenter,,3,1,1,1
2582,174,17,Wal-Mart,,0,,,
2583,172,17,Wal-Mart,,0,,,
2584,23,2,WM Supercenter,,0,,,
2585,173,17,Wal-Mart,,0,,,
2586,195,76,WM Supercenter,,2,1,,1
2587,326,42,WM Supercenter,,3,1,1,1
2588,227,20,WM Supercenter,,3,1,1,1
2589,394,57,WM Supercenter,,0,,,
2590,550,61,Neighborhood Market,,0,,,
2591,109,9,WM Supercenter,,3,1,1,1
2592,394,57,WM Supercenter,,3,1,1,1
2593,396,57,WM Supercenter,,3,1,1,1
2594,471,60,Wal-Mart,,0,,,
2595,471,60,WM Supercenter,,3,1,1,1
2596,471,60,WM Supercenter,,3,1,1,1
2597,228,76,WM Supercenter,,3,1,1,1
2598,453,56,Wal-Mart,,0,,,
2599,86,7,WM Supercenter,,3,1,1,1
2600,339,40,WM Supercenter,,3,1,1,1
2602,152,12,WM Supercenter,,0,,,
2603,229,20,Wal-Mart,,0,,,
