Store Number,Vendor,Regular Visits,Plus up Visits,Total WK20 Visits,Regular Visits,Plus up Visits,Total Weekend Visits
1856,American Greetings,3,2,5,1,2,3
1859,American Greetings,3,2,5,1,2,3
1877,American Greetings,3,2,5,1,2,3
1903,American Greetings,3,2,5,1,2,3
1918,American Greetings,3,2,5,1,2,3
1921,American Greetings,3,2,5,1,2,3
1923,American Greetings,3,2,5,1,2,3
1932,American Greetings,3,2,5,1,2,3
1935,American Greetings,3,2,5,1,2,3
2126,American Greetings,4,2,6,1,2,3
2111,American Greetings,3,3,6,1,3,4
2106,American Greetings,2,3,5,0,3,3
2191,American Greetings,2,3,5,0,3,3
2215,American Greetings,2,3,5,0,3,3
2115,American Greetings,3,2,5,1,2,3
2100,American Greetings,2,3,5,0,3,3
2149,American Greetings,3,2,5,1,2,3
2210,American Greetings,2,3,5,0,3,3
2209,American Greetings,3,2,5,1,2,3
2114,American Greetings,2,4,6,0,4,4
2197,American Greetings,3,2,5,1,2,3
2166,American Greetings,2,3,5,0,3,3
2098,American Greetings,2,3,5,0,3,3
2205,American Greetings,2,3,5,0,3,3
2183,American Greetings,2,4,6,0,4,4
2202,American Greetings,3,2,5,1,2,3
2120,American Greetings,2,3,5,0,3,3
2155,American Greetings,3,2,5,1,2,3
2204,American Greetings,2,3,5,0,3,3
2276,American Greetings,2,3,5,0,3,3
2275,American Greetings,2,3,5,0,3,3
2279,American Greetings,3,2,5,1,2,3
2265,American Greetings,3,2,5,1,2,3
2227,American Greetings,2,3,5,0,3,3
2141,American Greetings,2,3,5,0,3,3
2134,American Greetings,2,3,5,0,3,3
2156,American Greetings,3,2,5,1,2,3
2250,American Greetings,2,3,5,0,3,3
2092,American Greetings,2,3,5,0,3,3
2045,American Greetings,3,2,5,1,2,3
2239,American Greetings,3,2,5,1,2,3
2234,American Greetings,3,2,5,1,2,3
2185,American Greetings,3,2,5,1,2,3
2129,American Greetings,3,2,5,1,2,3
571,American Greetings,3,3,6,1,3,4
573,American Greetings,3,2,5,1,2,3
580,American Greetings,2,3,5,0,3,3
593,American Greetings,2,3,5,0,3,3
616,American Greetings,2,3,5,0,3,3
1538,American Greetings,3,2,5,1,2,3
1565,American Greetings,3,2,5,1,2,3
1567,American Greetings,3,2,5,1,2,3
1571,American Greetings,3,2,5,1,2,3
1678,American Greetings,3,2,5,1,2,3
1740,American Greetings,3,2,5,1,2,3
1765,American Greetings,3,2,5,1,2,3
1820,American Greetings,3,2,5,1,2,3
1874,American Greetings,3,2,5,1,2,3
1882,American Greetings,3,2,5,1,2,3
1893,American Greetings,3,2,5,1,2,3
1901,American Greetings,3,2,5,1,2,3
1908,American Greetings,3,2,5,1,2,3
1931,American Greetings,3,2,5,1,2,3
2077,American Greetings,3,2,5,1,2,3
2127,American Greetings,3,2,5,1,2,3
2147,American Greetings,3,2,5,1,2,3
2150,American Greetings,3,2,5,1,2,3
2241,American Greetings,3,2,5,1,2,3
2278,American Greetings,3,2,5,1,2,3
2089,American Greetings,2,3,5,0,3,3
2237,American Greetings,2,3,5,0,3,3
2240,American Greetings,3,2,5,1,2,3
599,American Greetings,2,3,5,0,3,3
1182,American Greetings,3,2,5,1,2,3
977,American Greetings,2,3,5,0,3,3
736,American Greetings,2,3,5,0,3,3
665,American Greetings,2,3,5,0,3,3
519,American Greetings,2,3,5,0,3,3
333,American Greetings,2,3,5,0,3,3
803,American Greetings,2,3,5,0,3,3
773,American Greetings,2,3,5,0,3,3
521,American Greetings,2,3,5,0,3,3
310,American Greetings,2,3,5,0,3,3
411,American Greetings,1,3,4,0,2,2
1156,American Greetings,3,2,5,1,2,3
1131,American Greetings,2,3,5,0,3,3
625,American Greetings,2,3,5,0,3,3
676,American Greetings,2,3,5,0,3,3
1073,American Greetings,2,3,5,0,3,3
917,American Greetings,2,3,5,0,3,3
812,American Greetings,2,3,5,0,3,3
900,American Greetings,1,3,4,0,2,2
804,American Greetings,2,3,5,0,3,3
793,American Greetings,3,3,6,1,3,4
745,American Greetings,2,4,6,0,4,4
1232,American Greetings,2,3,5,0,3,3
2164,American Greetings,3,2,5,1,2,3
3,American Greetings,3,2,5,1,2,3
31,American Greetings,3,2,5,1,2,3
144,American Greetings,3,2,5,1,2,3
250,American Greetings,3,2,5,1,2,3
253,American Greetings,2,3,5,0,3,3
254,American Greetings,2,3,5,0,3,3
256,American Greetings,3,2,5,1,2,3
282,American Greetings,3,2,5,1,2,3
681,American Greetings,2,3,5,0,3,3
741,American Greetings,3,2,5,1,2,3
313,American Greetings,3,2,5,1,2,3
317,American Greetings,2,3,5,0,3,3
321,American Greetings,3,2,5,1,2,3
328,American Greetings,3,2,5,1,2,3
334,American Greetings,2,3,5,0,3,3
342,American Greetings,3,2,5,1,2,3
343,American Greetings,3,2,5,1,2,3
350,American Greetings,3,2,5,1,2,3
352,American Greetings,3,2,5,1,2,3
354,American Greetings,3,2,5,1,2,3
357,American Greetings,3,2,5,1,2,3
1220,American Greetings,2,3,5,0,3,3
358,American Greetings,3,2,5,1,2,3
361,American Greetings,3,2,5,1,2,3
1239,American Greetings,2,3,5,0,3,3
371,American Greetings,3,2,5,1,2,3
1264,American Greetings,3,2,5,1,2,3
1289,American Greetings,3,2,5,1,2,3
417,American Greetings,3,2,5,1,2,3
421,American Greetings,3,2,5,1,2,3
435,American Greetings,3,2,5,1,2,3
1303,American Greetings,3,2,5,1,2,3
436,American Greetings,3,2,5,1,2,3
1331,American Greetings,3,2,5,1,2,3
1333,American Greetings,2,3,5,0,3,3
454,American Greetings,2,3,5,0,3,3
1348,American Greetings,3,2,5,1,2,3
1368,American Greetings,2,3,5,0,3,3
480,American Greetings,3,2,5,1,2,3
750,American Greetings,3,2,5,1,2,3
751,American Greetings,3,2,5,1,2,3
1403,American Greetings,3,2,5,1,2,3
758,American Greetings,2,3,5,0,3,3
1407,American Greetings,2,3,5,0,3,3
1410,American Greetings,3,2,5,1,2,3
1412,American Greetings,3,2,5,1,2,3
801,American Greetings,3,2,5,1,2,3
513,American Greetings,3,2,5,1,2,3
517,American Greetings,3,2,5,1,2,3
1416,American Greetings,2,3,5,0,3,3
827,American Greetings,3,2,5,1,2,3
518,American Greetings,3,2,5,1,2,3
1448,American Greetings,3,3,6,1,3,4
1461,American Greetings,3,2,5,1,2,3
550,American Greetings,3,2,5,1,2,3
559,American Greetings,3,2,5,1,2,3
565,American Greetings,3,2,5,1,2,3
1508,American Greetings,3,2,5,1,2,3
1509,American Greetings,3,2,5,1,2,3
1526,American Greetings,3,2,5,1,2,3
859,American Greetings,2,3,5,0,3,3
873,American Greetings,3,2,5,1,2,3
603,American Greetings,3,2,5,1,2,3
1595,American Greetings,3,2,5,1,2,3
908,American Greetings,2,3,5,0,3,3
646,American Greetings,3,2,5,1,2,3
647,American Greetings,3,2,5,1,2,3
1684,American Greetings,3,2,5,1,2,3
925,American Greetings,2,3,5,0,3,3
1698,American Greetings,3,2,5,1,2,3
922,American Greetings,3,2,5,1,2,3
1784,American Greetings,3,2,5,1,2,3
1805,American Greetings,3,2,5,1,2,3
2082,American Greetings,3,2,5,1,2,3
2099,American Greetings,3,2,5,1,2,3
2142,American Greetings,3,2,5,1,2,3
2207,American Greetings,3,2,5,1,2,3
2208,American Greetings,3,2,5,1,2,3
2221,American Greetings,3,2,5,1,2,3
942,American Greetings,3,2,5,1,2,3
2243,American Greetings,3,2,5,1,2,3
2271,American Greetings,3,2,5,1,2,3
944,American Greetings,3,2,5,1,2,3
957,American Greetings,3,2,5,1,2,3
1429,American Greetings,3,2,5,1,2,3
971,American Greetings,3,2,5,1,2,3
984,American Greetings,3,2,5,1,2,3
994,American Greetings,3,2,5,1,2,3
1006,American Greetings,2,3,5,0,3,3
1017,American Greetings,2,3,5,0,3,3
1030,American Greetings,2,3,5,0,3,3
1104,American Greetings,3,2,5,1,2,3
1067,American Greetings,3,2,5,1,2,3
1068,American Greetings,3,2,5,1,2,3
1079,American Greetings,3,2,5,1,2,3
1133,American Greetings,3,2,5,1,2,3
1091,American Greetings,3,2,5,1,2,3
1173,American Greetings,2,3,5,0,3,3
1190,American Greetings,2,3,5,0,3,3
