Region,Store,Format,BU,City,St
56,2735,Large,M - WEST BU,SACRAMENTO,CA
12,2757,Large,A - SOUTHEAST BU,MURFREESBORO,TN
44,2803,Large,B - SOUTHWEST BU,EDMOND,OK
22,2830,Large,F - EAST BU,EDDYSTONE,PA
72,2840,Small,O - NHM BU,BRUNSWICK,GA
4,2860,Large,F - EAST BU,POOLER,GA
22,2871,Large,F - EAST BU,CINNAMINSON,NJ
64,2875,Small,O - NHM BU,WARR ACRES,OK
9,2881,Large,A - SOUTHEAST BU,KISSIMMEE,FL
57,2886,Large,M - WEST BU,PICO RIVERA,CA
20,2910,Large,E - NORTH BU,SALEM,OH
46,2924,Large,B - SOUTHWEST BU,ALBUQUERQUE,NM
72,2930,Small,O - NHM BU,TAMARAC,FL
2,2932,Large,A - SOUTHEAST BU,KNOXVILLE,TN
9,2946,Large,A - SOUTHEAST BU,FORT LAUDERDALE,FL
57,2951,Large,M - WEST BU,LANCASTER,CA
9,2962,Large,A - SOUTHEAST BU,POMPANO BEACH,FL
57,2985,Large,M - WEST BU,FRESNO,CA
53,2986,Large,E - NORTH BU,NEENAH,WI
6,2993,Large,B - SOUTHWEST BU,SUGAR LAND,TX
2,3008,Large,A - SOUTHEAST BU,ATLANTA,GA
5,3014,Large,B - SOUTHWEST BU,DALLAS,TX
64,3043,Small,O - NHM BU,FORT WORTH,TX
61,3046,Small,O - NHM BU,MODESTO,CA
61,3047,Small,O - NHM BU,TURLOCK,CA
60,3053,Large,M - WEST BU,EVERETT,WA
72,3062,Small,O - NHM BU,SPRINGFIELD,MO
61,3098,Small,O - NHM BU,BELLEVUE,WA
6,3112,Large,B - SOUTHWEST BU,SAN ANTONIO,TX
61,3143,Small,O - NHM BU,TUCSON,AZ
61,3144,Small,O - NHM BU,MILWAUKIE,OR
17,3159,Large,F - EAST BU,TETERBORO,NJ
57,3180,Large,M - WEST BU,SOUTH GATE,CA
22,3212,Large,F - EAST BU,EGG HBR TWP,NJ
75,3215,Large,F - EAST BU,MORGANTOWN,WV
60,3217,Large,M - WEST BU,OTHELLO,WA
9,3235,Large,A - SOUTHEAST BU,NORTH MIAMI BEACH,FL
22,3266,Large,F - EAST BU,EAST WINDSOR,NJ
47,3267,Large,M - WEST BU,OMAHA,NE
53,3268,Large,E - NORTH BU,ANTIGO,WI
56,3277,Large,M - WEST BU,RENO,NV
17,3334,Large,F - EAST BU,MALONE,NY
9,3347,Large,A - SOUTHEAST BU,WINTER HAVEN,FL
57,3350,Large,M - WEST BU,LAS VEGAS,NV
56,3352,Large,M - WEST BU,STOCKTON,CA
61,3355,Small,O - NHM BU,LAS VEGAS,NV
41,3362,Large,E - NORTH BU,OAK GROVE,KY
4,3367,Large,F - EAST BU,NORTH CHARLESTON,SC
6,3391,Large,B - SOUTHWEST BU,SCHERTZ,TX
2,3401,Large,A - SOUTHEAST BU,COLLEGE PARK,GA
46,3407,Large,B - SOUTHWEST BU,BUCKEYE,AZ
22,3422,Large,F - EAST BU,DEPTFORD,NJ
56,3455,Large,M - WEST BU,RICHMOND,CA
64,3457,Small,O - NHM BU,TULSA,OK
19,3458,Large,E - NORTH BU,WHITEHALL,MI
9,3463,Large,A - SOUTHEAST BU,BRANDON,FL
17,3469,Large,F - EAST BU,LINDEN,NJ
57,3477,Large,M - WEST BU,LONG BEACH,CA
60,3478,Large,M - WEST BU,HONOLULU,HI
75,3489,Large,F - EAST BU,BALTIMORE,MD
57,3516,Large,M - WEST BU,CHULA VISTA,CA
46,3518,Large,B - SOUTHWEST BU,LAREDO,TX
