Store,,DEC,73,YTD,74,DEC,75,YTD,76,DEC,77,YTD,78,DEC,79,YTD,80,DEC,81,YTD,82,DEC,83,YTD,84,DEC,85,YTD,86,DEC,87,YTD,88,DEC,89,YTD,90,DEC,91,YTD,92
8331,,26.39%,G,44.60%,G,63.01%,G,83.94%,G,83.81%,G,75.80%,G,49.57%,G,96.26%,G,21,,150,,35.47%,,40.28%,,3,,45,,57.44%,,49.90%,,0:49:30,,0:52:34,,46/2576,G,39/2576,G
Total,B,2.43%,G,13.44%,G,33.18%,G,40.67%,G,48.33%,G,21.27%,G,8.61%,,28.49%,G,0.98,G,1.47,G,38.44%,,39.26%,,0.56,G,1.06,G,63.77%,,46.31%,,0:41:02,G,0:41:18,G,5/394,G,3/394,G
5295,,-8.16%,,3.52%,,67.58%,G,102.77%,G,37.68%,G,101.92%,G,88.03%,G,76.62%,G,0,R,0,R,13.86%,R,8.72%,R,0,R,17,R,24.63%,R,7.19%,R,1:12:28,R,1:16:10,R,1026/2576,,794/2576,
Total,B,-8.16%,,3.52%,,67.58%,G,102.77%,G,37.68%,G,101.92%,G,88.03%,G,76.62%,G,0.00,R,0.00,R,13.86%,R,8.72%,R,0.00,R,0.05,R,24.63%,R,7.19%,R,1:12:28,R,1:16:10,R,156/394,,116/394,
3548,,-8.74%,,0.70%,,8.21%,,9.00%,,20.86%,,-8.74%,R,6.35%,,16.85%,,4,,36,R,40.25%,,34.67%,,5,,87,,84.28%,,41.22%,,0:57:36,,1:09:09,R,1654/2576,,2202/2576,R
3803,,-10.57%,R,12.37%,G,6.95%,,29.83%,G,9.66%,,6.74%,,0.40%,,36.60%,G,2,R,47,,40.64%,,43.41%,,0,R,34,,53.39%,,46.34%,,0:20:31,G,0:17:12,G,1796/2576,,205/2576,G
5294,,-10.71%,R,-1.71%,R,11.90%,,12.07%,,3.71%,,0.27%,,1.78%,,24.10%,,1,R,10,R,39.30%,,35.42%,,2,,23,,45.45%,,40.67%,,0:27:44,G,0:24:14,G,1676/2576,,1858/2576,
Total,B,-9.95%,R,3.33%,,9.03%,,16.38%,,10.89%,,-0.84%,R,2.70%,,25.67%,G,0.08,R,0.09,R,40.04%,G,37.91%,,0.08,,0.14,,60.22%,,42.76%,,0:35:57,G,0:36:29,G,307/394,,216/394,
3291,,-11.03%,R,3.64%,,10.54%,,31.35%,G,-5.33%,R,6.44%,,10.36%,,34.43%,G,3,,288,G,28.37%,,27.00%,R,2,,23,,81.12%,,70.42%,,0:43:27,,0:47:18,,1860/2576,,663/2576,
Total,B,-11.03%,R,3.64%,,10.54%,,31.35%,G,-5.33%,R,6.44%,,10.36%,,34.43%,G,0.10,R,0.87,G,28.37%,,27.00%,R,0.07,,0.07,R,81.12%,G,70.42%,G,0:43:27,,0:47:18,,327/394,R,75/394,G
2825,,-11.59%,R,6.43%,,-5.15%,R,22.59%,,-35.39%,R,7.22%,,5.41%,,52.81%,G,0,R,79,,37.61%,,25.56%,R,0,R,49,,12.44%,R,12.37%,R,0:44:35,,0:52:04,,2442/2576,R,851/2576,
5201,,-28.48%,R,-5.98%,R,-22.46%,R,-4.52%,R,-63.43%,R,-26.07%,R,1.56%,,31.04%,G,0,R,2,R,28.62%,,21.07%,R,0,R,16,R,13.64%,R,7.05%,R,1:22:14,R,1:23:58,R,2573/2576,R,2547/2576,R
Total,B,-19.67%,R,0.18%,R,-13.98%,R,8.96%,R,-47.44%,R,-6.65%,R,3.49%,,40.42%,G,0.00,R,0.12,R,33.20%,,23.18%,R,0.00,R,0.10,R,13.03%,R,9.55%,R,0:56:24,,1:02:40,R,393/394,R,385/394,R
1976,,-16.26%,R,2.21%,,13.87%,,23.24%,,21.48%,,8.29%,,-18.48%,R,9.69%,,3,,72,,30.67%,,29.32%,,0,R,22,,27.42%,R,15.28%,R,1:08:40,R,0:58:49,,2205/2576,R,1531/2576,
2120,,-9.53%,,-4.17%,R,13.30%,,17.15%,,28.09%,,11.90%,,0.83%,,14.54%,,6,,74,,24.32%,R,19.78%,R,0,R,32,,22.27%,R,31.43%,R,0:32:23,G,0:29:18,G,1587/2576,,1651/2576,
2135,,-9.57%,,4.17%,,-1.01%,R,19.23%,,11.73%,,0.41%,,-27.02%,R,11.00%,,7,,125,,39.34%,,36.35%,,5,,136,G,123.84%,G,69.33%,,0:53:00,,0:39:44,,2132/2576,R,1032/2576,
2262,,-13.98%,R,1.28%,,-21.74%,R,0.23%,R,-7.39%,R,-6.37%,R,-22.17%,R,-3.82%,R,0,R,192,,19.56%,R,24.64%,R,1,R,41,,30.67%,R,43.44%,,0:57:43,,0:59:30,,2570/2576,R,2447/2576,R
2992,,-6.44%,,2.11%,,24.27%,,22.78%,,28.46%,,14.35%,,1.99%,,8.12%,,8,,92,,26.69%,,26.47%,R,3,,26,,70.43%,,64.23%,,0:24:48,G,0:33:15,G,827/2576,,1059/2576,
3221,,-10.70%,R,-0.40%,R,6.84%,,12.27%,,20.66%,,8.09%,,-12.94%,R,-4.52%,R,0,R,39,R,27.31%,,27.50%,R,2,,40,,10.24%,R,36.72%,,0:19:22,G,0:24:05,G,1972/2576,,1978/2576,
5240,,-14.55%,R,3.51%,,4.56%,,34.83%,G,47.32%,G,41.99%,G,4.50%,,24.67%,,4,,251,,17.41%,R,21.52%,R,1,R,178,G,11.03%,R,19.86%,R,0:40:13,,0:40:36,,2061/2576,R,449/2576,G
Total,B,-11.79%,R,1.20%,R,6.71%,R,18.20%,,20.67%,,9.28%,,-11.52%,R,8.15%,R,0.13,R,0.36,,26.68%,R,26.69%,R,0.06,R,0.20,,41.41%,R,38.18%,R,0:35:45,G,0:36:40,G,366/394,R,236/394,
1623,,-9.31%,,2.00%,,-0.69%,R,13.13%,,1.96%,,-5.05%,R,16.65%,,27.79%,G,3,,77,,32.27%,,32.23%,,2,,76,,67.09%,,57.24%,,0:54:46,,0:59:39,,2171/2576,R,1767/2576,
1884,,-15.72%,R,2.20%,,5.99%,,20.49%,,22.46%,,12.88%,,-14.85%,R,26.41%,G,4,,175,,28.84%,,25.97%,R,1,R,21,,41.40%,,25.04%,R,0:49:35,,0:43:17,,2252/2576,R,1120/2576,
2064,,-12.07%,R,-5.71%,R,-6.74%,R,1.64%,R,9.46%,,-3.41%,R,-11.12%,R,4.84%,R,1,R,33,R,21.90%,R,21.92%,R,4,,21,,16.77%,R,22.11%,R,1:01:47,R,0:51:48,,2512/2576,R,2533/2576,R
2480,,-5.69%,,-1.76%,R,8.80%,,4.48%,R,7.93%,,1.08%,,-2.41%,,1.77%,R,0,R,97,,24.54%,R,21.83%,R,0,R,5,R,49.48%,,36.69%,,0:47:05,,0:47:57,,1989/2576,,2456/2576,R
Total,B,-10.97%,R,-0.81%,R,0.76%,R,10.08%,R,11.65%,,1.79%,R,-3.99%,R,16.05%,,0.07,R,0.29,,27.41%,R,26.00%,R,0.06,R,0.09,R,44.11%,R,35.07%,R,0:54:02,,0:49:52,,388/394,R,376/394,R
&nbsp;,B,-9.11%,R,3.42%,,13.23%,,21.10%,G,17.85%,,7.33%,,2.92%,,23.04%,G,0.31,,0.52,,29.32%,R,26.76%,R,0.14,,0.29,,49.18%,R,35.41%,R,0:43:27,G,0:43:27,G,23/34,,3/34,G
2108,,-18.94%,R,1.17%,,21.53%,,32.08%,G,1.94%,,14.03%,,23.42%,G,36.21%,G,9,,78,,22.91%,R,25.14%,R,2,,27,,75.79%,,50.77%,,1:42:00,R,1:20:33,R,1754/2576,,1057/2576,
Total,B,-18.94%,R,1.17%,R,21.53%,,32.08%,G,1.94%,R,14.03%,G,23.42%,G,36.21%,G,0.30,,0.23,R,22.91%,R,25.14%,R,0.07,,0.08,R,75.79%,,50.77%,,1:42:00,R,1:20:33,R,281/394,,167/394,
2830,,0.30%,,6.54%,,6.80%,,25.08%,,31.82%,G,25.74%,G,1.80%,,30.22%,G,1,R,35,R,21.02%,R,20.75%,R,0,R,6,R,49.90%,,41.49%,,0:44:16,,0:40:23,,1495/2576,,645/2576,
5130,,10.08%,G,23.23%,G,11.21%,,30.37%,G,16.76%,,20.10%,G,12.77%,,33.64%,G,12,,153,,27.52%,,35.49%,,25,G,250,G,57.64%,,46.68%,,1:35:54,R,1:28:46,R,1022/2576,,279/2576,G
Total,B,7.49%,G,18.30%,G,9.63%,,28.47%,G,24.52%,G,23.15%,G,9.82%,,32.63%,G,0.22,,0.28,,25.90%,R,31.21%,,0.42,G,0.39,G,55.72%,,45.18%,,1:04:58,R,0:59:40,,179/394,,28/394,G
2167,,-13.90%,R,-2.75%,R,-2.87%,R,9.85%,,0.79%,,1.70%,,0.00%,,19.82%,,2,R,25,R,17.50%,R,19.69%,R,4,,27,,6.59%,R,9.74%,R,0:41:36,,0:40:21,,2414/2576,R,2180/2576,R
5239,,-17.79%,R,0.61%,,-4.78%,R,10.88%,,4.02%,,3.60%,,-11.98%,R,9.87%,,29,G,349,G,17.01%,R,24.03%,R,6,,40,,66.89%,,79.65%,G,0:56:42,,0:52:08,,2446/2576,R,1924/2576,
Total,B,-16.15%,R,-0.82%,R,-3.85%,R,10.41%,R,2.31%,R,2.63%,,-6.38%,R,14.46%,,0.52,,0.56,,17.25%,R,21.93%,R,0.17,,0.10,R,36.78%,R,45.88%,,0:48:09,,0:45:37,,391/394,R,362/394,R
1777,,-22.96%,R,-3.39%,R,-33.54%,R,2.10%,R,-27.27%,R,1.20%,,-25.75%,R,2.45%,R,1,R,43,,21.01%,R,36.36%,,0,R,75,,35.70%,R,38.33%,,1:03:11,R,0:56:28,,2575/2576,R,2444/2576,R
2252,,-6.51%,,-2.51%,R,15.64%,,5.36%,R,13.27%,,-12.16%,R,16.90%,,22.29%,,9,,116,,9.42%,R,13.70%,R,0,R,45,,33.84%,R,20.73%,R,1:13:59,R,1:03:13,,1712/2576,,2408/2576,R
2614,,-10.16%,R,6.43%,,3.89%,,21.45%,,-9.09%,R,4.94%,,2.59%,,32.72%,G,3,,26,R,38.06%,,31.64%,,1,R,44,,21.17%,R,21.09%,R,1:01:26,,1:12:49,R,2345/2576,R,1130/2576,
2641,,-12.27%,R,3.07%,,20.95%,,17.32%,,10.84%,,16.98%,,32.10%,G,25.05%,,1,R,36,R,36.77%,,31.01%,,2,,33,,0.43%,R,6.53%,R,0:39:01,,0:43:01,,1283/2576,,1254/2576,
3810,,-10.30%,R,5.57%,,17.83%,,25.04%,,8.00%,,0.69%,,9.35%,,33.25%,G,0,R,51,,39.51%,,34.07%,,1,R,25,,103.46%,G,82.15%,G,0:48:28,,0:41:08,,1434/2576,,694/2576,
Total,B,-12.01%,R,1.57%,,4.07%,R,13.88%,,-0.61%,R,2.86%,,6.23%,,22.08%,,0.09,R,0.16,R,26.27%,R,27.13%,R,0.03,R,0.13,,38.47%,R,32.60%,R,0:54:07,,0:53:38,,389/394,R,341/394,R
5131,,-11.48%,R,6.51%,,9.44%,,13.05%,,11.32%,,1.44%,,1.61%,,30.07%,G,2,R,31,R,28.65%,,31.42%,,1,R,37,,25.71%,R,15.70%,R,1:09:48,R,1:18:12,R,2217/2576,R,1670/2576,
Total,B,-11.48%,R,6.51%,G,9.44%,,13.05%,,11.32%,,1.44%,R,1.61%,,30.07%,G,0.07,R,0.09,R,28.65%,,31.42%,,0.03,R,0.11,R,25.71%,R,15.70%,R,1:09:48,R,1:18:12,R,382/394,R,307/394,
3337,,-0.63%,,6.86%,,109.92%,G,31.60%,G,2564.00%,G,20.27%,G,5.62%,,19.90%,,15,,125,,39.29%,,36.77%,,5,,60,,53.62%,,41.85%,,0:55:47,,1:02:11,,300/2576,G,528/2576,
Total,B,-0.63%,,6.86%,G,109.92%,G,31.60%,G,2564.00%,G,20.27%,G,5.62%,,19.90%,,0.50,,0.38,,39.29%,,36.77%,,0.17,,0.18,,53.62%,,41.85%,R,0:55:47,,1:02:11,R,39/394,G,42/394,G
1644,,-5.16%,,-0.71%,R,22.10%,,18.82%,,11.56%,,6.35%,,9.57%,,5.97%,,7,,136,,26.51%,,24.43%,R,3,,86,,68.81%,,62.07%,,0:57:05,,0:53:13,,1212/2576,,1702/2576,
1794,,-10.05%,R,3.00%,,11.79%,,27.15%,,4.20%,,11.99%,,8.70%,,19.08%,,3,,84,,23.76%,R,20.96%,R,0,R,66,,69.12%,,62.10%,,0:44:35,,0:44:03,,1865/2576,,809/2576,
2169,,-3.52%,,3.77%,,14.68%,,20.65%,,21.43%,,4.34%,,19.52%,,25.85%,G,2,R,25,R,19.37%,R,21.06%,R,1,R,63,,44.12%,,53.18%,,0:57:47,,0:59:08,,1373/2576,,1282/2576,
2255,,-3.97%,,5.03%,,12.94%,,15.61%,,18.28%,,15.88%,,-0.13%,,9.71%,,3,,41,,28.52%,,29.63%,,1,R,31,,50.91%,,33.95%,,1:04:50,R,0:49:11,,1666/2576,,1429/2576,
2481,,-16.81%,R,0.50%,,-13.36%,R,27.74%,G,7.56%,,15.83%,,-11.41%,R,13.09%,,4,,292,G,18.50%,R,24.25%,R,1,R,116,G,92.51%,G,89.07%,G,0:39:14,,0:32:41,G,2424/2576,R,706/2576,
2528,,-3.12%,,2.52%,,24.55%,,20.09%,,11.97%,,7.11%,,13.32%,,11.18%,,30,G,179,,26.64%,,26.85%,R,0,R,27,,60.57%,,48.70%,,0:30:25,G,0:34:28,G,735/2576,,1201/2576,
2535,,-14.48%,R,-3.80%,R,1.04%,R,7.02%,R,50.72%,G,17.74%,G,-24.30%,R,-4.04%,R,1,R,11,R,19.02%,R,22.44%,R,2,,19,R,20.65%,R,41.91%,,0:39:46,,0:38:27,,2284/2576,R,2277/2576,R
3412,,0.32%,,4.58%,,14.53%,,15.34%,,25.59%,,12.50%,,24.78%,G,15.38%,,4,,59,,18.60%,R,24.19%,R,1,R,16,R,78.71%,,75.17%,,0:35:58,G,0:37:20,G,782/2576,,1211/2576,
3634,,-16.82%,R,2.13%,,-22.64%,R,18.54%,,8.59%,,26.34%,G,-35.94%,R,7.56%,,12,,367,G,19.48%,R,28.08%,,3,,50,,45.97%,,36.55%,,1:06:50,R,0:57:52,,2547/2576,R,1377/2576,
Total,B,-7.64%,,1.82%,,8.95%,,19.02%,,17.16%,,12.14%,,1.52%,,11.41%,,0.24,,0.40,,23.07%,R,24.46%,R,0.04,R,0.16,,59.32%,,55.45%,,0:49:23,,0:45:39,,340/394,R,210/394,
2023,,16.20%,G,10.80%,G,126.60%,G,95.90%,G,225.00%,G,58.85%,G,33.77%,G,64.86%,G,22,,543,G,37.05%,,39.91%,,3,,94,,100.66%,G,63.31%,,0:22:48,G,0:29:56,G,3/2576,G,6/2576,G
2205,,-11.14%,R,0.65%,,3.62%,,12.62%,,16.71%,,12.08%,,8.25%,,21.91%,,0,R,29,R,15.78%,R,24.51%,R,3,,21,,32.45%,R,37.65%,,0:39:55,,0:41:59,,2080/2576,R,1774/2576,
2334,,-1.57%,,-1.03%,R,33.71%,G,10.02%,,37.05%,G,6.73%,,22.61%,,5.68%,,0,R,61,,25.29%,R,13.48%,R,2,,11,R,24.33%,R,22.49%,R,0:31:03,G,0:40:40,,494/2576,G,2238/2576,R
2519,,-3.53%,,2.33%,,43.50%,G,21.23%,,6.41%,,9.56%,,53.72%,G,31.00%,G,4,,34,R,24.49%,R,23.80%,R,1,R,29,,78.00%,,63.33%,,0:52:03,,0:44:51,,724/2576,,1100/2576,
2888,,-6.98%,,1.64%,,89.04%,G,21.42%,,339.58%,G,-19.98%,R,21.90%,,31.21%,G,47,G,153,,25.00%,R,23.52%,R,4,,10,R,100.74%,G,74.21%,,0:30:39,G,0:28:51,G,197/2576,G,1189/2576,
2945,,1.84%,,8.68%,G,49.55%,G,55.41%,G,82.55%,G,46.18%,G,7.69%,,28.96%,G,8,,155,,18.05%,R,18.49%,R,6,,59,,34.77%,R,29.53%,R,0:35:28,G,0:39:41,,264/2576,G,159/2576,G
3501,,-0.24%,,2.19%,,26.16%,,16.33%,,18.18%,,5.72%,,24.18%,G,17.27%,,2,R,38,R,23.76%,R,20.85%,R,2,,11,R,99.34%,G,84.73%,G,0:23:54,G,0:25:47,G,426/2576,G,1399/2576,
Total,B,-1.68%,,3.44%,,42.65%,G,27.79%,G,52.10%,G,15.12%,G,22.87%,G,26.07%,G,0.40,,0.44,,23.31%,R,23.13%,R,0.10,,0.10,R,62.97%,,50.52%,,0:33:01,G,0:36:57,G,18/394,G,68/394,G
2574,,-14.40%,R,-7.05%,R,-29.11%,R,-24.57%,R,-50.47%,R,-41.85%,R,-7.76%,,-7.23%,R,3,,72,,16.42%,R,13.13%,R,1,R,13,R,23.74%,R,40.92%,,1:10:08,R,1:32:44,R,2571/2576,R,2575/2576,R
3633,,-4.39%,,0.00%,R,13.55%,,16.90%,,8.65%,,13.12%,,1.23%,,2.45%,R,53,G,399,G,22.71%,R,24.22%,R,48,G,322,G,90.55%,,81.42%,G,0:45:45,,0:51:20,,1196/2576,,1501/2576,
5358,,-9.95%,R,1.14%,,7.22%,,17.29%,,14.95%,,4.70%,,-8.25%,R,12.93%,,5,,99,,14.99%,R,20.50%,R,5,,52,,101.80%,G,87.14%,G,0:52:19,,0:53:51,,1983/2576,,1607/2576,
5469,,-3.54%,,4.77%,,4.67%,,21.48%,,-4.23%,R,9.78%,,9.09%,,23.81%,,1,R,68,,24.81%,R,32.60%,,0,R,41,,113.45%,G,91.82%,G,0:50:16,,0:52:17,,1907/2576,,834/2576,
Total,B,-8.62%,,-0.93%,R,-1.51%,R,6.84%,R,-6.38%,R,-4.23%,R,-2.63%,R,6.04%,R,0.52,,0.48,,19.36%,R,21.84%,R,0.45,G,0.32,G,79.10%,,74.20%,G,0:52:52,,0:59:12,,380/394,R,382/394,R
1792,,-8.19%,,0.58%,,1.30%,R,20.36%,,14.52%,,9.51%,,-11.80%,R,5.77%,,1,R,91,,31.05%,,32.84%,,0,R,14,R,108.44%,G,94.12%,G,0:35:09,G,0:25:32,G,1985/2576,,1272/2576,
2049,,-18.02%,R,-6.59%,R,-9.59%,R,0.70%,R,14.72%,,-1.01%,,-24.28%,R,-7.38%,R,26,,167,,14.02%,R,17.32%,R,2,,52,,62.63%,,64.83%,,0:50:56,,0:49:27,,2453/2576,R,2458/2576,R
2129,,-3.76%,,-0.57%,R,23.32%,,23.63%,,12.66%,,-2.07%,R,-7.93%,,2.09%,R,15,,177,,49.11%,G,48.17%,G,3,,56,,84.53%,,46.83%,,0:43:51,,0:53:02,,887/2576,,1532/2576,
2230,,-11.13%,R,-3.66%,R,21.04%,,11.38%,,33.96%,G,7.05%,,-11.65%,R,-0.62%,R,4,,24,R,14.84%,R,17.94%,R,2,,31,,83.38%,,76.41%,,1:02:15,R,0:57:35,,1639/2576,,2301/2576,R
5470,,-10.69%,R,0.07%,R,1.40%,,13.18%,,7.11%,,7.54%,,-15.07%,R,0.66%,R,17,,411,G,18.43%,R,18.14%,R,8,,156,G,73.04%,,64.72%,,0:37:37,,0:32:58,G,2124/2576,R,1666/2576,
Total,B,-10.90%,R,-2.38%,R,6.69%,R,13.52%,,15.57%,,4.19%,,-14.58%,R,-0.44%,R,0.42,,0.52,,26.19%,R,26.97%,R,0.10,,0.19,,81.76%,G,68.41%,G,0:45:09,,0:42:49,G,354/394,R,338/394,R
1741,,-15.42%,R,-2.76%,R,9.48%,,1.77%,R,9.36%,,-6.96%,R,14.03%,,3.78%,R,13,,368,G,30.06%,,29.66%,,0,R,40,,37.54%,R,25.96%,R,0:54:48,,0:58:03,,2058/2576,,2471/2576,R
1860,,-3.64%,,9.73%,G,20.37%,,29.75%,G,68.18%,G,27.32%,G,-5.53%,,11.33%,,4,,65,,27.79%,,29.35%,,2,,30,,79.89%,,60.72%,,1:11:53,R,1:16:05,R,1219/2576,,673/2576,
2555,,-12.11%,R,5.41%,,5.35%,,34.70%,G,-10.75%,R,32.09%,G,39.12%,G,41.12%,G,0,R,25,R,24.63%,R,32.38%,,0,R,20,,14.51%,R,9.06%,R,0:46:06,,0:38:37,,2251/2576,R,463/2576,G
5039,,0.30%,,4.30%,,44.35%,G,35.22%,G,47.73%,G,17.46%,G,37.78%,G,30.35%,G,4,,82,,29.97%,,29.91%,,5,,135,G,98.39%,G,86.11%,G,1:10:48,R,1:10:49,R,339/2576,G,550/2576,
5384,,-1.09%,,6.37%,,32.69%,G,28.45%,G,22.85%,,18.29%,G,18.22%,,21.62%,,8,,139,,29.95%,,28.26%,,1,R,20,,16.99%,R,25.20%,R,0:52:43,,0:47:48,,708/2576,,657/2576,
5450,,-9.11%,,12.31%,G,11.56%,,73.97%,G,16.46%,,76.36%,G,15.71%,,57.36%,G,3,,61,,17.01%,R,24.90%,R,0,R,20,,96.05%,G,90.70%,G,1:01:40,R,0:57:26,,1766/2576,,147/2576,G
Total,B,-6.92%,,5.50%,,20.32%,,29.83%,G,19.09%,,20.51%,G,20.20%,G,26.17%,G,0.18,R,0.37,,26.59%,R,29.46%,,0.04,R,0.13,,55.22%,,46.84%,,0:58:20,R,0:54:44,,191/394,,56/394,G
1890,,-7.84%,,3.07%,,6.07%,,12.76%,,4.36%,,6.40%,,-8.53%,R,4.16%,R,8,,67,,41.79%,,48.12%,G,2,,47,,69.40%,,46.34%,,0:38:54,,0:30:28,G,1840/2576,,1518/2576,
2460,,-11.10%,R,-0.36%,R,12.05%,,19.51%,,2.00%,,11.38%,,-10.04%,R,14.29%,,1,R,12,R,23.03%,R,30.48%,,0,R,15,R,40.20%,,28.29%,R,0:53:45,,0:52:33,,2256/2576,R,1733/2576,
2514,,-8.45%,,4.60%,,6.29%,,16.36%,,22.22%,,8.91%,,-22.19%,R,2.68%,R,0,R,3,R,24.16%,R,17.91%,R,1,R,18,R,29.87%,R,46.47%,,0:22:42,G,0:21:54,G,1973/2576,,1480/2576,
2931,,-3.55%,,4.67%,,5.29%,,19.45%,,9.65%,,11.87%,,-2.63%,,5.51%,,1,R,30,R,27.03%,,30.08%,,1,R,6,R,33.51%,R,29.95%,R,0:32:22,G,0:31:09,G,1780/2576,,1261/2576,
Total,B,-8.08%,,2.60%,,7.74%,,16.73%,,7.19%,,9.34%,,-10.49%,R,7.75%,R,0.08,R,0.08,R,29.27%,,33.06%,,0.03,R,0.06,R,45.51%,R,36.54%,R,0:38:46,G,0:35:08,G,369/394,R,257/394,
2518,,-6.77%,,3.68%,,37.59%,G,5.65%,R,59.20%,G,3.66%,,-6.15%,,12.54%,,37,G,164,,25.68%,R,19.26%,R,10,G,85,,26.23%,R,20.55%,R,0:57:52,,0:54:29,,953/2576,,2008/2576,
2841,,2.08%,,6.64%,,28.84%,G,31.91%,G,32.53%,G,20.52%,G,20.60%,,25.10%,,8,,112,,29.18%,,31.51%,,4,,67,,98.13%,G,72.25%,,0:49:50,,0:56:32,,355/2576,G,417/2576,G
3266,,-12.56%,R,-4.20%,R,-22.70%,R,-6.76%,R,-42.90%,R,-25.84%,R,1.40%,,9.56%,,1,R,14,R,22.85%,R,22.80%,R,0,R,39,,48.86%,,45.75%,,1:51:13,R,2:12:39,R,2563/2576,R,2559/2576,R
5340,,-2.50%,,3.28%,,3.74%,,19.87%,,3.91%,,15.84%,,39.22%,G,38.56%,G,3,,166,,34.17%,,32.12%,,1,R,9,R,41.66%,,44.96%,,1:08:06,R,1:03:46,R,1797/2576,,1125/2576,
Total,B,-5.00%,,2.31%,,5.54%,R,12.43%,R,6.70%,,3.07%,,14.76%,,21.26%,,0.41,,0.34,,28.33%,,27.11%,R,0.13,,0.15,,56.42%,,47.91%,,1:04:40,R,1:13:14,R,345/394,R,347/394,R
&nbsp;,B,-7.37%,R,2.69%,,12.57%,,18.81%,,17.25%,,9.63%,G,4.38%,,16.37%,,0.29,,0.36,,25.20%,R,26.94%,R,0.12,,0.16,R,58.90%,,50.30%,,0:50:48,,0:49:52,,30/34,R,19/34,
1191,,-5.16%,,3.77%,,-3.36%,R,19.96%,,-6.18%,R,9.84%,,6.77%,,19.00%,,10,,151,,21.90%,R,34.23%,,4,,49,,83.86%,,78.47%,,0:44:05,,0:43:38,,2054/2576,,858/2576,
1288,,6.37%,G,5.74%,,46.29%,G,14.27%,,21.71%,,0.17%,,68.72%,G,16.57%,,1,R,91,,20.00%,R,27.76%,,0,R,74,,84.63%,,85.66%,G,0:30:29,G,0:44:45,,164/2576,G,1263/2576,
2137,,-13.44%,R,-8.41%,R,-19.86%,R,-20.89%,R,-15.99%,R,-21.50%,R,-32.83%,R,-8.53%,R,0,R,0,R,24.18%,R,21.37%,R,0,R,0,R,51.64%,,44.51%,,0:40:14,,0:42:05,,2551/2576,R,2562/2576,R
2256,,7.01%,G,7.85%,G,28.71%,G,18.86%,,29.17%,G,15.50%,,10.76%,,13.19%,,3,,154,,33.65%,,26.48%,R,0,R,19,R,53.55%,,39.00%,,0:38:40,,0:34:32,G,398/2576,G,803/2576,
2845,,-1.53%,,-0.97%,R,-1.47%,R,3.75%,R,7.43%,,9.34%,,3.45%,,-8.93%,R,7,,137,,27.50%,,28.90%,,0,R,40,,83.13%,,72.29%,,0:26:24,G,0:26:00,G,1653/2576,,2078/2576,R
3612,,2.26%,,6.21%,,-0.06%,R,14.79%,,0.43%,,6.57%,,2.71%,,7.20%,,7,,46,,23.13%,R,21.82%,R,0,R,29,,77.97%,,74.93%,,0:35:20,G,0:28:07,G,1654/2576,,1276/2576,
5346,,-1.22%,,8.46%,G,-0.91%,R,26.78%,,12.97%,,13.79%,,-13.62%,R,24.97%,,1,R,69,,25.60%,R,33.14%,,1,R,35,,77.98%,,61.40%,,0:39:22,,0:35:32,G,1872/2576,,365/2576,G
Total,B,-0.82%,,3.21%,,3.40%,R,9.99%,R,5.44%,R,4.35%,,0.39%,,6.62%,R,0.14,R,0.28,,25.26%,R,27.30%,R,0.02,R,0.11,R,73.23%,,63.85%,,0:36:22,G,0:35:59,G,312/394,,327/394,R
2058,,-18.05%,R,-6.16%,R,-46.88%,R,-12.58%,R,-68.31%,R,-25.45%,R,-29.69%,R,1.04%,R,0,R,82,,33.54%,,30.03%,,0,R,42,,18.94%,R,23.11%,R,1:26:20,R,1:10:40,R,2576/2576,R,2563/2576,R
5118,,22.24%,G,-11.14%,R,24.69%,,-17.05%,R,22.22%,,-19.68%,R,129.49%,G,-10.60%,R,0,R,1,R,23.74%,R,16.24%,R,0,R,2,R,25.42%,R,32.05%,R,0:55:42,,0:58:48,,607/2576,,2576/2576,R
5254,,-0.28%,,-3.56%,R,20.10%,,-1.17%,R,74.34%,G,-8.14%,R,-4.76%,,1.47%,R,10,,96,,29.64%,,33.29%,,2,,25,,64.46%,,63.03%,,1:06:32,R,1:18:30,R,1024/2576,,2531/2576,R
5292,,10.89%,G,1.85%,,2.68%,,1.65%,R,11.63%,,-5.93%,R,18.36%,,8.44%,,13,,120,,28.50%,,31.41%,,1,R,53,,51.10%,,35.00%,,1:16:09,R,1:14:55,R,1449/2576,,2378/2576,R
Total,B,2.82%,G,-4.11%,R,-2.04%,R,-5.88%,R,0.22%,R,-13.52%,R,7.63%,,0.98%,R,0.19,,0.23,R,28.81%,,28.96%,,0.03,R,0.09,R,44.52%,R,40.14%,R,1:10:49,R,1:12:07,R,357/394,R,393/394,R
1132,,8.16%,G,6.49%,,56.92%,G,22.76%,,67.58%,G,24.08%,G,41.38%,G,16.93%,,12,,160,,23.41%,R,24.45%,R,4,,86,,81.95%,,71.65%,,0:49:09,,0:49:25,,95/2576,G,605/2576,
1558,,-5.69%,,2.08%,,4.53%,,16.84%,,-0.95%,,10.68%,,17.98%,,11.83%,,5,,114,,15.71%,R,20.67%,R,5,,74,,92.38%,G,95.93%,G,0:43:33,,0:42:52,,1747/2576,,1305/2576,
