Store Number,NSW2 CONSOLE - QTY,NSW2 MARIO KART WLD - QTY,Total Estimate: In-store Launch (QTY) ,Time Zone,Event Type
609,6,11,17,CST,Morning Event- June 5
610,7,11,18,CST,Morning Event- June 5
612,6,6,12,CST,Morning Event- June 5
613,3,11,14,EST,Morning Event- June 5
614,3,11,14,EST,Morning Event- June 5
615,2,11,13,EST,Morning Event- June 5
616,6,5,11,EST,Morning Event- June 5
617,5,5,10,EST,Morning Event- June 5
618,3,11,14,EST,Morning Event- June 5
619,9,11,20,EST,Morning Event- June 5
620,2,11,13,EST,Morning Event- June 5
621,3,5,8,EST,Morning Event- June 5
622,3,11,14,CST,Morning Event- June 5
623,4,11,15,EST,Morning Event- June 5
624,6,5,11,EST,Morning Event- June 5
625,5,5,10,EST,Morning Event- June 5
626,10,5,15,CST,Morning Event- June 5
627,8,5,13,EST,Morning Event- June 5
628,2,11,13,EST,Morning Event- June 5
629,3,5,8,EST,Morning Event- June 5
630,6,11,17,EST,Morning Event- June 5
631,2,11,13,EST,Morning Event- June 5
632,4,5,9,EST,Morning Event- June 5
633,6,5,11,CST,Morning Event- June 5
634,6,6,12,EST,Morning Event- June 5
635,2,11,13,EST,Morning Event- June 5
636,5,5,10,CST,Morning Event- June 5
637,4,5,9,CST,Morning Event- June 5
638,7,11,18,EST,Morning Event- June 5
639,9,11,20,EST,Morning Event- June 5
640,6,11,17,EST,Morning Event- June 5
641,4,11,15,EST,Morning Event- June 5
642,5,5,10,EST,Morning Event- June 5
643,4,11,15,EST,Morning Event- June 5
644,6,6,12,EST,Morning Event- June 5
645,7,11,18,CST,Morning Event- June 5
646,6,5,11,CST,Morning Event- June 5
647,6,5,11,CST,Morning Event- June 5
648,5,11,16,CST,Morning Event- June 5
649,3,11,14,EST,Morning Event- June 5
651,6,11,17,CST,Morning Event- June 5
652,15,11,26,CST,Morning Event- June 5
653,8,11,19,CST,Morning Event- June 5
655,9,11,20,CST,Morning Event- June 5
656,5,11,16,CST,Morning Event- June 5
657,9,16,25,CST,Morning Event- June 5
658,4,11,15,EST,Morning Event- June 5
659,4,11,15,CST,Morning Event- June 5
660,9,11,20,CST,Morning Event- June 5
661,6,11,17,CST,Morning Event- June 5
662,4,16,20,CST,Morning Event- June 5
663,7,11,18,EST,Morning Event- June 5
664,15,11,26,CST,Morning Event- June 5
665,9,11,20,EST,Morning Event- June 5
666,9,11,20,EST,Morning Event- June 5
667,8,11,19,CST,Morning Event- June 5
668,7,11,18,CST,Morning Event- June 5
669,3,11,14,EST,Morning Event- June 5
670,8,23,31,CST,Morning Event- June 5
671,5,11,16,CST,Morning Event- June 5
672,5,17,22,EST,Morning Event- June 5
673,2,16,18,CST,Morning Event- June 5
674,5,16,21,CST,Morning Event- June 5
675,6,6,12,CST,Morning Event- June 5
676,6,11,17,EST,Morning Event- June 5
677,11,11,22,CST,Morning Event- June 5
678,5,11,16,EST,Morning Event- June 5
680,6,11,17,EST,Morning Event- June 5
681,8,11,19,CST,Morning Event- June 5
682,2,16,18,CST,Morning Event- June 5
683,11,11,22,CST,Morning Event- June 5
684,7,11,18,CST,Morning Event- June 5
685,6,17,23,EST,Morning Event- June 5
686,6,5,11,EST,Morning Event- June 5
687,6,16,22,CST,Morning Event- June 5
688,6,6,12,CST,Morning Event- June 5
689,15,23,38,EST,Morning Event- June 5
