Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
53,5,5889,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202230,77.86%,89.89%,6.9,67.60%,75.90%,84.20%,82.40%
56,5,2086,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202230,80.13%,79.62%,14.9,77.10%,84.50%,84.40%,74.70%
56,5,2926,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Store Focus,202230,82.05%,90.24%,9.3,86.70%,79.50%,87.10%,75.00%
74,5,535,POINTPICKUP,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202230,75.32%,57.47%,19.6,63.20%,73.90%,100.00%,64.70%
74,5,535,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202230,83.37%,64.24%,14.7,83.50%,80.80%,87.80%,81.60%
76,5,746,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202230,86.90%,82.93%,11.3,91.50%,90.20%,84.80%,81.80%
76,5,939,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202230,84.22%,89.94%,7.9,84.40%,78.10%,86.60%,87.70%
76,5,6929,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,202230,90.16%,83.87%,13.1,100.00%,75.00%,91.70%,86.70%
81,5,781,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202230,81.28%,87.39%,8.6,86.30%,85.10%,85.50%,69.40%
81,5,813,POINTPICKUP,Scheduled Express Delivery ,11,Executive Review,Degrading,Driver Supply Focus,202230,76.47%,100.00%,8.8,33.30%,75.00%,80.00%,100.00%
81,5,813,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Driver Supply Focus,202230,78.24%,93.46%,9,90.50%,72.70%,61.40%,85.00%
82,5,4130,UBER,Scheduled Standard Delivery,11,Executive Review,Recovering,Store Focus,202230,85.51%,79.75%,10.9,93.30%,92.30%,66.70%,91.30%
82,5,4219,POINTPICKUP,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202230,65.53%,79.13%,17.4,57.80%,67.00%,81.50%,54.00%
82,5,4219,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202230,81.69%,76.70%,15.4,88.10%,68.20%,86.10%,84.20%
82,5,4554,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Store Focus,202230,86.18%,85.50%,7.8,87.50%,100.00%,78.30%,78.10%
82,5,4554,SPARK,Scheduled Standard Delivery,31,Executive Review,Degrading,Store Focus,202230,76.93%,79.51%,9.2,77.30%,70.70%,77.10%,82.90%
83,5,3169,POINTPICKUP,Scheduled Standard Delivery,33,Executive Review,Degrading,Store Focus,202230,82.09%,65.28%,23.8,50.00%,62.50%,100.00%,82.60%
83,5,3170,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Store Focus,202230,82.35%,69.23%,10.4,75.00%,81.80%,85.70%,83.30%
83,5,3170,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202230,78.32%,87.87%,8.7,74.30%,88.70%,82.10%,70.90%
479,5,940,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202230,81.21%,89.05%,11.3,81.50%,74.60%,79.40%,88.40%
561,64,3341,SPARK,Scheduled Standard Delivery,47,Executive Review,Degrading,Store Focus,202230,66.56%,92.30%,9,61.00%,66.90%,67.60%,70.20%
561,64,7224,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202230,81.54%,89.94%,9.2,74.40%,86.40%,79.40%,89.30%
561,64,7240,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202230,87.28%,94.80%,7,82.80%,85.70%,88.60%,93.20%
583,5,789,SPARK,Scheduled Express Delivery ,3,Active Monitoring,Degrading,Store Focus,202230,81.70%,91.72%,11.6,78.30%,78.20%,85.70%,86.40%
