Store Nbr,Market,Region,Tier,Details
1607,237,22,Tier 1,ISA On in Total Store
3132,515,61,Tier 1,ISA On in Total Store
1349,109,9,Tier 1,ISA On in Total Store
1848,264,25,Tier 1,ISA On in Total Store
3464,462,57,Tier 1,ISA On in Total Store
1256,266,25,Tier 1,ISA On in Total Store
3768,314,75,Tier 1,ISA On in Total Store
17,334,42,Tier 1,ISA On in Total Store
932,16,3,Tier 1,ISA On in Total Store
2429,223,21,Tier 1,ISA On in Total Store
1086,90,9,Tier 1,ISA On in Total Store
1373,24,2,Tier 1,ISA On in Total Store
1162,580,25,Tier 1,ISA On in Total Store
3279,77,6,Tier 1,ISA On in Total Store
3687,800,29,Tier 1,ISA On in Total Store
1420,264,25,Tier 1,ISA On in Total Store
5313,339,40,Tier 1,ISA On in Total Store
5426,511,56,Tier 2,GM Pause
5367,496,59,Tier 1,ISA On in Total Store
1463,221,21,Tier 1,ISA On in Total Store
1291,367,46,Tier 1,ISA On in Total Store
5965,266,25,Tier 1,ISA On in Total Store
2215,265,25,Tier 1,ISA On in Total Store
5663,515,61,Tier 1,ISA On in Total Store
2340,233,22,Tier 1,ISA On in Total Store
881,41,4,Tier 1,ISA On in Total Store
1489,269,25,Tier 2,GM Pause
2694,340,40,Tier 1,ISA On in Total Store
1379,301,26,Tier 1,ISA On in Total Store
2394,533,64,Tier 1,ISA On in Total Store
991,1,14,Tier 1,ISA On in Total Store
941,116,9,Tier 1,ISA On in Total Store
5987,583,5,Tier 1,ISA On in Total Store
1730,287,75,Tier 1,ISA On in Total Store
