Store Number,Tracking Number,Delivered date,Service type ,Reference ,Received by 
1678,427914849023,1/28/2025,FedEx Ground,F0595,MCUD
1727,427914849067,1/28/2025,FedEx Ground,F0595,DGROVES
1848,427914849137,1/28/2025,FedEx Ground,F0595,FFRANCISCO
1978,427914849170,1/28/2025,FedEx Ground,F0595,DDEB
2215,427914849240,1/28/2025,FedEx Ground,F0595,ACOCONATE
2221,427914849251,1/28/2025,FedEx Ground,F0595,CSMART
2339,427914849295,1/28/2025,FedEx Ground,F0595,PMCCULLEN
2566,427914849376,1/28/2025,FedEx Ground,F0595,MMACDONALD
2643,427914849402,1/28/2025,FedEx Ground,F0595,MMARLYS
2665,427914849413,1/28/2025,FedEx Ground,F0595,DARROYO
2713,427914849435,1/28/2025,FedEx Ground,F0595,IGERMAN
2723,427914849446,1/28/2025,FedEx Ground,F0595,YHH
2748,427914849468,1/28/2025,FedEx Ground,F0595,SHALL
2072,427914860212,1/28/2025,FedEx International Economy,F0595,A.ALVARADO
