Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
3170,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202229,80.90%,86.62%,8.9,88.70%,82.10%,70.90%,84.70%
940,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202229,83.29%,87.69%,11.3,74.60%,79.40%,88.40%,92.40%
3198,SPARK,Scheduled Standard Delivery,7,Executive Review,Recovering,Store Focus,202229,81.03%,71.20%,14,91.00%,92.20%,92.20%,65.90%
3341,SPARK,Scheduled Standard Delivery,47,Executive Review,Degrading,Store Focus,202229,70.84%,91.16%,9.2,66.90%,67.60%,70.20%,79.00%
7224,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202229,88.20%,92.10%,9.4,86.40%,79.40%,89.30%,93.50%
7240,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202229,91.24%,91.60%,7.4,85.70%,88.60%,93.20%,94.90%
789,SPARK,Scheduled Express Delivery ,2,Active Monitoring,Degrading,Store Focus,202229,82.18%,89.79%,11.8,78.20%,85.70%,86.40%,78.70%
5823,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,74.73%,80.31%,14.7,70.40%,60.50%,73.90%,87.70%
1967,DOORDASH,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202229,90.66%,93.70%,13.2,93.60%,87.00%,87.40%,95.80%
2174,UBER,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202229,92.09%,86.30%,12.5,94.00%,92.90%,86.90%,96.10%
2386,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202229,86.95%,86.19%,11.2,88.50%,82.80%,87.70%,89.20%
2386,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202229,81.96%,88.70%,9.2,78.50%,86.20%,78.10%,86.00%
2901,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202229,67.97%,96.32%,6.7,75.00%,67.60%,61.10%,64.30%
5278,DOORDASH,Scheduled Standard Delivery,29,Executive Review,Degrading,Store Focus,202229,81.24%,91.95%,22.6,89.30%,64.80%,72.40%,91.80%
5278,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,202229,81.18%,92.32%,14.3,82.80%,70.70%,69.30%,91.70%
2012,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202229,88.59%,86.20%,9.5,88.60%,83.00%,92.20%,89.70%
2158,POINTPICKUP,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202229,82.83%,86.18%,11.8,73.00%,79.70%,86.60%,84.60%
2267,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202229,78.57%,90.48%,7.9,70.00%,81.80%,75.00%,88.90%
3409,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Driver Supply Focus,202229,90.83%,89.33%,8.9,91.50%,95.50%,92.70%,84.90%
