Store,Day of Week,Date,8 am -12 pm Dispense,12 pm - 4 pm Dispense,4 pm - 8 pm Dispense,10 pm-7 am Pick & Stage
98,Monday,11/13/2023,1,1,1,0
99,Wednesday,11/8/2023,0,0,0,2
99,Thursday,11/9/2023,1,1,1,2
99,Friday,11/10/2023,1,1,1,0
99,Saturday,11/11/2023,1,1,1,0
99,Sunday,11/12/2023,1,1,1,0
99,Monday,11/13/2023,1,1,1,0
100,Wednesday,11/8/2023,0,0,0,6
100,Thursday,11/9/2023,5,5,1,6
100,Friday,11/10/2023,2,2,2,0
100,Saturday,11/11/2023,2,2,2,0
100,Sunday,11/12/2023,1,1,1,0
100,Monday,11/13/2023,1,1,1,0
101,Wednesday,11/8/2023,0,0,0,3
101,Thursday,11/9/2023,3,3,1,3
101,Friday,11/10/2023,1,1,1,0
101,Saturday,11/11/2023,1,1,1,0
101,Sunday,11/12/2023,1,1,1,0
101,Monday,11/13/2023,1,1,1,0
102,Wednesday,11/8/2023,0,0,0,2
102,Thursday,11/9/2023,1,1,1,2
102,Friday,11/10/2023,1,1,1,0
102,Saturday,11/11/2023,1,1,1,0
102,Sunday,11/12/2023,1,1,1,0
102,Monday,11/13/2023,1,1,1,0
103,Wednesday,11/8/2023,0,0,0,3
103,Thursday,11/9/2023,3,3,1,3
103,Friday,11/10/2023,1,1,1,0
103,Saturday,11/11/2023,1,1,1,0
103,Sunday,11/12/2023,1,1,1,0
103,Monday,11/13/2023,1,1,1,0
104,Wednesday,11/8/2023,0,0,0,3
104,Thursday,11/9/2023,3,3,1,3
104,Friday,11/10/2023,3,3,1,0
104,Saturday,11/11/2023,1,1,1,0
104,Sunday,11/12/2023,1,1,1,0
104,Monday,11/13/2023,1,1,1,0
105,Wednesday,11/8/2023,0,0,0,3
105,Thursday,11/9/2023,3,3,1,3
105,Friday,11/10/2023,1,1,1,0
105,Saturday,11/11/2023,1,1,1,0
105,Sunday,11/12/2023,1,1,1,0
105,Monday,11/13/2023,1,1,1,0
106,Wednesday,11/8/2023,0,0,0,2
106,Thursday,11/9/2023,3,3,1,2
106,Friday,11/10/2023,3,3,1,0
106,Saturday,11/11/2023,1,1,1,0
106,Sunday,11/12/2023,1,1,1,0
106,Monday,11/13/2023,1,1,1,0
107,Wednesday,11/8/2023,0,0,0,2
107,Thursday,11/9/2023,1,1,1,2
107,Friday,11/10/2023,1,1,1,0
