Store Number,Holiday ,Additional Pallets
1708,Memorial Day,2
1710,4th of July,2
1712,4th of July,2
1712,Memorial Day,2
1715,4th of July,2
1716,4th of July,2
1717,4th of July,2
1720,4th of July,1
1720,Memorial Day,1
1722,4th of July,2
1722,Memorial Day,2
1726,4th of July,2
1726,Memorial Day,2
1730,4th of July,1
1730,Memorial Day,1
1731,4th of July,2
1731,Memorial Day,2
1738,4th of July,1
1738,Memorial Day,1
1744,4th of July,1
1744,Memorial Day,1
1746,4th of July,3
1746,Memorial Day,3
1747,4th of July,4
1747,Memorial Day,4
1748,4th of July,2
1749,4th of July,2
1749,Memorial Day,2
1751,4th of July,2
1753,4th of July,2
1753,Memorial Day,2
1755,4th of July,1
1755,Memorial Day,1
1756,4th of July,2
1756,Memorial Day,2
1759,4th of July,2
1759,Memorial Day,2
1760,4th of July,2
1760,Memorial Day,2
1762,4th of July,2
1762,Memorial Day,2
1767,4th of July,2
1767,Memorial Day,2
1768,4th of July,2
1768,Memorial Day,2
1772,4th of July,2
1772,Memorial Day,2
1773,4th of July,2
1774,4th of July,2
1775,4th of July,2
1775,Memorial Day,2
1780,4th of July,2
1781,4th of July,2
1781,Memorial Day,2
1784,4th of July,2
1784,Memorial Day,2
1785,4th of July,1
1785,Memorial Day,1
1788,4th of July,1
1788,Memorial Day,1
1789,4th of July,3
1789,Memorial Day,3
1793,4th of July,2
1793,Memorial Day,2
1795,4th of July,2
1796,4th of July,2
1796,Memorial Day,2
1797,4th of July,1
1797,Memorial Day,1
1800,4th of July,2
1801,4th of July,1
1801,Memorial Day,1
1803,4th of July,2
1805,4th of July,2
1805,Memorial Day,2
1806,4th of July,1
1806,Memorial Day,1
1810,4th of July,1
1810,Memorial Day,1
1811,4th of July,1
1811,Memorial Day,1
1813,4th of July,1
1813,Memorial Day,1
1815,4th of July,3
1815,Memorial Day,3
1817,4th of July,3
1817,Memorial Day,3
1825,4th of July,2
1825,Memorial Day,2
1826,4th of July,4
1826,Memorial Day,4
1827,4th of July,1
1827,Memorial Day,1
1829,4th of July,2
1830,4th of July,1
1830,Memorial Day,1
1831,4th of July,1
1831,Memorial Day,1
1832,4th of July,3
1832,Memorial Day,3
1833,4th of July,2
1833,Memorial Day,2
1834,4th of July,2
1834,Memorial Day,2
1835,4th of July,1
1835,Memorial Day,1
1837,4th of July,1
1837,Memorial Day,1
1838,4th of July,2
1840,4th of July,3
1840,Memorial Day,3
1841,4th of July,2
1842,4th of July,2
1843,4th of July,1
1843,Memorial Day,1
1846,4th of July,2
1846,Memorial Day,2
1847,4th of July,2
1847,Memorial Day,2
1849,4th of July,2
1851,4th of July,1
1851,Memorial Day,1
1852,4th of July,1
1852,Memorial Day,1
1853,4th of July,4
1853,Memorial Day,4
1856,4th of July,2
1856,Memorial Day,2
1858,4th of July,2
1858,Memorial Day,2
1859,4th of July,3
1859,Memorial Day,3
1860,4th of July,2
1862,4th of July,2
1862,Memorial Day,2
1865,4th of July,1
1865,Memorial Day,1
1866,4th of July,2
1866,Memorial Day,2
1868,4th of July,2
1868,Memorial Day,2
1870,4th of July,2
1870,Memorial Day,2
1871,4th of July,2
1871,Memorial Day,2
1872,4th of July,2
1872,Memorial Day,2
1874,4th of July,3
1874,Memorial Day,3
1875,4th of July,1
1875,Memorial Day,1
1876,4th of July,1
1876,Memorial Day,1
1877,4th of July,2
1877,Memorial Day,2
1879,4th of July,3
1879,Memorial Day,3
1880,4th of July,2
1880,Memorial Day,2
1881,4th of July,4
1881,Memorial Day,4
1882,4th of July,3
1882,Memorial Day,3
1888,4th of July,2
1888,Memorial Day,2
1890,4th of July,2
1890,Memorial Day,2
1893,4th of July,2
1896,4th of July,2
1896,Memorial Day,2
1899,4th of July,2
1899,Memorial Day,2
1900,4th of July,2
1900,Memorial Day,2
1901,4th of July,2
1901,Memorial Day,2
1902,4th of July,3
1902,Memorial Day,3
1903,4th of July,3
1903,Memorial Day,3
1904,4th of July,2
1904,Memorial Day,2
1905,4th of July,3
1905,Memorial Day,3
1909,4th of July,2
1909,Memorial Day,2
1912,4th of July,3
1912,Memorial Day,3
1914,4th of July,2
1914,Memorial Day,2
