Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
128,13,1353,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202344,67.70%,76.60%,23.8,78.70%,88.10%,25.80%,72.70%
128,13,4129,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202344,87.00%,91.20%,21.4,91.20%,82.90%,81.50%,91.70%
141,13,501,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202344,83.60%,73.10%,15.8,83.50%,71.70%,82.60%,94.50%
143,13,1066,,Scheduled Delivery Standard,22,Executive Review,Recovering,Store Focus,202344,89.70%,75.40%,15.1,93.60%,87.20%,85.40%,91.70%
82,6,1129,,Scheduled Delivery Standard,4,Active Monitoring,Degrading,Store Focus,202344,88.30%,85.90%,14.9,89.40%,86.90%,92.10%,84.40%
82,6,1253,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202344,82.00%,80.80%,17.8,72.20%,84.50%,88.00%,83.80%
82,6,2133,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202344,84.60%,76.90%,14.1,74.50%,83.30%,88.80%,92.10%
82,6,2991,,Scheduled Delivery Standard,7,At Risk,Degrading,Store Focus,202344,77.10%,81.00%,21.7,50.80%,80.50%,84.80%,90.40%
82,6,4163,,Scheduled Delivery Standard,5,Active Monitoring,Degrading,Store Focus,202344,90.00%,92.80%,11.9,82.20%,89.80%,93.70%,94.80%
83,6,3569,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202344,75.20%,78.20%,16.4,57.90%,78.80%,81.40%,82.40%
83,6,5479,,Scheduled Delivery Standard,11,Executive Review,Degrading,Store Focus,202344,83.70%,86.60%,18.8,78.70%,87.60%,81.70%,87.70%
83,6,5480,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202344,86.60%,88.80%,16.1,83.50%,81.70%,92.60%,87.00%
86,7,3106,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202344,85.30%,83.80%,16,79.20%,84.70%,88.40%,88.40%
87,6,404,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202344,89.60%,91.90%,11.3,87.20%,87.10%,90.40%,93.80%
506,7,508,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202344,84.40%,76.70%,11.5,86.80%,74.30%,89.40%,85.40%
62,6,3572,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202344,77.60%,68.20%,16.4,64.10%,73.40%,84.20%,86.60%
64,6,2066,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202344,89.00%,98.50%,10.9,89.30%,86.60%,91.30%,88.60%
65,6,3640,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202344,88.30%,89.80%,12.1,83.00%,86.70%,92.00%,91.70%
67,6,3297,,Scheduled Delivery Standard,9,Executive Review,Degrading,Store Focus,202344,77.40%,73.80%,18.6,66.50%,79.50%,72.80%,91.20%
61,6,504,,Scheduled Delivery Standard,24,Executive Review,Recovering,Store Focus,202344,91.90%,89.90%,10.1,91.40%,92.40%,89.90%,94.10%
71,7,861,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202344,82.00%,78.30%,19.5,69.00%,84.60%,87.80%,88.60%
71,7,6898,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202344,77.70%,62.50%,23.5,74.10%,79.00%,81.30%,77.50%
73,7,537,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202344,81.80%,73.80%,16.5,70.50%,79.20%,93.40%,86.80%
73,7,608,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202344,80.10%,64.70%,16.3,72.80%,84.60%,83.80%,80.30%
73,7,3645,,Scheduled Delivery Standard,4,At Risk,Degrading,Store Focus,202344,85.20%,83.60%,14.8,84.50%,85.10%,86.30%,85.10%
74,7,535,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202344,85.60%,77.70%,17.9,91.50%,71.30%,87.40%,91.20%
368,46,5369,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202344,81.80%,77.70%,16.7,92.00%,93.70%,72.10%,77.70%
369,46,2512,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202344,86.20%,95.60%,18.4,89.90%,83.70%,85.20%,85.80%
371,46,1746,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202344,81.30%,93.70%,19.5,72.30%,77.60%,86.60%,85.70%
371,46,3771,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202344,85.90%,87.20%,19.3,91.20%,82.20%,87.70%,81.20%
371,46,5768,,Scheduled Delivery Standard,32,Executive Review,Recovering,Store Focus,202344,90.70%,95.30%,11.5,92.10%,89.00%,91.00%,90.50%
372,46,1646,,Scheduled Delivery Standard,9,At Risk,Recovering,Store Focus,202344,89.60%,83.50%,14,94.50%,87.10%,91.10%,85.60%
366,46,1411,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202344,80.80%,74.60%,16.4,73.90%,79.40%,84.90%,84.70%
