Market ,Avg. ,Stores ,Avg Returns volume ,Volume bucket ,Avg Return Units Per day ,Avg DotCom Return Units Per Day ,Average MP Return Units  ,Avg MP Return Units Per Day,Avg NPS ,Avg Wait Time 
37,,625,21061,Medium,277,19,458,6,75,7.94
37,,643,20703,Medium,272,16,438,6,56,7.33
37,,1829,14085,Low,185,9,264,3,46,5.52
37,,2712,34106,High,449,33,796,10,52,7.02
37,,4664,24721,Medium,325,23,640,8,62,7.11
37,,5087,37823,High,498,34,1100,14,52,6.82
37,,5705,26494,High,349,25,747,10,76,4.35
38,Mkt Avg,,18244,,240,15,410,5,60,7.97
38,,511,28821,High,379,30,912,12,51,7.09
38,,616,21588,Medium,284,14,400,5,52,6.71
38,,627,11283,Low,148,6,196,3,64,10.18
38,,630,28603,High,376,27,709,9,60,6.25
38,,634,22093,Medium,291,22,519,7,77,6.98
38,,642,12266,Low,161,7,212,3,61,8.22
38,,1017,14354,Low,189,13,334,4,69,7.4
38,,1030,26781,High,352,25,595,8,48,5.96
38,,1135,15742,Low,207,12,340,4,50,9.63
38,,2703,19704,Medium,259,12,456,6,49,8.8
38,,4457,7713,Low,101,4,131,2,78,5.45
38,,7188,9975,Low,131,8,119,2,61,13
39,Mkt Avg,,18734,,246,17,427,6,54,7.28
39,,396,28373,High,373,27,860,11,80,5.69
39,,514,22548,Medium,297,21,615,8,42,6.81
39,,624,14389,Low,189,12,283,4,58,8.23
39,,644,17731,Medium,233,15,358,5,50,6.65
39,,795,8758,Low,115,5,74,1,64,8.29
39,,1130,15370,Low,202,14,392,5,55,9.44
39,,1270,22763,Medium,300,19,504,7,62,7.48
39,,1382,23542,Medium,310,19,657,9,53,6.27
39,,4487,20185,Medium,266,21,395,5,39,7.55
39,,6576,19934,Medium,262,21,304,4,67,5.32
39,,6887,12481,Low,164,14,250,3,28,8.31
41,Mkt Avg,,25676,,338,25,614,8,46,8.24
41,,881,36401,High,479,43,969,13,48,12.43
41,,1164,24655,Medium,324,21,520,7,35,6.79
41,,1183,23709,Medium,312,17,528,7,29,10.1
41,,1286,18603,Medium,245,15,447,6,32,10.34
41,,1339,34235,High,450,37,871,11,60,5.96
41,,2214,22613,Medium,298,21,490,6,37,9.66
41,,4420,13480,Low,177,11,296,4,52,6.69
41,,4440,32357,High,426,34,784,10,59,6.91
41,,4506,24109,Medium,317,27,632,8,45,7.11
41,,4521,26596,High,350,21,599,8,60,6.42
42,Mkt Avg,,24781,,326,27,679,9,51,7.3
42,,585,26844,High,353,34,706,9,57,6.14
42,,629,11904,Low,157,11,286,4,32,8.5
42,,638,20423,Medium,269,16,439,6,49,6.75
42,,1035,29665,High,390,31,730,10,58,13.62
42,,1144,14953,Low,197,11,98,1,57,3.86
42,,1281,25014,Medium,329,22,561,7,60,6.76
42,,1603,10383,Low,137,6,154,2,33,5.26
42,,2806,32355,High,426,30,821,11,53,7.3
42,,3733,34219,High,450,52,1115,15,48,7.44
42,,4237,43935,High,578,66,1869,25,61,7.43
42,,4593,22898,Medium,301,22,687,9,58,7.19
44,Mkt Avg,,27290,,359,24,542,7,58,7.89
44,,1455,27839,High,366,21,505,7,44,11.21
44,,1801,37866,High,498,34,1067,14,69,6.35
44,,2978,26003,High,342,21,493,6,57,8.29
44,,3284,23779,Medium,313,22,476,6,63,8.74
44,,3285,27867,High,367,27,751,10,32,7.84
44,,3631,23056,Medium,303,24,445,6,91,5.46
44,,4279,23822,Medium,313,26,486,6,39,8.65
44,,4503,28237,High,372,24,516,7,62,6.18
44,,5147,27144,High,357,15,141,2,65,8.32
45,Mkt Avg,,22692,,299,19,436,6,66,7.31
45,,251,18583,Medium,245,15,420,6,69,5.72
45,,265,18952,Medium,249,15,282,4,53,7.08
45,,412,23174,Medium,305,18,397,5,70,6.71
45,,516,19611,Medium,258,16,471,6,49,8.5
45,,827,19548,Medium,257,18,392,5,77,5.87
45,,1022,22508,Medium,296,14,369,5,68,8.8
45,,1044,24868,Medium,327,28,495,7,67,7.05
45,,2688,35870,High,472,38,782,10,68,8.3
45,,3764,21068,Medium,277,15,391,5,68,6.83
45,,6467,22737,Medium,299,16,356,5,68,8.26
46,Mkt Avg,,17233,,227,14,352,5,58,6.23
46,,146,12394,Low,163,11,228,3,68,6.43
46,,165,13723,Low,181,10,247,3,77,4.91
