Store Nbr,Curr Str On Hand Qty,Item Nbr,Item Desc 1,UPC
1931,8,4021620,ELECARE JR VAN PWDR,7007456586
1942,8,551144162,SIM COMF 12OZ,7007462600
2337,8,551174934,ELECARE 14.1OZ,7007453511
2482,8,4021788,ELECARE JR. UNF PWDR,7007455254
2512,8,594801467,ELECARE UNF PWD UNIT,7007453511
2615,8,4021620,ELECARE JR VAN PWDR,7007456586
2899,8,4021788,ELECARE JR. UNF PWDR,7007455254
2936,8,587577952,SIM PRO-ADV 20.6OZ,7007468089
2956,8,551174934,ELECARE 14.1OZ,7007453511
3304,8,555173533,SIM ALI 12.1OZ,7007464712
3433,8,4021620,ELECARE JR VAN PWDR,7007456586
3472,8,551174934,ELECARE 14.1OZ,7007453511
3489,8,2617742,SIM SPIT 12.3OZ,7007450960
3607,8,594801467,ELECARE UNF PWD UNIT,7007453511
3626,8,555173533,SIM ALI 12.1OZ,7007464712
3653,8,551174934,ELECARE 14.1OZ,7007453511
3703,8,587577953,SIM PRO-SEN 20.1OZ,7007468091
3716,8,595794862,PR SIM PRO ADV,7007468089
3749,8,551174934,ELECARE 14.1OZ,7007453511
3781,8,587577952,SIM PRO-ADV 20.6OZ,7007468089
3884,8,4021788,ELECARE JR. UNF PWDR,7007455254
4250,8,555173533,SIM ALI 12.1OZ,7007464712
4383,8,551174934,ELECARE 14.1OZ,7007453511
4423,8,2617742,SIM SPIT 12.3OZ,7007450960
4487,8,587577953,SIM PRO-SEN 20.1OZ,7007468091
5014,8,587577953,SIM PRO-SEN 20.1OZ,7007468091
5028,8,551174934,ELECARE 14.1OZ,7007453511
5075,8,551174934,ELECARE 14.1OZ,7007453511
5122,8,2617742,SIM SPIT 12.3OZ,7007450960
5178,8,555173533,SIM ALI 12.1OZ,7007464712
5355,8,4021620,ELECARE JR VAN PWDR,7007456586
5378,8,587577952,SIM PRO-ADV 20.6OZ,7007468089
5695,8,551144162,SIM COMF 12OZ,7007462600
5706,8,587577957,SIM ORG A2 TOD,7007468105
5936,8,4021788,ELECARE JR. UNF PWDR,7007455254
6172,8,555173533,SIM ALI 12.1OZ,7007464712
6390,8,587682371,SIM 3TC ADV 20.6OZ,7007468064
6394,8,555173533,SIM ALI 12.1OZ,7007464712
6932,8,2617742,SIM SPIT 12.3OZ,7007450960
6943,8,587577953,SIM PRO-SEN 20.1OZ,7007468091
7251,8,551144162,SIM COMF 12OZ,7007462600
15,7,587682370,SIM 3TC SEN 20.1OZ,7007468071
51,7,4021620,ELECARE JR VAN PWDR,7007456586
61,7,4021788,ELECARE JR. UNF PWDR,7007455254
120,7,551174934,ELECARE 14.1OZ,7007453511
165,7,587577953,SIM PRO-SEN 20.1OZ,7007468091
284,7,551144162,SIM COMF 12OZ,7007462600
321,7,587577953,SIM PRO-SEN 20.1OZ,7007468091
843,7,587577973,SIM SEN 20.1OZ,7007468083
848,7,587577953,SIM PRO-SEN 20.1OZ,7007468091
948,7,551144162,SIM COMF 12OZ,7007462600
1033,7,551174934,ELECARE 14.1OZ,7007453511
1183,7,587577952,SIM PRO-ADV 20.6OZ,7007468089
1215,7,550458925,PR ELECARE JR VANI,7007456586
1221,7,594801467,ELECARE UNF PWD UNIT,7007453511
1282,7,4021788,ELECARE JR. UNF PWDR,7007455254
1326,7,4021788,ELECARE JR. UNF PWDR,7007455254
1419,7,594801467,ELECARE UNF PWD UNIT,7007453511
1443,7,594801467,ELECARE UNF PWD UNIT,7007453511
1464,7,555173533,SIM ALI 12.1OZ,7007464712
1570,7,594801467,ELECARE UNF PWD UNIT,7007453511
1767,7,4021620,ELECARE JR VAN PWDR,7007456586
1800,7,587577949,SIM SPIT UP 19.5OZ,7007468087
1804,7,550458925,PR ELECARE JR VANI,7007456586
1804,7,594801467,ELECARE UNF PWD UNIT,7007453511
1970,7,587577973,SIM SEN 20.1OZ,7007468083
2082,7,587577953,SIM PRO-SEN 20.1OZ,7007468091
