STORE_NBR,DEPT_NBR,PRIME_ITEM_NBR,ITEM1_DESC,OH
3782,74,595646728,IF 28IN 2T VRS BL HS,291
3782,74,595646737,IF 24IN 2T VRS BL HS,171
3290,74,554923838,ST 3DR WD WV TWR BR,183
2096,74,595642870,HR 27 GALLON TOTE,347
5888,74,595642870,HR 27 GALLON TOTE,166
4303,74,554923837,ST 3DR WD WV TWR WH,175
3771,7,651498959,LT FIRST SLIDE,259
5130,74,587798456,ST 3DR WD PT BLCV,802
1510,74,587798456,ST 3DR WD PT BLCV,411
3568,74,587798456,ST 3DR WD PT BLCV,338
1292,74,1472866,ST 3DR WD CART WHT,314
5927,74,587798456,ST 3DR WD PT BLCV,291
5768,74,7427384,ST 3DR WD CART BLACK,191
3112,74,594914291,BHG 14.5G TRASH BLK,344
202,74,594914291,BHG 14.5G TRASH BLK,245
6898,74,594914291,BHG 14.5G TRASH BLK,243
2402,74,594914291,BHG 14.5G TRASH BLK,221
495,74,594914291,BHG 14.5G TRASH BLK,190
2748,74,594914291,BHG 14.5G TRASH BLK,181
2067,22,575219024,PR STROKES CS QN,224
2449,22,575219024,PR STROKES CS QN,180
1833,74,651102458,MS50QTELCLEARTOTE-SE,822
3476,74,651102458,MS50QTELCLEARTOTE-SE,780
4230,74,651102458,MS50QTELCLEARTOTE-SE,709
2692,74,651102458,MS50QTELCLEARTOTE-SE,692
2080,74,651102458,MS50QTELCLEARTOTE-SE,664
1642,74,651102458,MS50QTELCLEARTOTE-SE,630
2959,74,651102458,MS50QTELCLEARTOTE-SE,623
5842,74,651102458,MS50QTELCLEARTOTE-SE,609
5030,74,651102458,MS50QTELCLEARTOTE-SE,607
1754,74,651102458,MS50QTELCLEARTOTE-SE,606
1256,74,651102458,MS50QTELCLEARTOTE-SE,584
3726,74,651102458,MS50QTELCLEARTOTE-SE,580
1377,74,651102458,MS50QTELCLEARTOTE-SE,579
5056,74,651102458,MS50QTELCLEARTOTE-SE,565
2071,74,651102458,MS50QTELCLEARTOTE-SE,564
5337,74,651102458,MS50QTELCLEARTOTE-SE,540
532,74,651102458,MS50QTELCLEARTOTE-SE,536
1768,74,651102458,MS50QTELCLEARTOTE-SE,533
2032,74,651102458,MS50QTELCLEARTOTE-SE,531
710,74,651102458,MS50QTELCLEARTOTE-SE,526
80,74,651102458,MS50QTELCLEARTOTE-SE,525
256,74,651102458,MS50QTELCLEARTOTE-SE,524
2628,74,651102458,MS50QTELCLEARTOTE-SE,524
2010,74,651102458,MS50QTELCLEARTOTE-SE,520
451,74,651102458,MS50QTELCLEARTOTE-SE,519
1791,74,651102458,MS50QTELCLEARTOTE-SE,517
1606,74,651102458,MS50QTELCLEARTOTE-SE,517
2238,74,651102458,MS50QTELCLEARTOTE-SE,516
365,74,651102458,MS50QTELCLEARTOTE-SE,516
1305,74,651102458,MS50QTELCLEARTOTE-SE,516
2250,74,651102458,MS50QTELCLEARTOTE-SE,515
2786,74,651102458,MS50QTELCLEARTOTE-SE,511
2074,74,651102458,MS50QTELCLEARTOTE-SE,508
2084,74,651102458,MS50QTELCLEARTOTE-SE,505
2715,74,651102458,MS50QTELCLEARTOTE-SE,504
671,74,651102458,MS50QTELCLEARTOTE-SE,504
1459,74,651102458,MS50QTELCLEARTOTE-SE,502
1645,74,651102458,MS50QTELCLEARTOTE-SE,500
2593,74,651102458,MS50QTELCLEARTOTE-SE,495
3848,74,651102458,MS50QTELCLEARTOTE-SE,494
501,74,651102458,MS50QTELCLEARTOTE-SE,490
1566,74,651102458,MS50QTELCLEARTOTE-SE,485
526,74,651102458,MS50QTELCLEARTOTE-SE,483
531,74,651102458,MS50QTELCLEARTOTE-SE,482
2706,74,651102458,MS50QTELCLEARTOTE-SE,482
3209,74,651102458,MS50QTELCLEARTOTE-SE,481
2111,74,651102458,MS50QTELCLEARTOTE-SE,480
2755,74,651102458,MS50QTELCLEARTOTE-SE,478
866,74,651102458,MS50QTELCLEARTOTE-SE,476
2025,74,651102458,MS50QTELCLEARTOTE-SE,475
3464,74,651102458,MS50QTELCLEARTOTE-SE,470
990,74,651102458,MS50QTELCLEARTOTE-SE,469
4356,74,651102458,MS50QTELCLEARTOTE-SE,469
1747,74,651102458,MS50QTELCLEARTOTE-SE,468
989,74,651102458,MS50QTELCLEARTOTE-SE,468
307,74,651102458,MS50QTELCLEARTOTE-SE,466
2985,74,651102458,MS50QTELCLEARTOTE-SE,465
1304,74,651102458,MS50QTELCLEARTOTE-SE,463
5022,74,651102458,MS50QTELCLEARTOTE-SE,462
1346,74,651102458,MS50QTELCLEARTOTE-SE,462
786,74,651102458,MS50QTELCLEARTOTE-SE,459
699,74,651102458,MS50QTELCLEARTOTE-SE,459
1923,74,651102458,MS50QTELCLEARTOTE-SE,459
2507,74,651102458,MS50QTELCLEARTOTE-SE,458
692,74,651102458,MS50QTELCLEARTOTE-SE,457
2401,74,651102458,MS50QTELCLEARTOTE-SE,455
828,74,651102458,MS50QTELCLEARTOTE-SE,453
3749,74,651102458,MS50QTELCLEARTOTE-SE,452
3366,74,651102458,MS50QTELCLEARTOTE-SE,452
521,74,651102458,MS50QTELCLEARTOTE-SE,450
253,74,651102458,MS50QTELCLEARTOTE-SE,450
4244,74,651102458,MS50QTELCLEARTOTE-SE,450
2273,74,651102458,MS50QTELCLEARTOTE-SE,450
204,74,651102458,MS50QTELCLEARTOTE-SE,450
410,74,651102458,MS50QTELCLEARTOTE-SE,450
773,74,651102458,MS50QTELCLEARTOTE-SE,450
1481,74,651102458,MS50QTELCLEARTOTE-SE,450
971,74,651102458,MS50QTELCLEARTOTE-SE,450
2600,74,651102458,MS50QTELCLEARTOTE-SE,450
1660,74,651102458,MS50QTELCLEARTOTE-SE,450
1020,74,651102458,MS50QTELCLEARTOTE-SE,450
658,74,651102458,MS50QTELCLEARTOTE-SE,450
684,74,651102458,MS50QTELCLEARTOTE-SE,450
1202,74,651102458,MS50QTELCLEARTOTE-SE,450
3760,74,651102458,MS50QTELCLEARTOTE-SE,450
1636,74,651102458,MS50QTELCLEARTOTE-SE,449
415,74,651102458,MS50QTELCLEARTOTE-SE,449
1463,74,651102458,MS50QTELCLEARTOTE-SE,449
2447,74,651102458,MS50QTELCLEARTOTE-SE,449
37,74,651102458,MS50QTELCLEARTOTE-SE,449
1758,74,651102458,MS50QTELCLEARTOTE-SE,448
310,74,651102458,MS50QTELCLEARTOTE-SE,448
3363,74,651102458,MS50QTELCLEARTOTE-SE,448
909,74,651102458,MS50QTELCLEARTOTE-SE,447
1406,74,651102458,MS50QTELCLEARTOTE-SE,447
301,74,651102458,MS50QTELCLEARTOTE-SE,446
112,74,651102458,MS50QTELCLEARTOTE-SE,446
1168,74,651102458,MS50QTELCLEARTOTE-SE,446
738,74,651102458,MS50QTELCLEARTOTE-SE,446
5374,74,651102458,MS50QTELCLEARTOTE-SE,445
695,74,651102458,MS50QTELCLEARTOTE-SE,445
335,74,651102458,MS50QTELCLEARTOTE-SE,445
4216,74,651102458,MS50QTELCLEARTOTE-SE,444
648,74,651102458,MS50QTELCLEARTOTE-SE,444
1535,74,651102458,MS50QTELCLEARTOTE-SE,444
1447,74,651102458,MS50QTELCLEARTOTE-SE,444
3648,74,651102458,MS50QTELCLEARTOTE-SE,443
1574,74,651102458,MS50QTELCLEARTOTE-SE,442
1188,74,651102458,MS50QTELCLEARTOTE-SE,442
173,74,651102458,MS50QTELCLEARTOTE-SE,441
2033,74,651102458,MS50QTELCLEARTOTE-SE,441
3060,74,651102458,MS50QTELCLEARTOTE-SE,441
879,74,651102458,MS50QTELCLEARTOTE-SE,441
1224,74,651102458,MS50QTELCLEARTOTE-SE,438
1025,74,651102458,MS50QTELCLEARTOTE-SE,438
4683,74,651102458,MS50QTELCLEARTOTE-SE,438
5893,74,651102458,MS50QTELCLEARTOTE-SE,437
1472,74,651102458,MS50QTELCLEARTOTE-SE,437
309,74,651102458,MS50QTELCLEARTOTE-SE,436
216,74,651102458,MS50QTELCLEARTOTE-SE,436
5064,74,651102458,MS50QTELCLEARTOTE-SE,435
541,74,651102458,MS50QTELCLEARTOTE-SE,434
1699,74,651102458,MS50QTELCLEARTOTE-SE,433
489,74,651102458,MS50QTELCLEARTOTE-SE,433
172,74,651102458,MS50QTELCLEARTOTE-SE,432
3835,74,651102458,MS50QTELCLEARTOTE-SE,432
2990,74,651102458,MS50QTELCLEARTOTE-SE,432
152,74,651102458,MS50QTELCLEARTOTE-SE,432
4439,74,651102458,MS50QTELCLEARTOTE-SE,431
233,74,651102458,MS50QTELCLEARTOTE-SE,431
328,74,651102458,MS50QTELCLEARTOTE-SE,431
2717,74,651102458,MS50QTELCLEARTOTE-SE,431
659,74,651102458,MS50QTELCLEARTOTE-SE,430
1899,74,651102458,MS50QTELCLEARTOTE-SE,429
1341,74,651102458,MS50QTELCLEARTOTE-SE,428
2822,74,651102458,MS50QTELCLEARTOTE-SE,428
805,74,651102458,MS50QTELCLEARTOTE-SE,428
3853,74,651102458,MS50QTELCLEARTOTE-SE,428
4352,74,651102458,MS50QTELCLEARTOTE-SE,427
5616,74,651102458,MS50QTELCLEARTOTE-SE,427
2913,74,651102458,MS50QTELCLEARTOTE-SE,427
876,74,651102458,MS50QTELCLEARTOTE-SE,426
2523,74,651102458,MS50QTELCLEARTOTE-SE,425
3061,74,651102458,MS50QTELCLEARTOTE-SE,424
170,74,651102458,MS50QTELCLEARTOTE-SE,424
1229,74,651102458,MS50QTELCLEARTOTE-SE,424
4226,74,651102458,MS50QTELCLEARTOTE-SE,423
