Mkt,Wk,Reg,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Points For the Week,YTD Points, Five Star ,Sales Growth,BU Rank,Company Rank
391,42,47,2,0,3,0,0,0,0,5,28, 4.47 ,8.23%,40,326
383,42,54,2,0,3,1,0,0,0,6,27, 4.41 ,12.09%,41,343
464,42,57,2,0,0,1,0,0,0,3,26, 4.57 ,6.84%,42,347
448,42,57,2,1,3,1,0,0,0,7,26, 4.56 ,7.03%,43,348
415,42,52,0,1,0,0,0,0,0,1,26, 4.55 ,9.64%,44,349
424,42,52,0,1,3,0,0,0,-3,1,26, 4.47 ,10.01%,45,351
463,42,57,0,1,3,0,0,0,0,4,25, 4.55 ,10.09%,46,361
459,42,57,2,1,3,1,0,0,0,7,25, 4.51 ,6.50%,47,362
382,42,54,2,0,3,0,0,0,0,5,25, 4.48 ,10.18%,48,364
453,42,56,0,1,3,1,0,0,0,5,25, 4.45 ,6.86%,49,367
477,42,60,2,1,3,0,0,0,0,6,25, 4.41 ,4.76%,50,371
470,42,60,0,1,3,0,0,0,-3,1,24, 4.57 ,7.26%,51,378
432,42,47,0,1,3,0,0,0,0,4,24, 4.43 ,12.33%,52,382
411,42,47,0,0,3,0,0,0,-3,0,24, 4.43 ,8.57%,53,383
414,42,52,0,1,3,0,0,0,0,4,23, 4.46 ,8.70%,54,386
460,42,57,2,1,3,0,0,0,0,6,22, 4.56 ,5.62%,55,389
455,42,56,2,1,3,0,0,0,0,6,22, 4.49 ,6.98%,56,390
447,42,57,0,0,3,0,0,0,-6,-3,22, 4.46 ,5.54%,57,391
430,42,54,2,0,3,0,0,0,0,5,22, 4.45 ,11.57%,58,392
484,42,57,2,0,3,1,0,0,0,6,21, 4.55 ,12.73%,59,398
400,42,56,2,1,3,1,0,0,0,7,21, 4.46 ,12.21%,60,402
452,42,56,0,1,3,1,0,0,-3,2,21, 4.42 ,6.63%,61,403
401,42,54,2,1,0,1,0,0,0,4,21, 4.39 ,4.23%,62,404
422,42,52,0,1,3,1,0,0,0,5,20, 4.44 ,12.95%,63,411
454,42,56,2,0,3,1,0,0,0,6,20, 4.44 ,8.40%,64,412
457,42,56,2,1,3,1,0,0,0,7,20, 4.43 ,1.72%,65,414
388,42,54,2,0,0,0,0,0,0,2,19, 4.53 ,11.91%,66,424
461,42,57,2,0,3,0,0,0,-3,2,19, 4.50 ,5.79%,67,425
379,42,47,0,0,3,0,0,0,0,3,19, 4.47 ,7.56%,68,426
403,42,54,2,1,3,0,0,0,-3,3,19, 4.41 ,8.52%,69,427
474,42,60,2,1,3,0,0,0,-3,3,19, 4.36 ,13.83%,70,431
381,42,54,0,0,3,1,0,0,0,4,18, 4.34 ,8.98%,71,434
475,42,60,2,0,3,0,0,0,0,5,17, 4.37 ,9.58%,72,436
399,42,56,0,1,0,1,0,0,-3,-1,16, 4.44 ,9.23%,73,438
392,42,56,2,0,0,1,0,0,-3,0,15, 4.34 ,4.71%,74,440
476,42,60,0,0,3,1,0,0,0,4,14, 4.43 ,5.36%,75,441
582,42,54,2,0,3,0,0,0,-3,2,1, 4.51 ,8.60%,76,449
495,42,59,2,1,3,1,7,0,0,14,86, 4.45 ,18.26%,1,1
544,42,72,2,1,3,1,7,0,0,14,79, 4.52 ,15.27%,2,2
491,42,61,2,1,3,0,0,0,0,6,74, 4.55 ,17.73%,3,3
537,42,72,2,1,3,1,7,0,0,14,72, 4.53 ,18.59%,4,4
534,42,72,2,1,0,0,0,0,0,3,71, 4.52 ,20.03%,5,5
497,42,59,2,1,3,1,7,0,0,14,68, 4.53 ,17.25%,6,6
562,42,64,2,1,3,1,7,0,0,14,66, 4.66 ,15.36%,7,7
103,42,72,2,1,3,1,7,0,0,14,65, 4.64 ,13.73%,8,8
541,42,64,2,1,3,1,7,0,0,14,64, 4.60 ,23.44%,9,9
9,42,61,2,1,3,1,7,0,0,14,63, 4.59 ,12.86%,10,13
