Store,,MAR,69,YTD,70,MAR,71,YTD,72,MAR,73,YTD,74,MAR,75,YTD,76,MAR,77,YTD,78,MAR,79,YTD,80,MAR,81,YTD,82,MAR,83,YTD,84,MAR,85,YTD,86,MAR,87,YTD,88
5254,,2.85%,,-0.06%,,24.15%,,6.81%,,95.68%,G,52.58%,G,6.14%,,1.64%,,1,R,4,R,43.05%,,40.79%,,3,,4,R,67.43%,,66.03%,,1:02:41,R,1:03:09,R,1051/2576,,1844/2576,
5292,,8.12%,G,4.44%,,10.10%,,-0.01%,R,-10.01%,R,-8.80%,R,30.56%,G,9.29%,,39,,130,G,52.68%,,48.30%,,8,,24,,47.16%,,51.40%,,1:25:08,R,1:18:54,R,1529/2576,,2009/2576,
Total,B,9.82%,G,5.45%,G,12.14%,,-0.59%,R,8.67%,,4.42%,R,35.17%,G,18.40%,G,0.32,R,0.59,,44.11%,,41.14%,,0.12,R,0.13,,45.96%,R,45.80%,R,1:17:27,R,1:12:02,R,247/394,,365/394,R
1132,,-4.85%,R,-1.17%,,-4.79%,R,-1.83%,R,13.95%,,16.17%,,-9.86%,R,-6.96%,R,15,,24,,30.26%,R,30.33%,R,14,,27,,76.48%,,78.08%,,0:52:04,,0:44:57,,2253/2576,R,1937/2576,
1558,,-8.27%,R,-6.56%,R,-6.66%,R,2.60%,,-9.66%,R,-2.23%,R,-8.80%,R,-4.36%,,22,,44,,38.57%,,39.25%,,10,,22,,110.48%,G,100.23%,G,0:49:11,,0:49:02,,2266/2576,R,1992/2576,
2704,,3.41%,,5.30%,,21.29%,,28.04%,G,-3.05%,R,6.51%,,10.19%,,16.50%,G,3,R,3,R,41.69%,,38.17%,,1,R,2,R,63.64%,,58.67%,,0:29:32,G,0:28:42,G,942/2576,,588/2576,
3304,,1.67%,,3.22%,,14.09%,,7.35%,,10.84%,,9.22%,,14.29%,,1.78%,,12,,34,,48.97%,,48.67%,,5,,16,,91.72%,,85.17%,,0:56:09,,0:54:27,,1130/2576,,1454/2576,
3305,,-3.53%,R,-3.21%,,42.37%,G,27.81%,G,28.95%,G,19.74%,,15.04%,,5.52%,,15,,44,,31.49%,R,31.04%,R,7,,22,,92.21%,,81.04%,,0:39:50,,0:38:38,,385/2576,G,602/2576,
3658,,5.91%,,6.74%,G,29.69%,G,26.47%,G,74.57%,G,65.00%,G,1.60%,,3.26%,,48,G,90,G,51.38%,,43.72%,,26,G,57,G,91.25%,,79.14%,,1:00:23,R,0:55:47,,388/2576,G,425/2576,G
5320,,7.13%,,9.72%,G,34.74%,G,41.18%,G,37.92%,G,49.66%,G,9.66%,,23.05%,G,27,,42,,45.47%,,47.35%,,2,R,6,,75.00%,,76.27%,,0:51:00,,0:55:14,,442/2576,G,293/2576,G
Total,B,0.12%,,2.08%,,16.72%,,17.10%,,20.66%,G,22.94%,G,2.42%,,4.32%,,0.65,,0.67,,41.37%,,39.52%,,0.3,,0.36,,83.84%,G,78.59%,,0:49:21,,0:47:27,,146/394,,98/394,
1237,,-7.83%,R,-11.16%,R,-19.62%,R,-16.42%,R,-22.37%,R,-14.22%,R,-11.34%,R,-17.28%,R,1,R,2,R,50.71%,,46.25%,,0,R,3,R,37.14%,R,33.07%,R,0:33:26,G,0:33:09,G,2485/2576,R,2508/2576,R
1321,,-2.42%,,-1.80%,,16.01%,,18.84%,,15.88%,,17.27%,,-2.25%,,-4.80%,,37,,71,,42.70%,,40.13%,,16,G,27,,81.84%,,81.83%,,0:48:32,,0:46:42,,1145/2576,,1044/2576,
2836,,7.01%,,10.88%,G,33.07%,G,32.48%,G,39.07%,G,38.09%,G,29.70%,G,38.62%,G,0,R,0,R,42.18%,,39.85%,,2,R,2,R,81.46%,,78.53%,,0:36:56,,0:36:18,,255/2576,G,238/2576,G
5046,,7.73%,,6.84%,G,36.94%,G,24.62%,G,42.82%,G,35.32%,G,40.58%,G,30.96%,G,4,R,5,R,46.47%,,43.77%,,1,R,3,R,59.42%,,56.48%,,0:38:58,,0:36:43,,274/2576,G,394/2576,G
5743,,-6.69%,R,-4.85%,R,-12.45%,R,-12.89%,R,-4.29%,R,-5.40%,R,-2.85%,,2.28%,,21,,28,,58.64%,G,62.77%,G,11,,15,,41.86%,,42.57%,,1:09:04,R,1:06:16,R,2488/2576,R,2471/2576,R
Total,B,-0.94%,R,-0.58%,,10.79%,,10.15%,,13.35%,,14.35%,,9.55%,,8.92%,,0.41,R,0.35,R,47.27%,,45.55%,,0.19,,0.17,,64.04%,,62.44%,,0:43:13,,0:41:38,,206/394,,207/394,
1197,,-8.68%,R,-11.61%,R,-0.82%,R,-3.62%,R,15.03%,,13.35%,,-26.43%,R,-26.99%,R,2,R,3,R,38.29%,R,37.49%,R,2,R,2,R,33.18%,R,32.57%,R,0:35:26,G,0:33:32,G,2287/2576,R,2361/2576,R
1354,,-5.92%,R,-3.81%,R,-0.25%,R,2.98%,,18.55%,,9.21%,,-9.54%,R,0.41%,,2,R,4,R,46.01%,,46.36%,,1,R,2,R,59.45%,,61.74%,,1:05:08,R,1:03:19,R,2394/2576,R,2294/2576,R
1379,,-4.12%,R,-3.44%,R,-0.51%,R,-0.15%,R,9.12%,,9.26%,,-2.35%,,-10.00%,R,10,,35,,44.58%,,41.29%,,0,R,0,R,10.84%,R,8.84%,R,0:38:54,,0:40:58,,2225/2576,R,2299/2576,R
1502,,-2.13%,,-3.26%,,7.18%,,12.84%,,38.14%,G,39.21%,G,-8.97%,R,-11.74%,R,1,R,1,R,28.01%,R,24.97%,R,6,,37,G,12.91%,R,12.79%,R,0:42:45,,0:41:30,,1904/2576,,1657/2576,
1527,,-6.23%,R,-7.29%,R,-11.96%,R,-17.85%,R,-26.29%,R,-22.63%,R,0.76%,,-1.94%,,1,R,1,R,39.48%,,38.98%,,1,R,1,R,31.61%,R,34.56%,R,1:16:14,R,1:14:04,R,2568/2576,R,2574/2576,R
2730,,3.28%,,-3.27%,,-1.17%,R,-3.68%,R,0.59%,,-0.53%,R,-5.03%,,-8.78%,R,0,R,0,R,33.98%,R,36.64%,R,0,R,0,R,27.77%,R,27.59%,R,0:18:23,G,0:18:28,G,2117/2576,R,2347/2576,R
Total,B,-4.53%,R,-5.85%,R,-2.08%,R,-3.29%,R,7.00%,,5.79%,R,-8.84%,R,-10.56%,R,0.09,R,0.12,R,38.33%,R,37.78%,R,0.05,R,0.12,R,29.85%,R,30.83%,R,0:42:30,,0:42:10,,388/394,R,392/394,R
1355,,-0.59%,,-3.00%,,6.97%,,-1.82%,R,9.49%,,9.05%,,13.84%,,6.70%,,15,,24,,51.26%,,46.85%,,2,R,3,R,85.16%,,82.61%,,0:49:14,,0:49:32,,1469/2576,,1982/2576,
3701,,4.13%,,1.99%,,0.37%,,-1.85%,R,8.83%,,6.63%,,-10.04%,R,-8.72%,R,2,R,4,R,39.70%,,41.98%,,2,R,3,R,18.84%,R,13.78%,R,0:56:53,,0:52:49,,2359/2576,R,2434/2576,R
7009,,-0.19%,,-0.06%,,3.44%,,4.13%,,19.21%,,22.09%,,-6.01%,,-1.52%,,2,R,5,R,47.10%,,43.70%,,0,R,0,R,54.93%,,66.47%,,0:28:00,G,0:27:26,G,1663/2576,,1520/2576,
7179,,3.05%,,-2.36%,,1.83%,,-12.29%,R,-6.90%,R,-13.85%,R,37.91%,G,14.63%,,7,,9,R,50.49%,,48.61%,,13,,15,,28.68%,R,37.28%,R,0:34:34,G,0:33:12,G,1533/2576,,2064/2576,R
Total,B,1.25%,,-1.15%,,4.10%,R,-2.25%,R,8.36%,,6.82%,,7.30%,,2.99%,,0.21,R,0.18,R,48.49%,,45.55%,,0.14,,0.09,R,58.62%,,60.86%,,0:44:17,,0:43:21,,325/394,R,368/394,R
1039,,1.38%,,-0.27%,,3.79%,,3.55%,,2.51%,,7.36%,,4.51%,,2.35%,,104,G,206,G,51.04%,,52.43%,,59,G,105,G,107.20%,G,103.92%,G,0:59:13,,0:57:55,,1461/2576,,1446/2576,
1064,,-2.93%,,-2.46%,,-2.74%,R,-3.41%,R,-1.31%,R,0.50%,,-6.33%,,-7.02%,R,24,,45,,27.64%,R,31.57%,R,7,,7,,53.77%,,57.42%,,0:29:40,G,0:29:25,G,2088/2576,R,2094/2576,R
1096,,0.12%,,-0.03%,,16.25%,,13.66%,,11.75%,,18.98%,,19.41%,,6.02%,,1,R,2,R,30.49%,R,30.74%,R,5,,6,,81.18%,,81.76%,,0:36:00,,0:38:23,,927/2576,,1149/2576,
1662,,5.77%,,4.85%,,17.04%,,15.47%,,27.20%,G,19.18%,,4.59%,,9.85%,,17,,46,,51.27%,,52.90%,,11,,22,,69.29%,,77.82%,,0:51:06,,0:54:48,,822/2576,,840/2576,
4224,,6.89%,,4.19%,,13.54%,,17.18%,,22.34%,,24.72%,G,24.26%,G,15.91%,,15,,25,,42.82%,,44.99%,,7,,12,,69.80%,,72.92%,,0:45:21,,0:46:09,,781/2576,,715/2576,
4410,,5.11%,,8.24%,G,18.11%,,16.47%,,10.65%,,20.22%,,14.29%,,13.43%,,24,,46,,39.96%,,38.79%,,39,G,76,G,31.78%,R,29.15%,R,0:36:07,,0:33:14,G,736/2576,,551/2576,
Total,B,2.72%,,2.21%,,10.29%,,9.81%,,12.47%,,14.74%,,8.82%,,6.03%,,0.99,,1.03,,41.98%,,43.52%,,0.69,G,0.63,G,72.30%,,73.89%,,0:44:04,,0:45:03,,154/394,,158/394,
1034,,9.78%,G,6.91%,G,11.98%,,5.06%,,15.12%,,11.56%,,16.40%,,11.18%,,5,R,13,,41.62%,,39.49%,,0,R,10,,46.84%,,50.12%,,0:35:30,G,0:32:31,G,1037/2576,,1280/2576,
1209,,3.06%,,3.14%,,-1.45%,R,-2.10%,R,1.76%,,-3.30%,R,-4.14%,,-5.36%,,5,R,17,,34.70%,R,33.42%,R,1,R,5,,30.44%,R,32.66%,R,0:50:06,,0:47:39,,2369/2576,R,2350/2576,R
1464,,-3.94%,R,-3.52%,R,-2.76%,R,0.10%,R,10.50%,,8.64%,,-18.78%,R,-15.87%,R,127,G,223,G,43.02%,,45.43%,,0,R,1,R,20.82%,R,20.74%,R,0:44:42,,0:42:56,,2321/2576,R,2226/2576,R
4274,,12.19%,G,8.79%,G,31.46%,G,19.78%,,8.39%,,21.67%,,51.95%,G,31.99%,G,45,,97,G,40.16%,,35.69%,R,15,G,21,,94.68%,G,94.46%,G,0:38:19,,0:38:04,,128/2576,G,218/2576,G
5085,,0.06%,,-0.24%,,5.29%,,0.81%,,6.12%,,7.65%,,2.72%,,-1.86%,,5,R,5,R,48.64%,,48.73%,,0,R,0,R,13.03%,R,13.75%,R,0:39:13,,0:41:26,,1908/2576,,2166/2576,R
5298,,9.76%,G,14.99%,G,43.71%,G,42.97%,G,52.57%,G,50.76%,G,-0.21%,,13.33%,,23,,41,,45.62%,,43.43%,,5,,7,,105.07%,G,102.52%,G,0:36:34,,0:35:22,G,99/2576,G,48/2576,G
5481,,5.03%,,6.63%,G,14.45%,,17.12%,,30.41%,G,25.36%,G,7.30%,,11.57%,,4,R,25,,46.92%,,45.83%,,2,R,9,,51.25%,,50.33%,,0:42:37,,0:39:51,,1019/2576,,692/2576,
Total,B,4.87%,,4.63%,G,11.72%,,9.29%,,15.81%,,14.94%,,5.65%,,4.55%,,0.99,,1,,42.96%,,41.62%,,0.11,R,0.13,R,48.75%,R,49.13%,R,0:40:53,G,0:39:36,G,163/394,,185/394,
1027,,11.00%,G,13.82%,G,43.39%,G,30.53%,G,42.55%,G,28.28%,G,13.75%,,19.98%,G,44,,72,,45.98%,,43.37%,,2,R,2,R,68.59%,,64.83%,,0:39:22,,0:40:27,,158/2576,G,265/2576,G
1133,,-0.93%,,-2.91%,,4.10%,,-3.57%,R,2.53%,,-5.19%,R,-0.34%,,-2.88%,,11,,26,,31.42%,R,30.46%,R,4,,12,,52.78%,,50.29%,,0:42:17,,0:45:54,,2008/2576,,2375/2576,R
1156,,3.66%,,4.69%,,9.34%,,4.23%,,3.89%,,5.99%,,20.32%,G,15.90%,,19,,28,,43.88%,,38.26%,,2,R,2,R,96.58%,G,96.44%,G,0:34:07,G,0:33:10,G,917/2576,,1166/2576,
2005,,-4.82%,R,-6.20%,R,0.25%,,-0.22%,R,7.13%,,9.48%,,-2.49%,,-8.02%,R,104,G,219,G,58.43%,G,54.50%,G,4,,7,,98.36%,G,96.65%,G,0:42:49,,0:44:26,,1598/2576,,1758/2576,
Total,B,1.28%,,1.11%,,11.08%,,5.72%,R,11.53%,,8.58%,,6.44%,,4.21%,,1.44,G,1.44,G,45.28%,,42.06%,,0.1,R,0.1,R,79.06%,,76.83%,,0:40:04,G,0:41:29,,152/394,,249/394,
1322,,-0.14%,,0.16%,,13.77%,,8.82%,,22.79%,,15.59%,,12.82%,,9.68%,,13,,13,,42.34%,,39.30%,,4,,5,,72.99%,,69.11%,,0:59:51,,0:57:49,,1338/2576,,1688/2576,
1552,,18.93%,G,19.19%,G,30.64%,G,44.03%,G,-0.76%,,11.82%,,61.67%,G,60.07%,G,122,G,206,G,59.52%,G,59.16%,G,28,G,40,G,81.17%,,81.06%,,0:29:23,G,0:28:51,G,62/2576,G,15/2576,G
1849,,-2.23%,,-1.63%,,5.61%,,5.48%,,6.15%,,9.14%,,-3.00%,,-5.28%,,12,,16,,35.42%,R,34.30%,R,16,G,17,,56.51%,,50.40%,,0:23:03,G,0:22:10,G,1567/2576,,1635/2576,
2472,,1.79%,,3.95%,,25.19%,,22.11%,,29.94%,G,27.36%,G,4.46%,,5.78%,,14,,24,,27.88%,R,29.31%,R,5,,8,,53.69%,,52.31%,,0:25:21,G,0:25:24,G,563/2576,,536/2576,
2793,,2.03%,,0.69%,,-5.30%,R,-16.47%,R,-13.78%,R,-12.05%,R,19.31%,,4.97%,,24,,32,,33.58%,R,32.32%,R,20,G,29,G,58.72%,,50.96%,,0:57:00,,0:54:58,,2169/2576,R,2398/2576,R
3503,,-1.19%,,-4.95%,R,-3.84%,R,-10.49%,R,14.61%,,18.38%,,-7.39%,,-17.88%,R,8,,16,,32.16%,R,29.51%,R,8,,14,,94.44%,,93.13%,,0:41:02,,0:40:15,,1888/2576,,2086/2576,R
3626,,17.66%,G,13.45%,G,15.68%,,16.59%,,-14.02%,R,-3.23%,R,54.71%,G,32.53%,G,13,,22,,40.20%,,38.27%,,5,,9,,45.56%,,47.64%,,0:52:11,,0:55:32,,1215/2576,,1275/2576,
6789,,11.87%,G,4.73%,,18.86%,,10.47%,,26.25%,G,25.40%,G,12.26%,,1.75%,,75,G,130,G,38.55%,,35.94%,R,11,,24,,98.55%,G,88.23%,,0:40:22,,0:38:10,,275/2576,G,774/2576,
Total,B,5.93%,G,4.13%,,11.10%,,7.64%,,5.80%,,10.25%,,15.33%,G,6.45%,,1.13,,0.96,,38.12%,R,36.60%,R,0.39,,0.3,,71.28%,,67.81%,,0:39:12,G,0:38:47,G,114/394,,181/394,
877,,5.78%,,5.15%,,26.11%,G,22.63%,,19.30%,,16.45%,,26.16%,G,15.63%,,6,,45,,46.36%,,41.10%,,2,R,2,R,94.04%,,88.48%,,0:32:06,G,0:29:39,G,242/2576,G,320/2576,G
1010,,-3.03%,,-8.57%,R,-1.46%,R,-12.45%,R,-6.61%,R,-12.21%,R,-3.59%,,-9.62%,R,33,,33,,40.42%,,36.50%,R,2,R,5,,66.28%,,62.42%,,0:48:12,,0:47:08,,2289/2576,R,2516/2576,R
1097,,11.00%,G,12.25%,G,34.42%,G,23.22%,,15.61%,,17.69%,,20.95%,G,25.65%,G,12,,17,,38.50%,,37.32%,R,0,R,3,R,81.55%,,79.71%,,0:57:55,,0:56:00,,655/2576,,726/2576,
1255,,11.93%,G,14.70%,G,25.89%,G,48.18%,G,11.42%,,13.83%,,16.03%,,58.96%,G,14,,23,,47.16%,,43.74%,,24,G,48,G,77.91%,,77.70%,,0:28:14,G,0:28:43,G,196/2576,G,52/2576,G
3371,,16.19%,G,15.09%,G,12.41%,,36.81%,G,-14.54%,R,22.15%,,17.76%,,27.66%,G,46,G,100,G,52.63%,,43.81%,,28,G,29,G,46.32%,,53.16%,,0:55:26,,1:02:34,R,1188/2576,,387/2576,G
3700,,-2.42%,,-3.04%,,2.71%,,-3.11%,R,4.67%,,-2.11%,R,3.81%,,1.56%,,36,,84,,43.70%,,42.28%,,3,,12,,58.02%,,60.66%,,1:09:32,R,1:10:26,R,2211/2576,R,2376/2576,R
5063,,10.71%,G,16.87%,G,29.97%,G,34.86%,G,16.75%,,16.36%,,20.16%,G,21.16%,G,52,G,81,,48.18%,,45.21%,,43,G,46,G,94.65%,G,92.13%,,0:45:25,,0:50:39,,146/2576,G,179/2576,G
Total,B,5.64%,G,5.42%,G,17.19%,,17.59%,,8.99%,,10.54%,,12.34%,G,14.47%,G,0.92,,0.91,,45.00%,,41.60%,,0.47,G,0.35,,73.28%,,72.26%,,0:43:45,,0:44:33,,63/394,G,61/394,G
&nbsp;,B,2.52%,,1.67%,,10.00%,,6.94%,R,10.92%,,10.75%,,8.19%,,4.70%,,0.7,,0.7,,42.35%,,40.90%,,0.26,,0.24,,64.03%,,63.15%,,0:44:03,,0:43:17,,20/34,,25/34,
1875,,-1.10%,,0.18%,,10.53%,,6.28%,,21.11%,,16.47%,,18.86%,,16.94%,G,14,,17,,43.19%,,41.27%,,1,R,5,,48.72%,,46.20%,,1:28:01,R,1:27:54,R,1758/2576,,1926/2576,
2435,,17.42%,G,19.15%,G,47.71%,G,58.31%,G,35.66%,G,40.44%,G,36.27%,G,47.55%,G,83,G,141,G,43.49%,,42.40%,,11,,11,,65.31%,,67.62%,,0:56:41,,0:55:47,,202/2576,G,204/2576,G
3481,,-4.90%,R,-6.55%,R,-11.26%,R,-15.88%,R,-2.16%,R,7.36%,,-9.28%,R,-13.75%,R,20,,31,,45.61%,,45.52%,,1,R,1,R,62.60%,,63.56%,,1:02:50,R,0:56:57,,2521/2576,R,2517/2576,R
3490,,-0.61%,,-0.44%,,2.27%,,-4.31%,R,-6.37%,R,-7.25%,R,13.45%,,8.98%,,26,,30,,38.04%,R,36.54%,R,1,R,1,R,44.09%,,33.24%,R,0:59:34,,1:04:33,R,2262/2576,R,2481/2576,R
Total,B,2.87%,,3.57%,,12.54%,,10.70%,,16.20%,,19.72%,G,14.20%,G,13.42%,G,1.15,,0.91,,42.51%,,40.95%,,0.11,R,0.08,R,53.43%,,50.02%,R,1:04:13,R,1:02:51,R,219/394,,234/394,
1525,,0.72%,,0.64%,,-0.41%,R,-4.99%,R,-4.37%,R,-1.69%,R,52.28%,G,28.32%,G,1,R,3,R,42.82%,,39.49%,,0,R,0,R,52.97%,,49.85%,,0:42:19,,0:42:37,,1993/2576,,2135/2576,R
2295,,-3.09%,,-4.88%,R,8.21%,,4.11%,,22.17%,,17.16%,,-13.57%,R,-18.45%,R,11,,17,,37.22%,R,37.05%,R,9,,17,,22.68%,R,21.73%,R,0:41:55,,0:41:53,,1827/2576,,2098/2576,R
7032,,8.81%,G,5.70%,,5.98%,,5.53%,,1.89%,,7.13%,,-6.57%,,-12.57%,R,76,G,151,G,38.98%,,41.88%,,1,R,2,R,85.85%,,80.45%,,0:50:59,,0:48:55,,1643/2576,,1687/2576,
Total,B,2.01%,,0.42%,,5.30%,R,2.40%,R,8.20%,,9.11%,,2.20%,,-6.30%,R,0.95,,0.95,,39.29%,R,39.20%,,0.11,R,0.11,R,49.69%,R,47.47%,R,0:45:04,,0:44:31,,334/394,R,369/394,R
1682,,10.20%,G,11.05%,G,14.94%,,22.41%,,28.86%,G,33.73%,G,5.29%,,8.13%,,5,R,17,,49.57%,,47.33%,,4,,5,,56.58%,,54.97%,,0:57:45,,0:56:58,,1110/2576,,820/2576,
1759,,-4.63%,R,-2.41%,,-17.25%,R,-11.71%,R,-10.28%,R,-5.97%,R,-20.04%,R,-13.64%,R,11,,12,R,39.41%,,38.58%,,0,R,0,R,54.59%,,61.35%,,1:19:34,R,1:11:40,R,2571/2576,R,2562/2576,R
3214,,-12.57%,R,-10.88%,R,-25.49%,R,-27.06%,R,-25.54%,R,-32.04%,R,-7.98%,,-6.53%,,5,R,17,,41.88%,,42.82%,,5,,12,,28.71%,R,30.96%,R,0:43:34,,0:46:45,,2538/2576,R,2535/2576,R
3219,,1.55%,,0.38%,,-0.71%,R,0.92%,,1.31%,,4.04%,,8.87%,,0.68%,,19,,52,,49.50%,,45.69%,,8,,9,,93.89%,,92.13%,,1:18:40,R,1:24:13,R,1972/2576,,2036/2576,
3265,,-1.67%,,2.67%,,5.66%,,4.31%,,5.56%,,7.84%,,3.98%,,3.18%,,4,R,11,R,50.16%,,45.25%,,0,R,1,R,28.15%,R,28.47%,R,0:54:49,,0:53:19,,2191/2576,R,2066/2576,R
3831,,-1.09%,,-0.89%,,5.78%,,3.26%,,16.34%,,19.24%,,-5.29%,,-4.86%,,1,R,2,R,58.15%,G,50.12%,,0,R,0,R,14.98%,R,15.30%,R,0:27:40,G,0:28:23,G,1684/2576,,1804/2576,
Total,B,-1.64%,R,-0.06%,,-3.11%,R,-1.75%,R,1.74%,R,3.21%,R,-3.07%,R,-2.36%,R,0.24,R,0.31,R,48.02%,,44.67%,,0.09,R,0.08,R,45.53%,R,46.37%,R,0:56:18,,0:55:58,R,394/394,R,393/394,R
1811,,1.53%,,3.48%,,40.31%,G,46.11%,G,40.91%,G,45.77%,G,31.26%,G,24.35%,G,7,,9,R,50.39%,,44.73%,,3,,5,,71.92%,,70.10%,,0:48:03,,0:48:24,,401/2576,G,380/2576,G
3216,,-1.18%,,-4.31%,R,3.14%,,-7.32%,R,0.99%,,-3.96%,R,5.34%,,-6.58%,,2,R,5,R,45.73%,,44.20%,,1,R,3,R,41.30%,R,52.90%,,1:02:20,R,0:55:32,,2332/2576,R,2528/2576,R
5253,,-13.87%,R,-9.85%,R,-3.02%,R,-3.69%,R,-50.00%,R,-50.00%,R,7.03%,,7.83%,,5,R,11,R,45.91%,,47.92%,,2,R,6,,72.00%,,68.94%,,1:04:13,R,0:59:10,R,2466/2576,R,2440/2576,R
5488,,16.86%,G,21.95%,G,45.16%,G,62.95%,G,52.60%,G,73.56%,G,3.08%,,-5.50%,,15,,36,,43.80%,,44.34%,,3,,5,,73.10%,,78.07%,,0:42:04,,0:40:00,,266/2576,G,251/2576,G
5922,,1.72%,,3.56%,,32.85%,G,16.73%,,18.88%,,13.85%,,19.43%,,8.76%,,4,R,10,R,40.76%,,37.95%,,2,R,3,R,47.45%,,36.70%,R,0:23:48,G,0:25:38,G,483/2576,G,958/2576,
Total,B,1.01%,,3.01%,,24.21%,G,23.67%,G,23.13%,G,26.16%,G,11.38%,,4.36%,,0.21,R,0.24,R,45.79%,,44.34%,,0.07,R,0.07,R,63.16%,,64.39%,,0:46:08,,0:44:25,,99/394,,91/394,
1424,,-7.41%,R,-8.82%,R,13.66%,,13.11%,,19.26%,,21.45%,,6.91%,,-4.71%,,2,R,10,R,41.87%,,39.07%,,0,R,0,R,35.89%,R,34.30%,R,0:36:07,,0:35:51,,1498/2576,,1659/2576,
2160,,11.26%,G,14.58%,G,14.45%,,12.07%,,20.22%,,14.21%,,40.74%,G,42.53%,G,10,,17,,39.44%,,39.08%,,5,,5,,51.39%,,54.15%,,0:39:58,,0:36:32,,714/2576,,847/2576,
2808,,2.84%,,4.21%,,19.86%,,15.60%,,10.63%,,8.94%,,23.28%,G,17.60%,G,5,R,15,,40.30%,,38.94%,,2,R,3,R,60.78%,,55.10%,,0:54:07,,0:56:58,,1191/2576,,1380/2576,
2821,,11.67%,G,10.37%,G,29.97%,G,30.06%,G,31.85%,G,33.98%,G,45.97%,G,35.70%,G,2,R,8,R,54.59%,,51.02%,,9,,14,,41.65%,,42.30%,,0:39:02,,0:39:56,,235/2576,G,270/2576,G
Total,B,2.90%,,3.10%,,19.18%,,17.28%,,19.22%,G,18.54%,G,27.27%,G,19.20%,G,0.15,R,0.21,R,44.48%,,42.21%,,0.13,,0.09,R,47.37%,R,45.99%,R,0:42:32,,0:42:59,,93/394,,122/394,
1833,,-0.43%,,-2.23%,,8.95%,,5.23%,,4.29%,,7.06%,,5.58%,,1.92%,,2,R,10,R,51.36%,,45.99%,,4,,10,,68.52%,,66.85%,,0:50:56,,0:51:11,,1710/2576,,1932/2576,
2136,,1.93%,,-0.84%,,5.91%,,-1.39%,R,3.61%,,6.17%,,15.26%,,-1.49%,,29,,39,,52.50%,,45.52%,,14,,26,,76.99%,,82.86%,,0:35:47,G,0:38:00,,1086/2576,,1671/2576,
2438,,6.38%,,8.60%,G,15.81%,,15.49%,,7.43%,,15.97%,,38.77%,G,28.94%,G,5,R,8,R,38.76%,,39.48%,,2,R,4,R,17.74%,R,18.86%,R,0:36:25,,0:36:23,,1041/2576,,919/2576,
2520,,11.98%,G,8.43%,G,1.01%,,-0.30%,R,-3.19%,R,-5.16%,R,9.89%,,7.07%,,14,,30,,37.76%,R,38.88%,,2,R,3,R,52.75%,,52.09%,,0:50:12,,0:51:24,,1906/2576,,2039/2576,
5343,,3.93%,,3.04%,,0.48%,,-0.59%,R,-4.85%,R,-4.04%,R,14.19%,,2.61%,,32,,71,,41.37%,,43.21%,,1,R,4,R,29.67%,R,30.93%,R,1:05:14,R,1:02:15,R,2243/2576,R,2288/2576,R
Total,B,4.39%,,3.11%,,6.58%,,4.08%,R,1.32%,R,3.59%,R,16.67%,G,7.92%,,0.53,,0.53,,44.32%,,42.65%,,0.15,,0.16,,47.12%,R,47.81%,R,0:47:26,,0:47:30,,299/394,,339/394,R
2436,,-0.27%,,2.35%,,54.09%,G,51.77%,G,117.95%,G,89.31%,G,21.10%,G,35.27%,G,3,R,4,R,36.41%,R,32.92%,R,0,R,0,R,81.20%,,72.04%,,0:42:21,,0:42:45,,429/2576,G,388/2576,G
2850,,5.41%,,0.78%,,6.79%,,0.96%,,-1.15%,R,-6.36%,R,20.31%,G,12.66%,,0,R,1,R,30.75%,R,32.81%,R,2,R,5,,89.37%,,85.00%,,0:29:07,G,0:27:56,G,1249/2576,,1660/2576,
3720,,6.65%,,6.51%,G,13.69%,,3.29%,,3.97%,,10.42%,,33.74%,G,19.77%,G,0,R,0,R,34.04%,R,29.74%,R,0,R,0,R,25.56%,R,25.76%,R,0:46:36,,0:43:29,,1497/2576,,1806/2576,
Total,B,3.86%,,3.45%,,21.22%,G,14.03%,,16.29%,,11.52%,,26.90%,G,22.86%,G,0.03,R,0.03,R,34.18%,R,31.55%,R,0.02,R,0.03,R,58.00%,,55.07%,,0:36:39,G,0:35:31,G,76/394,G,136/394,
1243,,7.76%,,2.36%,,8.37%,,12.85%,,12.67%,,21.37%,,3.49%,,5.36%,,12,,19,,38.40%,,39.54%,,1,R,2,R,96.80%,G,94.50%,G,0:31:54,G,0:30:07,G,989/2576,,812/2576,
1292,,-5.58%,R,-4.30%,R,2.84%,,1.53%,,4.13%,,9.56%,,-2.52%,,-6.73%,,22,,22,,43.10%,,39.05%,,0,R,2,R,13.02%,R,19.14%,R,0:54:03,,0:54:00,,2377/2576,R,2433/2576,R
1652,,2.49%,,0.32%,,2.99%,,3.96%,,-2.98%,R,5.32%,,4.72%,,2.85%,,14,,49,,35.83%,R,33.10%,R,0,R,10,,57.42%,,66.77%,,0:43:39,,0:42:33,,2001/2576,,1741/2576,
2312,,-8.79%,R,-9.21%,R,-13.51%,R,-27.40%,R,26.36%,G,18.15%,,-24.33%,R,-31.06%,R,3,R,8,R,40.20%,,36.50%,R,10,,11,,57.07%,,63.31%,,0:39:12,,0:41:00,,2256/2576,R,2374/2576,R
2337,,11.30%,G,10.90%,G,20.89%,,24.25%,G,12.29%,,9.33%,,28.68%,G,28.46%,G,8,,13,,27.03%,R,31.50%,R,1,R,5,,36.09%,R,48.18%,,0:36:15,,0:38:50,,744/2576,,655/2576,
