Store,City,ST,Region,Ops Manager,Tire Capacity,Total Inventory,Ttl Replen. Inventory,Tires on Demand ,Non Mod Tires,L52 Avg Units,Last Week Units,4 Tire Instock,Total Valid,Total Traited,,
3388,LAWRENCEVILLE,GA,2,NATHAN STINES,915,932,716,15,199, 97 , 75 ,76.9%,148,151,,
3389,SNELLVILLE,GA,2,NATHAN STINES,1320,806,614,117,73, 80 , 52 ,71.8%,147,152,,
3390,WOODLANDS,TX,6,MONICA REED,1320,994,797,65,130, 66 , 70 ,93.1%,144,148,,
3391,SCHERTZ,TX,6,MONICA REED,1000,696,633,17,44, 87 , 76 ,79.4%,139,143,,
3394,ATLANTIC,IA,52,GEORGE WHEATLEY,855,757,660,47,48, 70 , 63 ,82.0%,120,123,,
3395,GRAND ISLAND,NE,47,GEORGE WHEATLEY,1320,984,858,52,72, 79 , 74 ,88.6%,147,156,,
3397,MIAMI GARDENS,FL,9,NATHAN STINES,1320,1064,969,45,48, 233 , 161 ,85.0%,162,169,,
3400,OSWEGO,IL,25,JEFF KENNEDY,855,737,654,41,40, 61 , 59 ,93.1%,121,127,,
3401,COLLEGE PARK,GA,2,NATHAN STINES,1320,1010,781,66,161, 92 , 91 ,72.8%,151,156,,
3402,STOCKBRIDGE,GA,2,NATHAN STINES,1320,678,608,34,34, 164 , 151 ,63.2%,154,165,,
3403,DALLAS,GA,2,NATHAN STINES,1320,708,643,19,44, 122 , 109 ,64.6%,158,166,,
3406,DALLAS,TX,5,MONICA REED,1320,998,890,28,78, 93 , 74 ,91.2%,156,156,,
3407,BUCKEYE,AZ,46,MONICA REED,1320,996,844,52,98, 104 , 135 ,82.2%,155,164,,
3408,CARSON CITY,NV,56,GEORGE WHEATLEY,1320,985,826,42,115, 77 , 82 ,81.2%,160,167,,
3409,LEICESTER,MA,16,RON SHEPPARD,1320,1145,884,144,115, 179 , 140 ,87.5%,160,165,,
3412,ELIZABETHVILLE,PA,22,RON SHEPPARD,1320,991,865,37,87, 82 , 85 ,93.6%,158,161,,
3417,NAPLES,FL,9,NATHAN STINES,855,815,646,111,56, 93 , 84 ,83.7%,130,135,,
3425,HOUSTON,TX,6,MONICA REED,1320,1045,889,38,116, 176 , 172 ,88.1%,153,162,,
3427,ARTESIA,NM,46,MONICA REED,855,718,621,25,70, 43 , 50 ,86.5%,112,117,,
3429,WARREN,PA,17,RON SHEPPARD,1320,1078,956,13,107, 131 , 106 ,92.4%,156,164,,
3430,OKLAHOMA CITY,OK,44,MONICA REED,1320,927,850,20,55, 122 , 121 ,86.9%,150,161,,
3431,HUDSON OAKS,TX,5,MONICA REED,915,768,718,23,25, 64 , 48 ,84.6%,124,130,,
3432,DESOTO,TX,5,MONICA REED,1320,874,810,43,19, 75 , 85 ,79.6%,149,155,,
3434,WOODSTOCK,IL,25,JEFF KENNEDY,1320,926,844,36,44, 99 , 91 ,89.6%,157,164,,
3435,GREENWOOD,IN,25,JEFF KENNEDY,1320,1001,874,25,100, 91 , 67 ,87.9%,149,159,,
3436,SOUTH BEND,IN,19,JEFF KENNEDY,1320,1018,879,14,123, 108 , 67 ,91.7%,154,162,,
3439,NAVARRE,FL,14,NATHAN STINES,915,921,761,57,101, 102 , 103 ,82.7%,148,152,,
3445,HOLLAND,OH,19,JEFF KENNEDY,915,861,709,71,79, 67 , 50 ,87.8%,121,126,,
3447,WHITEHALL,OH,21,JEFF KENNEDY,855,852,728,56,66, 71 , 36 ,91.6%,117,117,,
3454,PERRY,UT,54,GEORGE WHEATLEY,855,732,652,33,45, 67 , 69 ,86.7%,119,125,,
3458,WHITEHALL,MI,19,JEFF KENNEDY,1000,946,702,125,117, 87 , 78 ,92.1%,129,137,,
3459,BLOOMINGTON,IL,25,JEFF KENNEDY,855,647,601,32,12, 35 , 36 ,90.5%,110,113,,
3460,PEORIA,IL,25,JEFF KENNEDY,1200,1009,913,24,70, 110 , 77 ,92.5%,159,164,,
3461,PEACHTREE CITY,GA,3,NATHAN STINES,1320,690,649,6,33, 114 , 76 ,65.7%,155,164,,
3462,SUWANEE,GA,2,NATHAN STINES,855,744,516,103,123, 77 , 65 ,79.0%,111,114,,
3463,BRANDON,FL,9,NATHAN STINES,1200,800,678,31,89, 198 , 173 ,69.2%,149,160,,
3464,CHINO,CA,57,GEORGE WHEATLEY,780,956,626,223,105, 68 , 48 ,91.3%,108,111,,
3465,GLENDALE,AZ,46,MONICA REED,855,660,579,30,49, 72 , 75 ,79.1%,121,124,,
3472,POST FALLS,ID,60,GEORGE WHEATLEY,1320,1030,922,21,85, 124 , 93 ,86.4%,158,166,,
3473,LAS VEGAS,NV,57,GEORGE WHEATLEY,1320,1003,770,74,157, 89 , 90 ,88.1%,132,142,,
3474,BRADENTON,FL,9,NATHAN STINES,1320,979,846,55,76, 131 , 106 ,84.7%,165,168,,
3477,LONG BEACH,CA,57,GEORGE WHEATLEY,1320,1220,1079,57,82, 145 , 129 ,93.7%,157,163,,
3480,LEBANON,VA,20,JEFF KENNEDY,1320,914,841,8,63, 115 , 116 ,83.1%,154,165,,
3481,BALTIMORE,MD,75,RON SHEPPARD,1120,1046,870,94,80, 115 , 71 ,93.1%,143,146,,
3482,PLANO,TX,5,MONICA REED,855,763,675,26,60, 85 , 96 ,89.4%,118,126,,
3483,HOUMA,LA,13,MONICA REED,915,769,646,41,80, 65 , 53 ,77.4%,134,140,,
3484,PENSACOLA,FL,14,NATHAN STINES,1320,1004,827,45,130, 125 , 173 ,85.2%,158,166,,
3485,BLAIRSVILLE,GA,2,NATHAN STINES,700,497,408,50,37, 112 , 135 ,56.9%,112,114,,
3486,ATHENS,OH,21,JEFF KENNEDY,1320,972,814,35,121, 165 , 174 ,78.9%,161,168,,
3487,SHELBY TOWNSHIP,MI,19,JEFF KENNEDY,855,863,630,107,124, 46 , 38 ,91.7%,115,118,,
3488,BURLINGTON,WI,53,JEFF KENNEDY,1320,1118,934,51,131, 85 , 62 ,95.2%,157,164,,
3490,HANOVER,MD,75,RON SHEPPARD,1200,1166,973,53,138, 129 , 111 ,92.8%,152,159,,
3492,WICHITA,KS,44,MONICA REED,915,827,724,46,55, 116 , 94 ,83.5%,130,136,,
3495,CLARKSVILLE,TN,12,NATHAN STINES,1320,1059,920,38,99, 152 , 96 ,84.8%,164,171,,
3497,PLYMOUTH,WI,53,JEFF KENNEDY,1320,898,788,15,93, 57 , 62 ,95.7%,149,156,,
3500,HOUSTON,TX,6,MONICA REED,1120,813,704,62,45, 136 , 108 ,77.4%,134,140,,
3501,ELVERSON,PA,22,RON SHEPPARD,780,734,625,49,58, 43 , 38 ,90.6%,114,116,,
3502,HAMILTON,OH,21,JEFF KENNEDY,780,796,657,47,90, 53 , 74 ,87.6%,123,128,,
3503,THOMASVILLE,NC,26,RON SHEPPARD,1320,948,908,25,13, 150 , 163 ,82.2%,158,167,,
3505,WISCONSIN DELLS,WI,53,JEFF KENNEDY,1000,955,838,5,110, 133 , 141 ,88.4%,152,163,,
3510,PEARLAND,TX,6,MONICA REED,915,752,549,104,97, 75 , 77 ,83.7%,110,115,,
3513,SHAKOPEE,MN,52,GEORGE WHEATLEY,1320,1081,1006,11,62, 106 , 74 ,90.6%,154,157,,
3514,BRADFORD,PA,17,RON SHEPPARD,1200,1072,917,60,93, 128 , 95 ,91.4%,154,157,,
3515,HILLSBORO,OH,21,JEFF KENNEDY,1320,1579,753,43,781, 72 , 70 ,89.0%,145,155,,
3518,LAREDO,TX,46,MONICA REED,1320,769,646,53,68, 154 , 130 ,63.0%,152,161,,
3523,SANTA CLARITA,CA,57,GEORGE WHEATLEY,1320,922,855,26,39, 141 , 85 ,80.7%,159,163,,
3525,PUYALLUP,WA,60,GEORGE WHEATLEY,855,603,575,12,14, 47 , 55 ,80.4%,119,123,,
3526,BROOKSVILLE,FL,9,NATHAN STINES,1200,760,706,18,34, 130 , 116 ,73.0%,149,155,,
3527,PORT ST LUCIE,FL,9,NATHAN STINES,780,759,687,16,54, 167 , 166 ,77.8%,123,127,,
3528,WIGGINS,MS,13,MONICA REED,400,415,358,29,26, 97 , 119 ,77.9%,72,75,,
3529,INDIANAPOLIS,IN,25,JEFF KENNEDY,855,796,651,50,93, 53 , 36 ,92.0%,120,123,,
3533,DENVER,CO,47,GEORGE WHEATLEY,915,802,671,54,75, 108 , 106 ,73.8%,134,141,,
3534,RED WING,MN,53,JEFF KENNEDY,915,753,701,10,40, 90 , 69 ,84.8%,135,137,,
3535,EPPING,NH,16,RON SHEPPARD,1200,1081,890,110,79, 101 , 80 ,92.0%,151,155,,
3537,LAKEWOOD,WA,60,GEORGE WHEATLEY,855,729,662,18,47, 67 , 31 ,85.8%,121,126,,
3538,MELBOURNE,FL,9,NATHAN STINES,915,751,655,45,49, 87 , 67 ,79.7%,129,133,,
3548,WATERBURY,CT,17,RON SHEPPARD,1120,1068,923,18,125, 148 , 124 ,84.0%,139,148,,
3566,DENVER,CO,47,GEORGE WHEATLEY,1320,990,920,43,25, 69 , 34 ,87.3%,160,163,,
3567,HIDALGO,TX,6,MONICA REED,616,547,409,68,68, 69 , 58 ,72.8%,86,93,,
3568,WEST VALLEY CITY,UT,54,GEORGE WHEATLEY,1320,874,771,12,89, 111 , 143 ,78.8%,154,162,,
3569,AUSTIN,TX,5,MONICA REED,1320,898,775,38,83, 76 , 66 ,78.5%,143,149,,
3570,EVANS,GA,3,NATHAN STINES,855,654,555,19,78, 98 , 77 ,67.5%,126,132,,
3571,MIDDLETOWN,OH,21,JEFF KENNEDY,915,964,750,120,92, 76 , 82 ,87.3%,132,132,,
3572,PEARLAND,TX,6,MONICA REED,915,801,631,75,93, 60 , 47 ,87.5%,122,126,,
3580,NEWARK,OH,21,JEFF KENNEDY,1120,843,755,9,77, 105 , 103 ,84.2%,137,151,,
3581,ZANESVILLE,OH,20,JEFF KENNEDY,1120,883,768,21,92, 72 , 93 ,87.5%,145,152,,
3582,COLORADO SPRINGS,CO,47,GEORGE WHEATLEY,1320,963,833,37,91, 102 , 77 ,87.5%,156,161,,
3583,GLENMONT,NY,17,RON SHEPPARD,1120,1062,860,96,104, 111 , 58 ,92.6%,146,152,,
3585,SPRING,TX,6,MONICA REED,1000,672,615,34,21, 59 , 60 ,85.5%,114,121,,
3590,SIOUX CITY,IA,52,GEORGE WHEATLEY,1320,936,814,58,62, 56 , 31 ,92.0%,153,156,,
3591,MONTGOMERY,TX,6,MONICA REED,855,807,645,50,110, 54 , 40 ,90.8%,118,122,,
3595,FAYETTEVILLE,NC,26,RON SHEPPARD,1320,906,871,8,25, 155 , 140 ,86.5%,163,167,,
3596,LOS LUNAS,NM,46,MONICA REED,855,797,709,15,71, 59 , 49 ,91.7%,115,122,,
3597,BELVIDERE,IL,25,JEFF KENNEDY,855,765,683,38,42, 81 , 60 ,91.0%,126,133,,
3602,SPRINGFIELD,IL,25,JEFF KENNEDY,1320,964,928,8,26, 112 , 64 ,91.3%,157,167,,
3607,ALBION,NY,17,RON SHEPPARD,855,653,593,14,44, 59 , 62 ,82.0%,120,122,,
3608,MADISON,OH,20,JEFF KENNEDY,1000,974,820,38,114, 143 , 126 ,86.5%,143,151,,
3610,LOUISVILLE,KY,,0,1000,0,-2,0,0, 90 , -   ,#DIV/0!,0,0,,
3612,BURLINGTON,NC,26,RON SHEPPARD,1320,881,839,16,24, 104 , 117 ,83.2%,154,162,,
3616,AMITE,LA,13,MONICA REED,1320,762,695,29,36, 127 , 125 ,79.6%,151,157,,
3620,RIVERTON,UT,54,GEORGE WHEATLEY,1320,801,693,18,88, 72 , 84 ,79.0%,148,156,,
3623,LAREDO,TX,46,MONICA REED,1320,795,712,23,58, 140 , 144 ,70.3%,155,162,,
3624,MONTICELLO,MN,52,GEORGE WHEATLEY,1000,864,771,21,70, 92 , 112 ,84.6%,144,148,,
3625,LAUDERDALE LAKES,FL,9,NATHAN STINES,1320,1105,1060,20,23, 249 , 125 ,88.3%,159,166,,
3626,WINSTON SALEM,NC,26,RON SHEPPARD,1320,910,877,20,11, 118 , 117 ,84.0%,160,163,,
3627,OAKWOOD,GA,2,NATHAN STINES,1320,649,606,14,27, 163 , 121 ,56.8%,161,167,,
3630,MARION,IA,52,GEORGE WHEATLEY,1000,970,886,7,75, 131 , 98 ,87.6%,154,162,,
3632,SANDUSKY,MI,19,JEFF KENNEDY,1320,783,695,13,73, 63 , 32 ,83.1%,133,146,,
3633,WAYNESBORO,PA,22,RON SHEPPARD,1320,1007,867,37,101, 122 , 147 ,84.4%,160,167,,
3634,TAMAQUA,PA,22,RON SHEPPARD,1320,960,830,28,100, 99 , 82 ,85.3%,158,163,,
3641,SPRINGFIELD,OH,21,JEFF KENNEDY,1320,991,880,28,81, 115 , 126 ,88.2%,161,170,,
3645,MIDLAND,TX,46,MONICA REED,1320,812,741,36,33, 121 , 134 ,71.3%,162,168,,
3648,BISMARCK,ND,54,GEORGE WHEATLEY,1320,1103,1014,22,65, 105 , 94 ,87.8%,160,165,,
3652,WEST SACRAMENTO,CA,56,GEORGE WHEATLEY,1320,962,887,16,57, 90 , 76 ,88.1%,151,153,,
3658,GREENSBORO,NC,26,RON SHEPPARD,1320,924,833,13,76, 131 , 167 ,83.4%,160,166,,
3659,CHATTANOOGA,TN,2,NATHAN STINES,1320,771,735,15,19, 122 , 112 ,73.8%,157,165,,
3660,CHATTANOOGA,TN,2,NATHAN STINES,1320,866,754,77,33, 97 , 99 ,79.6%,158,166,,
3700,INDIAN TRAIL,NC,26,RON SHEPPARD,1320,1079,887,52,138, 154 , 113 ,82.6%,156,166,,
3701,MOUNT OLIVE,NC,26,RON SHEPPARD,1000,902,827,40,33, 128 , 84 ,85.4%,150,154,,
3702,JACKSONVILLE,FL,3,NATHAN STINES,1320,787,691,25,69, 111 , 134 ,71.8%,151,160,,
3705,YELM,WA,60,GEORGE WHEATLEY,855,651,598,26,25, 62 , 56 ,81.7%,117,123,,
3709,ATLANTA,GA,2,NATHAN STINES,1000,823,647,27,147, 159 , 119 ,75.6%,134,140,,
3720,ARBUTUS,MD,75,RON SHEPPARD,1320,1043,934,60,47, 149 , 103 ,89.7%,159,166,,
3722,KENT,OH,20,JEFF KENNEDY,1320,934,794,41,97, 172 , 159 ,77.4%,158,165,,
3726,GRAND BLANC,MI,19,JEFF KENNEDY,915,805,696,42,65, 95 , 77 ,89.7%,125,127,,
3728,NORTH LAS VEGAS,NV,57,GEORGE WHEATLEY,1320,1111,799,166,144, 132 , 134 ,83.0%,157,159,,
3731,BERNALILLO,NM,46,MONICA REED,1320,1021,903,35,81, 91 , 59 ,87.8%,156,163,,
3732,RIO RANCHO,NM,46,MONICA REED,855,736,627,25,82, 60 , 40 ,84.8%,123,130,,
3733,TEGA CAY,SC,4,RON SHEPPARD,1320,851,709,43,97, 56 , 57 ,76.3%,148,156,,
3734,VERMILLION,SD,54,GEORGE WHEATLEY,1320,849,743,30,74, 77 , 56 ,89.0%,135,142,,
3738,NATRONA HEIGHTS,PA,20,JEFF KENNEDY,1320,1159,965,87,105, 122 , 119 ,87.4%,161,164,,
3739,NAMPA,ID,56,GEORGE WHEATLEY,1320,970,813,56,99, 64 , 61 ,84.1%,158,163,,
3747,MUNCIE,IN,21,JEFF KENNEDY,855,702,601,27,72, 77 , 55 ,90.3%,119,123,,
3749,CINCINNATI,OH,21,JEFF KENNEDY,1320,905,762,27,114, 87 , 75 ,84.6%,145,148,,
3750,WARNER ROBINS,GA,3,NATHAN STINES,1320,644,564,36,42, 82 , 80 ,70.3%,142,147,,
3751,SAN TAN VALLEY,AZ,46,MONICA REED,1320,832,776,29,25, 94 , 97 ,77.6%,157,165,,
3754,CHELAN,WA,60,GEORGE WHEATLEY,855,795,561,135,97, 42 , 55 ,79.6%,111,116,,
3757,ARLINGTON,WA,60,GEORGE WHEATLEY,616,548,485,26,35, 39 , 32 ,90.5%,88,88,,
3760,NEW ULM,MN,52,GEORGE WHEATLEY,915,820,796,15,7, 85 , 49 ,87.0%,137,138,,
3761,THIEF RIVER FALLS,MN,52,GEORGE WHEATLEY,915,784,664,46,72, 48 , 16 ,92.1%,124,129,,
3762,WEST DES MOINES,IA,52,GEORGE WHEATLEY,1320,1127,1009,35,81, 105 , 89 ,92.5%,157,165,,
3763,EL PASO,TX,46,MONICA REED,700,657,554,37,64, 111 , 106 ,77.3%,104,110,,
3764,LINDALE,TX,5,MONICA REED,1320,892,832,24,34, 104 , 86 ,85.7%,155,165,,
3765,PIQUA,OH,21,JEFF KENNEDY,1320,1140,939,87,112, 137 , 137 ,86.8%,163,169,,
3768,ALTAVISTA,VA,75,RON SHEPPARD,1320,1025,890,17,116, 149 , 166 ,80.7%,158,166,,
3771,PHOENIX,AZ,46,MONICA REED,915,704,601,64,37, 107 , 91 ,82.6%,127,130,,
3772,JONESVILLE,VA,20,JEFF KENNEDY,1320,911,819,33,57, 125 , 123 ,82.4%,160,168,,
3773,FORT WORTH,TX,5,MONICA REED,855,726,685,21,18, 72 , 94 ,79.4%,117,120,,
3777,FRISCO,TX,5,MONICA REED,1320,1055,963,41,49, 159 , 186 ,83.1%,155,159,,
3778,CASPER,WY,54,GEORGE WHEATLEY,1320,921,819,13,87, 94 , 86 ,87.8%,155,165,,
3782,ORLANDO,FL,9,NATHAN STINES,1320,1095,904,75,114, 171 , 130 ,84.4%,160,166,,
3783,DAYTON,OH,21,JEFF KENNEDY,1320,963,829,13,119, 58 , 63 ,81.6%,149,159,,
3784,FRANKLIN,OH,21,JEFF KENNEDY,1320,981,816,82,81, 55 , 62 ,84.4%,155,157,,
3786,BUFORD,GA,2,NATHAN STINES,1000,761,630,34,95, 82 , 85 ,70.1%,138,142,,
3790,LOCKPORT,IL,25,JEFF KENNEDY,915,658,595,31,30, 66 , 52 ,85.7%,127,132,,
3791,THREE RIVERS,MI,19,JEFF KENNEDY,1320,936,868,35,31, 123 , 74 ,82.4%,156,166,,
3792,LANCASTER,OH,21,JEFF KENNEDY,1320,976,866,9,99, 151 , 135 ,88.0%,159,169,,
3794,FEDERAL WAY,WA,60,GEORGE WHEATLEY,915,832,754,18,58, 94 , 51 ,91.7%,128,131,,
3799,MESA,AZ,46,MONICA REED,1320,834,809,16,7, 102 , 82 ,81.5%,160,165,,
3803,WEST HAVEN,CT,17,RON SHEPPARD,1120,1052,915,41,94, 156 , 83 ,91.3%,138,140,,
3805,WOODLAND PARK,CO,47,GEORGE WHEATLEY,1320,911,749,70,90, 59 , 91 ,83.6%,151,155,,
3806,FAIRMONT,MN,52,GEORGE WHEATLEY,1320,886,828,12,44, 84 , 53 ,85.7%,144,154,,
3809,UPPER SANDUSKY,OH,19,JEFF KENNEDY,915,750,661,7,80, 69 , 60 ,89.2%,129,137,,
3810,EAST GREENVILLE,PA,22,RON SHEPPARD,1320,1029,859,65,103, 75 , 54 ,89.9%,154,156,,
3823,LINCOLN,NE,47,GEORGE WHEATLEY,1000,877,826,13,36, 153 , 140 ,83.6%,142,152,,
3826,LUBBOCK,TX,46,MONICA REED,1320,926,850,19,55, 101 , 118 ,81.4%,156,163,,
3828,LONGVIEW,TX,5,MONICA REED,915,804,726,53,23, 78 , 82 ,80.0%,124,128,,
3829,JOHNSON CITY,TN,4,RON SHEPPARD,1320,930,787,31,110, 117 , 88 ,80.3%,154,161,,
3831,PORTSMOUTH,VA,75,RON SHEPPARD,1320,899,802,17,78, 91 , 87 ,84.4%,155,158,,
3833,MESA,AZ,46,MONICA REED,1320,892,798,44,48, 105 , 69 ,81.1%,158,164,,
3835,OOLTEWAH,TN,2,NATHAN STINES,1320,829,751,36,40, 101 , 128 ,77.1%,158,164,,
3837,ROSCOE,IL,53,JEFF KENNEDY,915,722,620,12,88, 79 , 69 ,84.2%,125,133,,
3838,TARENTUM,PA,20,JEFF KENNEDY,1320,1158,934,110,112, 126 , 91 ,93.0%,161,161,,
3840,FINDLAY,OH,21,JEFF KENNEDY,1320,1007,893,21,91, 143 , 110 ,86.0%,157,168,,
3842,MACEDON,NY,17,RON SHEPPARD,1320,1177,1025,63,87, 150 , 114 ,91.2%,155,163,,
3847,MESQUITE,NV,46,MONICA REED,1320,1021,901,39,79, 123 , 151 ,90.7%,160,168,,
3848,SYRACUSE,UT,54,GEORGE WHEATLEY,855,735,645,25,63, 65 , 51 ,81.7%,128,131,,
3851,LAFAYETTE,IN,21,JEFF KENNEDY,1120,709,642,16,49, 82 , 88 ,81.9%,134,144,,
3853,HURON,SD,54,GEORGE WHEATLEY,915,713,610,14,87, 57 , 66 ,86.2%,119,124,,
3857,MONONA,WI,53,JEFF KENNEDY,1320,1133,916,90,125, 87 , 78 ,93.2%,160,166,,
3860,YOUNGSTOWN,OH,20,JEFF KENNEDY,780,783,710,25,46, 89 , 75 ,87.5%,115,119,,
3861,GILBERT,AZ,46,MONICA REED,855,731,683,19,27, 76 , 57 ,84.2%,128,131,,
3867,WESTMINSTER,CO,47,GEORGE WHEATLEY,1320,870,755,14,99, 57 , 61 ,81.0%,154,159,,
3868,SHREVEPORT,LA,42,NATHAN STINES,1320,958,776,52,128, 73 , 78 ,85.8%,151,160,,
3872,RAPID CITY,SD,54,GEORGE WHEATLEY,1000,859,768,30,59, 88 , 90 ,87.7%,140,142,,
3874,DAWSONVILLE,GA,2,NATHAN STINES,1320,803,709,53,39, 134 , 105 ,67.3%,164,170,,
3876,MUSKEGON,MI,19,JEFF KENNEDY,855,698,598,33,65, 55 , 56 ,86.8%,117,119,,
3886,EDINBURG,TX,6,MONICA REED,1320,678,587,32,57, 107 , 122 ,68.2%,147,154,,
3887,AVON PARK,FL,9,NATHAN STINES,1320,1052,954,70,26, 226 , 201 ,88.2%,165,171,,
3888,SAN ANTONIO,TX,6,MONICA REED,1320,944,797,77,68, 121 , 90 ,84.2%,154,157,,
3891,WAUKEGAN,IL,25,JEFF KENNEDY,1320,991,853,33,103, 158 , 135 ,87.7%,157,165,,
3893,ZION,IL,25,JEFF KENNEDY,1320,976,872,23,79, 134 , 115 ,87.8%,159,168,,
3894,LEXINGTON,KY,41,JEFF KENNEDY,1000,791,710,22,57, 177 , 150 ,80.0%,135,140,,
3897,TWIN FALLS,ID,56,GEORGE WHEATLEY,1320,1059,940,21,96, 149 , 132 ,78.9%,164,171,,
4055,UNIVERSAL CITY,TX,6,MONICA REED,1000,614,483,38,91, 54 , 78 ,76.9%,114,120,,
4065,WILMINGTON,NC,26,RON SHEPPARD,1000,692,638,22,30, 99 , 146 ,78.7%,131,141,,
4068,SPANISH FORK,UT,54,GEORGE WHEATLEY,400,410,326,33,49, 45 , 55 ,77.6%,65,68,,
4102,CASTROVILLE,TX,6,MONICA REED,1000,659,569,30,58, 60 , 97 ,81.0%,126,133,,
4103,DEVINE,TX,6,MONICA REED,400,395,332,40,21, 59 , 48 ,80.3%,72,74,,
4108,SPRINGDALE,AR,42,NATHAN STINES,616,620,537,20,61, 63 , 51 ,86.4%,97,101,,
4111,RICHMOND,TX,6,MONICA REED,1120,630,600,9,19, 91 , 67 ,84.3%,118,123,,
4112,BROWNSVILLE,TX,6,MONICA REED,1000,642,500,63,77, 96 , 89 ,61.5%,129,138,,
4115,CIBOLO,TX,6,MONICA REED,1000,661,516,95,48, 42 , 35 ,74.3%,117,119,,
4118,SHEPHERDSVILLE,KY,41,JEFF KENNEDY,915,836,674,58,102, 76 , 60 ,85.8%,127,132,,
4129,PONCHATOULA,LA,13,MONICA REED,400,493,370,44,77, 70 , 75 ,84.8%,68,72,,
4130,KYLE,TX,5,MONICA REED,700,456,345,37,72, 70 , 66 ,53.9%,98,106,,
4131,SAN ANTONIO,TX,6,MONICA REED,616,488,422,12,52, 56 , 24 ,80.8%,86,90,,
4156,DERBY,VT,16,RON SHEPPARD,1000,957,831,68,56, 66 , 52 ,92.8%,137,140,,
4163,CEDAR PARK,TX,5,MONICA REED,400,432,326,59,45, 72 , 91 ,76.1%,69,72,,
4164,KAUFMAN,TX,5,MONICA REED,498,477,420,20,35, 40 , 33 ,82.9%,84,88,,
4168,BEEBE,AR,42,NATHAN STINES,400,504,413,16,73, 54 , 35 ,90.6%,68,74,,
4183,BRYAN,TX,6,MONICA REED,400,365,308,22,33, 39 , 60 ,73.8%,64,67,,
4194,VICTORIA,TX,6,MONICA REED,400,380,296,17,65, 25 , 22 ,84.7%,60,65,,
4195,CHOCTAW,OK,44,MONICA REED,400,463,340,58,63, 64 , 57 ,80.3%,66,74,,
4200,COLUMBUS,GA,3,NATHAN STINES,1320,869,631,114,122, 124 , 66 ,65.1%,153,167,,
4201,EDGEWOOD,NM,46,MONICA REED,1120,822,755,19,46, 96 , 110 ,81.5%,144,152,,
4202,ROSEVILLE,CA,56,GEORGE WHEATLEY,550,535,415,27,91, 38 , 39 ,87.0%,80,83,,
4203,FORT MOHAVE,AZ,57,GEORGE WHEATLEY,1000,841,769,41,29, 88 , 68 ,86.2%,134,139,,
4209,NEBRASKA CITY,NE,47,GEORGE WHEATLEY,915,909,842,7,58, 107 , 56 ,89.9%,139,143,,
4215,QUINLAN,TX,5,MONICA REED,1320,842,784,33,23, 83 , 49 ,84.3%,151,157,,
4216,COLUMBUS,IN,25,JEFF KENNEDY,1320,839,757,15,65, 75 , 71 ,84.7%,147,154,,
4219,BUDA,TX,5,MONICA REED,1320,852,722,44,84, 92 , 85 ,76.1%,153,157,,
4223,MARYVILLE,TN,2,NATHAN STINES,1320,868,750,25,91, 84 , 119 ,81.8%,143,154,,
4224,CONOVER,NC,4,RON SHEPPARD,1320,1060,942,39,77, 107 , 89 ,87.5%,164,171,,
4230,FORT WAYNE,IN,21,JEFF KENNEDY,1320,845,811,6,26, 103 , 96 ,85.2%,156,162,,
4231,FORT WAYNE,IN,21,JEFF KENNEDY,915,800,727,13,58, 94 , 78 ,84.0%,138,140,,
4235,TERRE HAUTE,IN,25,JEFF KENNEDY,1320,1130,1043,14,71, 152 , 88 ,89.9%,160,168,,
4239,RENO,NV,56,GEORGE WHEATLEY,662,436,390,5,39, 61 , 47 ,66.7%,95,101,,
4241,STILLWATER,OK,44,MONICA REED,915,828,727,36,63, 92 , 66 ,84.7%,135,137,,
4243,CLIO,MI,19,JEFF KENNEDY,1320,851,767,20,62, 104 , 108 ,81.3%,152,157,,
4244,PARK RAPIDS,MN,52,GEORGE WHEATLEY,1320,825,709,28,86, 68 , 70 ,84.4%,136,145,,
4247,HAVRE,MT,54,GEORGE WHEATLEY,1200,1123,994,63,64, 81 , 80 ,87.3%,145,148,,
4253,SAUK CENTRE,MN,52,GEORGE WHEATLEY,855,720,634,27,57, 40 , 46 ,87.0%,114,120,,
4255,ELYRIA,OH,20,JEFF KENNEDY,1320,1231,1092,53,84, 146 , 131 ,88.4%,159,166,,
4256,AMES,IA,52,GEORGE WHEATLEY,1320,1121,1003,29,87, 162 , 152 ,92.1%,165,171,,
4260,PORT ST LUCIE,FL,9,NATHAN STINES,1320,958,855,27,74, 179 , 193 ,77.5%,162,168,,
4262,THE VILLAGES,FL,9,NATHAN STINES,1320,1055,933,38,82, 125 , 71 ,85.0%,160,166,,
4273,LELAND,NC,26,RON SHEPPARD,1320,874,804,33,35, 167 , 159 ,76.7%,158,169,,
4274,DENVER,NC,4,RON SHEPPARD,1320,932,793,27,110, 89 , 76 ,82.1%,158,166,,
4277,HURRICANE,WV,20,JEFF KENNEDY,1320,1042,893,31,116, 145 , 132 ,85.9%,154,166,,
4279,MIDLOTHIAN,TX,5,MONICA REED,1320,762,728,13,19, 82 , 81 ,80.4%,150,159,,
4284,LAKEWOOD,CO,47,GEORGE WHEATLEY,855,1149,962,69,116, 65 , 79 ,84.0%,128,133,,
4285,CLEVELAND,OH,20,JEFF KENNEDY,1320,974,796,79,97, 182 , 127 ,74.1%,158,160,,
4286,MONTGOMERY,IL,25,JEFF KENNEDY,855,703,660,17,24, 62 , 38 ,92.7%,116,121,,
