Store,,APR,73,YTD,74,APR,75,YTD,76,APR,77,YTD,78,APR,79,YTD,80,L12 Mths,81,L12 Mths,82,APR,83,YTD,84,APR,85,YTD,86,APR,87,YTD,88,APR,89,YTD,90,APR,91,YTD,92
1252,,4.84%,,12.79%,G,-7.78%,,12.57%,,3.41%,,6.67%,,0.00%,G,21.56%,G,4.91,G,4.91,G,48.18%,,43.27%,,0.73%,,1.45%,,81.75%,G,65.69%,,0:29:19,G,0:31:12,,703/2578,,297/2578,G
2125,,-6.79%,,-0.72%,,-29.28%,R,-18.63%,R,-25.23%,R,-18.46%,R,-30.10%,,-14.14%,,4.20,R,4.20,R,60.62%,G,51.57%,,0.00%,R,0.34%,,81.30%,G,80.06%,G,0:56:34,R,0:59:38,R,2400/2578,R,2119/2578,R
3566,,6.34%,,7.07%,,-6.36%,,-11.12%,,2.11%,,-11.82%,R,-27.15%,,-18.52%,,<5 Reviews,,<5 Reviews,,47.64%,,40.27%,,1.31%,,0.85%,,46.70%,,41.46%,,0:58:27,R,1:06:23,R,1314/2578,,1900/2578,
4284,,-9.76%,R,-5.82%,R,-40.45%,R,-31.94%,R,-23.00%,R,-20.61%,R,-44.66%,R,-41.43%,R,4.86,G,4.86,G,34.36%,,41.72%,,0.30%,,0.19%,R,35.52%,,35.50%,,0:48:05,,0:45:25,,2521/2578,R,2466/2578,R
5049,,2.79%,,-1.91%,,-31.73%,R,-30.73%,R,-28.95%,R,-31.69%,R,-47.74%,R,-41.10%,R,<5 Reviews,,<5 Reviews,,50.39%,,42.92%,,0.00%,R,0.21%,R,39.37%,,46.93%,,1:06:03,R,1:04:00,R,2335/2578,R,2467/2578,R
Total,B,-0.82%,,1.78%,,-24.91%,R,-18.13%,R,-14.97%,R,-15.31%,R,-33.82%,R,-23.63%,R,4.63,G,4.63,G,49.08%,,45.17%,,0.55%,R,0.62%,R,58.82%,,57.43%,,0:52:16,R,0:54:12,R,367/394,R,356/394,R
842,,-2.46%,,-1.18%,,-8.39%,,3.25%,,-4.04%,,1.64%,,-9.09%,,-8.61%,,4.45,,4.45,,64.57%,G,68.57%,G,6.80%,G,6.83%,G,57.71%,,55.34%,,0:34:13,,0:36:05,,1157/2578,,1076/2578,
962,,-10.58%,R,-7.76%,R,-28.52%,R,-18.21%,R,-20.82%,R,-6.10%,R,-31.88%,R,-28.14%,R,5.00,G,5.00,G,50.21%,,48.58%,,2.08%,,0.96%,,60.85%,,58.89%,,0:34:06,,0:35:50,,2185/2578,R,2147/2578,R
1001,,-4.53%,,-0.70%,,-19.85%,R,-2.55%,,0.82%,,6.84%,,-26.42%,,-12.29%,,4.67,,4.67,,55.98%,G,50.16%,,6.28%,G,4.85%,G,41.70%,,43.54%,,0:21:38,G,0:22:22,G,1621/2578,,1118/2578,
1384,,-6.55%,,-4.07%,,-17.89%,,-12.32%,R,-0.98%,,9.34%,,-37.21%,R,-25.54%,R,<5 Reviews,,<5 Reviews,,53.97%,,48.48%,,18.86%,G,10.53%,G,59.93%,,42.10%,,0:28:41,G,0:28:38,G,1826/2578,,1799/2578,
2672,,-8.72%,R,-5.80%,R,-22.07%,R,-5.93%,,7.48%,,6.90%,,-45.33%,R,-36.08%,R,<5 Reviews,,<5 Reviews,,31.65%,R,42.38%,,0.43%,,0.72%,,62.66%,,70.89%,G,0:44:21,,0:41:43,,2311/2578,R,2026/2578,
3018,,4.40%,,1.59%,,2.01%,,6.25%,,26.40%,G,15.86%,,-10.02%,,-6.84%,,4.42,,4.42,,50.99%,,50.11%,,1.64%,,1.08%,,71.78%,G,74.72%,G,1:07:05,R,1:06:55,R,693/2578,,1063/2578,
3382,,-3.80%,,-3.31%,,-9.65%,,-8.83%,,-6.20%,,-3.83%,R,-11.69%,,-11.23%,,4.78,G,4.78,G,55.93%,G,52.05%,,1.60%,,0.63%,,23.72%,,17.03%,R,0:45:36,,0:44:58,,1562/2578,,1944/2578,
Total,B,-4.07%,,-2.53%,,-13.66%,R,-4.81%,,0.26%,,4.32%,R,-22.96%,,-16.83%,,4.65,G,4.65,G,53.79%,G,52.17%,G,5.54%,G,3.96%,G,51.63%,,49.03%,,0:40:12,,0:39:38,,278/394,,267/394,
984,,3.74%,,9.17%,G,-8.03%,,-1.45%,,4.30%,,7.86%,,-33.56%,R,-14.70%,,4.77,G,4.77,G,48.99%,,61.41%,G,2.38%,,1.63%,,78.79%,G,78.06%,G,0:58:56,R,0:59:31,R,1327/2578,,1062/2578,
1200,,-7.68%,R,-1.98%,,-2.89%,,16.81%,,4.22%,,38.44%,G,-14.25%,,-6.03%,,3.94,R,3.94,R,48.59%,,40.00%,,0.74%,,0.29%,,32.92%,,31.58%,,0:50:52,,0:49:53,,1612/2578,,1082/2578,
1434,,-8.61%,R,-4.55%,,-12.47%,,6.16%,,6.48%,,27.12%,,-37.22%,R,-14.36%,,4.42,,4.42,,67.70%,G,56.32%,G,0.65%,,0.38%,,64.60%,,47.68%,,0:32:24,,0:35:20,,1753/2578,,1172/2578,
3227,,15.88%,G,17.84%,G,15.63%,G,38.38%,G,27.99%,G,55.50%,G,16.11%,G,34.18%,G,4.17,R,4.17,R,66.47%,G,60.63%,G,2.40%,,1.47%,,57.23%,,68.84%,,1:00:00,R,1:03:05,R,204/2578,G,158/2578,G
3582,,-3.26%,,1.74%,,-16.95%,,11.47%,,-7.21%,,16.44%,,-25.45%,,3.45%,G,4.50,,4.50,,45.53%,,45.27%,,0.84%,,1.81%,,57.72%,,38.45%,,1:02:20,R,0:58:51,R,2071/2578,R,908/2578,
3805,,8.69%,G,6.91%,,-11.41%,,-6.10%,,-17.90%,R,-7.98%,R,-16.33%,,-9.67%,,4.50,,4.50,,59.05%,G,48.66%,,0.00%,R,0.79%,,114.29%,G,105.85%,G,0:49:29,,0:46:54,,1321/2578,,1358/2578,
4335,,4.41%,,7.91%,G,14.31%,G,28.99%,G,39.41%,G,66.75%,G,6.37%,G,5.45%,G,4.82,G,4.82,G,72.12%,G,68.91%,G,6.31%,G,5.89%,G,104.38%,G,101.75%,G,0:45:18,,0:46:47,,160/2578,G,118/2578,G
5123,,-3.10%,,-0.95%,,-5.17%,,1.84%,,8.74%,,6.17%,,-13.32%,,-8.52%,,4.09,R,4.09,R,63.64%,G,64.62%,G,0.78%,,0.47%,,43.51%,,36.82%,,0:56:15,R,1:01:00,R,1389/2578,,1539/2578,
Total,B,0.15%,,3.59%,,-4.70%,,10.16%,,6.62%,,21.77%,,-16.57%,,-3.71%,G,4.38,,4.38,,59.35%,G,55.92%,G,1.72%,,1.51%,,67.46%,G,59.29%,G,0:52:54,R,0:53:39,R,185/394,,96/394,
369,,2.37%,,-4.76%,,0.13%,,-11.41%,R,6.70%,,-11.98%,R,-11.68%,,-11.70%,,3.43,R,3.43,R,50.53%,,47.83%,,1.79%,,1.46%,,54.50%,,49.50%,,1:21:17,R,1:20:21,R,1076/2578,,2175/2578,R
372,,4.37%,,1.26%,,-4.76%,,5.05%,,-7.55%,,2.97%,,-16.76%,,-9.31%,,<5 Reviews,,<5 Reviews,,33.56%,,34.39%,,0.19%,R,2.71%,G,27.07%,,19.81%,R,0:58:29,R,0:56:06,R,1521/2578,,1423/2578,
419,,-0.64%,,0.22%,,-13.35%,,-7.58%,,4.23%,,0.90%,,-35.13%,R,-14.76%,,<5 Reviews,,<5 Reviews,,50.73%,,49.55%,,1.52%,,0.90%,,72.20%,G,68.96%,,0:27:29,G,0:24:39,G,1429/2578,,1410/2578,
592,,1.96%,,-4.30%,,-17.76%,,-11.76%,R,1.18%,,5.37%,,-21.90%,,-12.56%,,4.46,,4.46,,35.55%,,39.17%,,3.88%,G,1.66%,,51.73%,,52.07%,,1:09:01,R,1:03:42,R,1831/2578,,2061/2578,
652,,5.93%,,7.49%,,-15.97%,,7.02%,,-7.02%,,9.59%,,-19.03%,,-4.58%,,<5 Reviews,,<5 Reviews,,38.15%,,40.16%,,0.94%,,1.25%,,34.68%,,29.47%,,0:44:13,,0:42:34,,1648/2578,,911/2578,
664,,9.48%,G,0.77%,,-0.10%,,0.68%,,3.29%,,3.69%,,-6.71%,,-10.79%,,3.57,R,3.57,R,38.73%,,39.89%,,0.00%,R,0.16%,R,79.74%,G,68.46%,,0:38:26,,0:37:38,,789/2578,,1449/2578,
770,,12.44%,G,13.27%,G,11.95%,G,38.64%,G,10.74%,,52.97%,G,2.16%,G,15.20%,G,4.20,R,4.20,R,51.32%,,50.30%,,39.89%,G,26.49%,G,72.31%,G,65.13%,,1:05:24,R,1:03:31,R,335/2578,G,179/2578,G
799,,4.56%,,7.20%,,4.58%,,41.55%,G,8.85%,,37.11%,G,-18.20%,,3.71%,G,<5 Reviews,,<5 Reviews,,36.28%,,41.02%,,6.09%,G,8.57%,G,82.62%,G,65.19%,,0:30:40,,0:30:14,G,544/2578,,126/2578,G
978,,4.32%,,-0.45%,,10.68%,G,13.96%,,4.03%,,12.11%,,-9.40%,,-14.73%,,4.20,R,4.20,R,56.02%,G,61.62%,G,0.86%,,1.02%,,89.21%,G,90.62%,G,0:34:19,,0:36:34,,450/2578,G,805/2578,
1437,,-1.97%,,6.41%,,-11.21%,,7.46%,,5.22%,,8.04%,,-24.22%,,-5.81%,,<5 Reviews,,<5 Reviews,,33.72%,,37.66%,,0.50%,,1.24%,,14.81%,R,14.55%,R,0:30:55,,0:32:48,,1652/2578,,873/2578,
Total,B,4.68%,,3.08%,,-3.09%,,7.94%,,2.29%,,10.99%,,-15.21%,,-6.72%,,4.16,R,4.16,R,42.21%,,43.86%,,5.16%,G,4.53%,G,57.06%,,50.89%,,0:46:42,,0:46:08,,156/394,,139/394,
35,,16.56%,G,7.38%,,8.38%,G,20.13%,G,8.28%,,30.42%,,2.28%,G,3.38%,G,4.00,R,4.00,R,52.58%,,48.00%,,1.09%,,1.06%,,44.50%,,34.61%,,1:06:57,R,1:06:43,R,495/2578,G,591/2578,
43,,-7.50%,R,-14.64%,R,-43.03%,R,-27.79%,R,-35.16%,R,-24.78%,R,-37.57%,R,-25.63%,R,<5 Reviews,,<5 Reviews,,42.66%,,42.60%,,0.27%,,0.54%,,49.44%,,50.90%,,1:22:48,R,1:08:42,R,2535/2578,R,2535/2578,R
557,,17.67%,G,11.95%,G,69.64%,G,129.45%,G,165.85%,G,220.07%,G,19.31%,G,80.89%,G,4.00,R,4.00,R,68.88%,G,62.76%,G,1.22%,,2.13%,,82.99%,G,78.22%,G,0:38:28,,0:37:46,,24/2578,G,33/2578,G
558,,8.59%,G,5.93%,,24.38%,G,31.27%,G,13.31%,,19.73%,,5.56%,G,14.89%,G,4.22,R,4.22,R,43.45%,,44.13%,,10.28%,G,5.10%,G,67.75%,,65.28%,,0:40:11,,0:33:53,,208/2578,G,238/2578,G
993,,9.98%,G,5.37%,,18.26%,G,17.66%,,25.62%,G,24.47%,,-0.89%,G,-0.19%,G,4.57,,4.57,,50.72%,,53.53%,,0.99%,,1.03%,,58.12%,,56.72%,,0:29:02,G,0:31:42,,103/2578,G,325/2578,G
2784,,-4.64%,,-4.38%,,0.01%,,18.90%,G,1.80%,,6.24%,,-24.19%,,-12.61%,,4.43,,4.43,,64.67%,G,64.38%,G,14.39%,G,8.98%,G,64.10%,,67.71%,,0:25:55,G,0:26:49,G,928/2578,,713/2578,
4209,,-1.34%,,-0.83%,,-3.79%,,-2.58%,,-4.50%,,-7.44%,R,-12.32%,,-9.45%,,<5 Reviews,,<5 Reviews,,50.12%,,47.87%,,0.43%,,0.37%,,72.13%,G,72.87%,G,0:26:53,G,0:28:38,G,1064/2578,,1404/2578,
Total,B,6.04%,G,1.31%,,3.28%,G,13.57%,G,5.73%,,12.88%,,-8.42%,G,-0.25%,G,4.35,,4.35,,51.29%,,50.22%,,4.27%,G,2.70%,G,61.26%,G,59.15%,G,0:45:43,,0:43:26,,66/394,G,103/394,
26,,29.04%,G,38.99%,G,115.23%,G,425.96%,G,237.91%,G,772.22%,G,53.89%,G,255.75%,G,4.64,,4.64,,59.92%,G,55.85%,G,0.58%,,1.06%,,76.26%,G,65.98%,,0:41:45,,0:44:10,,22/2578,G,25/2578,G
342,,11.68%,G,-0.82%,,15.10%,G,18.63%,G,9.16%,,36.04%,G,4.78%,G,-1.69%,,4.80,G,4.80,G,43.30%,,41.34%,,4.20%,G,1.99%,,66.10%,,65.35%,,0:50:14,,0:46:03,,254/2578,G,622/2578,
484,,-4.67%,,-10.17%,R,-19.17%,R,-7.36%,,-8.33%,R,7.71%,,-25.20%,,-23.65%,,4.80,G,4.80,G,30.89%,R,34.74%,,1.34%,,1.15%,,50.54%,,50.27%,,1:23:42,R,1:13:13,R,2204/2578,R,2199/2578,R
1054,,-7.92%,R,-10.04%,R,-11.52%,,-5.32%,,5.56%,,9.54%,,-32.35%,R,-24.16%,,<5 Reviews,,<5 Reviews,,48.79%,,47.63%,,3.76%,G,2.49%,G,92.27%,G,89.13%,G,0:42:52,,0:53:43,R,1773/2578,,2003/2578,
1802,,-12.29%,R,-17.89%,R,-64.12%,R,-54.61%,R,-53.98%,R,-47.25%,R,-66.27%,R,-59.93%,R,4.92,G,4.92,G,25.00%,R,36.12%,,0.00%,R,0.00%,R,26.43%,,28.57%,,0:17:25,G,0:15:05,G,2462/2578,R,2468/2578,R
2131,,8.11%,G,0.01%,,5.19%,,11.10%,,21.45%,,17.09%,,-16.58%,,-7.89%,,3.86,R,3.86,R,56.97%,G,50.33%,,0.95%,,1.03%,,83.68%,G,87.53%,G,0:40:19,,0:40:26,,476/2578,G,861/2578,
5441,,4.56%,,3.04%,,-11.11%,,1.88%,,1.16%,,4.41%,,-29.96%,,-10.02%,,4.50,,4.50,,50.68%,,45.45%,,0.95%,,0.67%,,28.61%,,23.86%,,0:34:02,,0:34:36,,1365/2578,,1207/2578,
6392,,3.75%,,-2.01%,,0.91%,,2.93%,,8.04%,,8.66%,,-18.06%,,-20.22%,,4.50,,4.50,,55.93%,G,43.05%,,0.30%,,0.20%,R,71.19%,G,46.87%,,0:52:46,R,0:55:05,R,921/2578,,1702/2578,
Total,B,3.50%,,-0.56%,,-4.63%,,10.20%,,7.02%,,15.52%,,-18.95%,,-6.34%,,4.56,,4.56,,47.38%,,45.34%,,1.08%,,0.91%,,62.35%,G,57.81%,,0:41:57,,0:41:22,,147/394,,128/394,
598,,5.31%,,0.46%,,-5.26%,,-7.19%,,5.37%,,2.53%,,-17.33%,,-20.67%,,4.50,,4.50,,51.58%,,53.12%,,1.07%,,0.46%,,63.39%,,63.70%,,0:49:46,,0:50:34,,1050/2578,,1792/2578,
637,,8.16%,G,10.56%,G,13.61%,G,38.13%,G,47.60%,G,51.44%,G,-16.31%,,-1.56%,,<5 Reviews,,<5 Reviews,,34.10%,,37.27%,,0.41%,,0.70%,,81.09%,G,83.17%,G,0:55:35,R,0:52:29,R,515/2578,G,323/2578,G
790,,-1.83%,,-3.98%,,-12.37%,,-5.34%,,-3.33%,,0.29%,,-14.94%,,-15.54%,,4.14,R,4.14,R,60.98%,G,70.26%,G,0.40%,,0.50%,,21.11%,R,21.25%,R,0:23:47,G,0:24:20,G,1479/2578,,1705/2578,
867,,-1.01%,,-0.18%,,-2.29%,,5.23%,,8.04%,,13.38%,,-13.17%,,-10.68%,,4.17,R,4.17,R,58.36%,G,57.84%,G,0.00%,R,0.17%,R,63.31%,,62.89%,,0:41:12,,0:39:14,,1118/2578,,1134/2578,
1326,,-14.42%,R,-22.92%,R,-62.86%,R,-71.97%,R,-64.83%,R,-74.25%,R,-63.44%,R,-64.75%,R,<5 Reviews,,<5 Reviews,,23.18%,R,13.83%,R,0.00%,R,0.63%,,48.34%,,28.64%,,1:37:22,R,1:44:45,R,2573/2578,R,2577/2578,R
1460,,5.39%,,9.63%,G,13.81%,G,68.31%,G,31.92%,G,110.34%,G,-1.41%,G,28.87%,G,3.88,R,3.88,R,41.75%,,43.39%,,0.36%,,0.91%,,69.65%,,76.61%,G,0:40:34,,0:38:53,,421/2578,G,134/2578,G
3395,,-0.61%,,-5.89%,R,-28.10%,R,-19.95%,R,-29.76%,R,-20.13%,R,-23.45%,,-25.47%,R,<5 Reviews,,<5 Reviews,,44.11%,,42.48%,,0.00%,R,0.49%,,43.77%,,38.72%,,1:18:22,R,1:17:00,R,2326/2578,R,2471/2578,R
Total,B,0.07%,,-2.21%,,-10.51%,,-2.70%,,-3.99%,R,-0.09%,R,-19.47%,,-15.97%,,4.17,R,4.17,R,49.18%,,50.89%,,0.42%,R,0.50%,R,55.74%,,56.46%,,0:53:03,R,0:51:56,R,303/394,,332/394,R
776,,-1.79%,,3.31%,,6.48%,,30.50%,G,25.13%,,66.89%,G,-3.01%,G,5.43%,G,4.17,R,4.17,R,38.42%,,39.95%,,1.23%,,0.93%,,31.74%,,32.39%,,0:37:36,,0:34:05,,779/2578,,400/2578,G
1637,,-9.21%,R,-8.96%,R,-25.98%,R,3.54%,,3.69%,,39.13%,G,-42.54%,R,-28.67%,R,3.57,R,3.57,R,57.19%,G,58.26%,G,9.74%,G,7.41%,G,69.12%,,74.55%,G,0:52:54,R,0:50:58,,2269/2578,R,1555/2578,
1965,,2.47%,,3.67%,,7.93%,,54.84%,G,43.68%,G,105.99%,G,-16.83%,,2.58%,G,4.67,,4.67,,66.28%,G,67.59%,G,1.53%,,1.25%,,26.05%,,38.10%,,0:41:44,,0:42:41,,522/2578,,223/2578,G
3267,,7.44%,,-2.20%,,48.95%,G,95.18%,G,104.69%,G,165.37%,G,-13.21%,,16.63%,G,3.80,R,3.80,R,55.43%,G,53.48%,,0.46%,,0.77%,,29.89%,,32.26%,,0:27:55,G,0:27:52,G,193/2578,G,340/2578,G
5141,,9.63%,G,4.16%,,9.84%,G,53.02%,G,36.36%,G,93.43%,G,-8.13%,,9.10%,G,4.80,G,4.80,G,65.00%,G,62.45%,G,2.32%,,1.75%,,111.15%,G,108.21%,G,0:45:56,,0:47:16,,190/2578,G,153/2578,G
5361,,7.95%,G,1.38%,,9.16%,G,23.03%,G,45.98%,G,55.96%,G,-9.19%,,0.14%,G,4.67,,4.67,,44.36%,,40.81%,,4.28%,G,4.19%,G,25.68%,,25.11%,,0:31:41,,0:28:16,G,232/2578,G,358/2578,G
Total,B,2.11%,,0.18%,,3.16%,G,37.39%,G,36.56%,G,81.34%,G,-17.45%,,-1.94%,G,4.26,R,4.26,R,54.17%,G,54.10%,G,3.61%,G,2.89%,G,46.43%,,50.20%,,0:40:15,,0:39:42,,77/394,G,37/394,G
350,,11.98%,G,12.92%,G,47.28%,G,159.33%,G,21.34%,,96.31%,G,18.23%,G,57.23%,G,<5 Reviews,,<5 Reviews,,49.78%,,44.85%,,0.69%,,0.54%,,82.38%,G,81.25%,G,0:44:25,,0:52:35,R,144/2578,G,143/2578,G
645,,11.40%,G,10.64%,G,87.75%,G,185.12%,G,112.50%,G,258.45%,G,37.38%,G,60.49%,G,<5 Reviews,,<5 Reviews,,38.20%,,34.85%,,0.88%,,0.66%,,76.58%,G,73.86%,G,0:26:46,G,0:24:40,G,27/2578,G,41/2578,G
774,,-2.02%,,-6.68%,R,-33.43%,R,-36.83%,R,-29.06%,R,-40.61%,R,-30.30%,,-24.63%,,<5 Reviews,,<5 Reviews,,18.97%,R,14.08%,R,3.61%,G,2.21%,,55.73%,,42.56%,,1:18:40,R,1:33:33,R,2389/2578,R,2519/2578,R
1671,,10.07%,G,-3.22%,,-9.34%,,-13.09%,R,-3.22%,,-5.29%,R,-4.10%,G,-20.64%,,4.33,,4.33,,31.08%,R,37.25%,,0.71%,,0.89%,,53.83%,,40.41%,,1:30:17,R,1:28:32,R,1325/2578,,2283/2578,R
1943,,5.37%,,2.78%,,14.12%,G,70.37%,G,44.60%,G,116.97%,G,-0.95%,G,33.44%,G,3.75,R,3.75,R,25.20%,R,29.71%,R,0.59%,,0.42%,,61.56%,,58.74%,,1:07:12,R,1:10:15,R,606/2578,,565/2578,
2847,,-3.28%,,-14.02%,R,-4.42%,,-15.41%,R,3.02%,,-13.42%,R,-31.93%,R,-42.38%,R,4.00,R,4.00,R,30.00%,R,41.72%,,7.51%,G,6.83%,G,56.43%,,49.26%,,0:35:24,,0:47:23,,1452/2578,,2433/2578,R
3278,,-15.28%,R,-23.04%,R,-32.41%,R,-30.73%,R,-15.37%,R,-21.40%,R,-35.40%,R,-38.85%,R,3.60,R,3.60,R,46.63%,,43.61%,,0.60%,,0.75%,,87.02%,G,89.52%,G,1:05:44,R,1:14:37,R,2527/2578,R,2549/2578,R
3823,,3.79%,,0.03%,,-11.85%,,-4.92%,,4.13%,,5.26%,,-33.70%,R,-23.88%,,4.29,,4.29,,36.97%,,34.43%,,0.30%,,0.82%,,89.29%,G,79.69%,G,1:23:03,R,1:26:08,R,1768/2578,,1926/2578,
Total,B,2.23%,,-3.91%,R,0.02%,,8.94%,,12.10%,,19.26%,,-15.27%,,-13.65%,,3.97,R,3.97,R,34.08%,R,35.45%,,2.03%,,1.86%,,70.28%,G,65.29%,G,0:58:13,R,1:03:01,R,155/394,,220/394,
2223,,12.67%,G,9.54%,G,24.25%,G,-1.01%,,43.02%,G,3.83%,,7.26%,G,-8.68%,,4.17,R,4.17,R,31.20%,R,39.51%,,0.81%,,0.53%,,50.00%,,38.89%,,0:32:37,,0:31:58,,163/2578,G,1104/2578,
2293,,4.14%,,6.20%,,-2.89%,,9.18%,,-3.42%,,9.79%,,-25.19%,,-8.25%,,4.27,,4.27,,42.71%,,44.80%,,0.79%,,0.41%,,34.17%,,41.27%,,0:52:23,R,0:54:19,R,1384/2578,,1037/2578,
2752,,4.06%,,6.16%,,23.92%,G,52.26%,G,63.74%,G,101.42%,G,6.52%,G,19.03%,G,4.00,R,4.00,R,35.20%,,39.97%,,0.70%,,0.88%,,25.51%,,21.47%,R,0:34:33,,0:42:11,,353/2578,G,368/2578,G
3533,,-0.24%,,7.88%,,-16.38%,,7.45%,,1.77%,,6.39%,,-23.02%,,5.91%,G,<5 Reviews,,<5 Reviews,,55.45%,G,57.39%,G,2.84%,,2.50%,G,39.88%,,51.46%,,1:05:18,R,1:11:19,R,1812/2578,,806/2578,
4734,,1.15%,,4.49%,,2.35%,,13.52%,,34.04%,G,34.62%,G,-17.15%,,-11.47%,,3.50,R,3.50,R,53.54%,,48.63%,,1.05%,,1.11%,,75.76%,G,61.13%,,0:53:18,R,0:49:56,,866/2578,,726/2578,
Total,B,4.07%,,7.01%,G,0.88%,,12.79%,,22.31%,G,22.83%,,-12.85%,,-1.19%,G,4.00,R,4.00,R,44.15%,,47.35%,,1.45%,,1.32%,,44.83%,,43.96%,,0:48:15,,0:51:49,R,105/394,,88/394,
&nbsp;,B,2.28%,,1.62%,,-5.39%,,6.85%,G,5.87%,,14.23%,,-17.32%,,-9.05%,G,4.34,R,4.34,R,47.48%,,47.60%,,2.69%,G,2.25%,G,59.35%,G,56.18%,,0:45:41,R,0:46:20,R,13/30,,7/30,
1545,,-5.03%,,-0.74%,,-42.01%,R,-35.49%,R,-38.92%,R,-30.30%,R,-40.44%,R,-33.31%,R,4.00,R,4.00,R,23.62%,R,20.41%,R,0.00%,R,0.00%,R,32.47%,,28.01%,,0:19:27,G,0:22:35,G,2416/2578,R,2351/2578,R
1632,,-7.95%,R,-4.32%,,-0.01%,,5.74%,,28.16%,G,22.96%,,-16.83%,,-15.23%,,<5 Reviews,,<5 Reviews,,28.05%,R,34.00%,,20.08%,G,13.83%,G,71.95%,G,69.40%,G,0:30:56,,0:30:37,,996/2578,,1086/2578,
2957,,-9.44%,R,-10.21%,R,-26.51%,R,-21.18%,R,-7.43%,,-10.98%,R,-23.32%,,-26.50%,R,<5 Reviews,,<5 Reviews,,26.55%,R,27.51%,R,1.46%,,0.86%,,76.80%,G,64.50%,,0:40:24,,0:43:45,,2273/2578,R,2439/2578,R
3761,,4.96%,,11.66%,G,881.21%,G,704.83%,G,,,2470.00%,G,59.32%,G,102.44%,G,<5 Reviews,,<5 Reviews,,17.55%,R,25.65%,R,8.43%,G,4.67%,G,35.64%,,34.94%,,0:27:44,G,0:29:09,G,218/2578,G,52/2578,G
4244,,-17.67%,R,-12.45%,R,-8.04%,,-0.88%,,9.78%,,2.08%,,-26.43%,,-15.92%,,4.60,,4.60,,38.96%,,44.53%,,1.65%,,1.07%,,85.71%,G,72.34%,G,0:28:42,G,0:30:07,G,1556/2578,,1659/2578,
4253,,-1.10%,,-4.37%,,8.34%,G,-6.80%,,11.22%,,-1.20%,,6.94%,G,-25.00%,,<5 Reviews,,<5 Reviews,,27.57%,R,30.08%,R,0.88%,,0.91%,,37.30%,,50.88%,,0:23:52,G,0:24:07,G,618/2578,,1897/2578,
5806,,-14.66%,R,-14.03%,R,-37.07%,R,-40.50%,R,-17.39%,R,-25.40%,R,-58.71%,R,-48.31%,R,<5 Reviews,,<5 Reviews,,28.92%,R,21.92%,R,3.51%,G,2.79%,G,48.19%,,45.77%,,1:01:08,R,0:52:17,R,2545/2578,R,2545/2578,R
Total,B,-7.79%,R,-5.64%,R,-11.30%,,-7.73%,R,4.98%,,0.07%,R,-22.23%,,-19.44%,,4.55,,4.55,,27.34%,R,30.03%,R,5.40%,G,3.49%,G,60.25%,G,55.70%,,0:32:42,G,0:32:49,G,274/394,,322/394,R
1393,,-8.54%,R,-11.26%,R,-12.50%,,-12.14%,R,-5.03%,,-8.12%,R,-19.86%,,-27.58%,R,<5 Reviews,,<5 Reviews,,46.20%,,48.13%,,2.65%,,3.07%,G,90.70%,G,87.62%,G,0:35:35,,0:38:02,,1720/2578,,2148/2578,R
1435,,-12.68%,R,-14.34%,R,-6.97%,,-11.62%,R,9.32%,,-5.90%,R,-19.58%,,-31.95%,R,4.14,R,4.14,R,30.26%,R,39.33%,,0.98%,,3.31%,G,68.75%,,75.53%,G,0:53:00,R,0:50:14,,1874/2578,,2371/2578,R
1491,,-5.71%,,-3.82%,,-8.85%,,4.60%,,6.64%,,31.21%,,-34.90%,R,-21.80%,,<5 Reviews,,<5 Reviews,,33.33%,,34.28%,,4.76%,G,2.48%,G,51.35%,,46.66%,,0:40:08,,0:39:13,,1743/2578,,1363/2578,
1723,,-3.36%,,-10.69%,R,-2.10%,,-1.32%,,18.12%,,18.74%,,-22.62%,,-27.71%,R,3.60,R,3.60,R,43.86%,,42.97%,,1.21%,,1.45%,,81.68%,G,71.38%,G,0:37:50,,0:38:19,,1161/2578,,1845/2578,
1764,,7.21%,,8.08%,G,7.62%,,32.81%,G,27.39%,G,49.08%,G,-22.87%,,-7.17%,,<5 Reviews,,<5 Reviews,,40.34%,,41.16%,,21.82%,G,12.47%,G,52.41%,,51.01%,,0:28:50,G,0:31:12,,358/2578,G,172/2578,G
3394,,-11.47%,R,-7.05%,R,-10.16%,,-3.65%,,4.70%,,6.41%,,-37.37%,R,-31.47%,R,4.60,,4.60,,48.39%,,50.82%,,0.82%,,0.65%,,23.79%,,31.74%,,0:20:44,G,0:21:15,G,1792/2578,,1786/2578,
3762,,19.45%,G,11.52%,G,49.05%,G,61.04%,G,68.70%,G,88.26%,G,29.54%,G,18.79%,G,4.33,,4.33,,30.64%,R,32.56%,R,0.00%,R,0.43%,,57.96%,,65.45%,,0:52:40,R,0:53:17,R,213/2578,G,279/2578,G
Total,B,-2.10%,,-4.31%,R,0.60%,,6.99%,,16.73%,,21.42%,,-19.47%,,-20.21%,,4.08,R,4.08,R,39.14%,,41.11%,,5.34%,G,3.79%,G,64.56%,G,62.85%,G,0:38:40,,0:38:49,,139/394,,202/394,
581,,-2.57%,,-6.49%,R,4.89%,,5.37%,,31.50%,G,33.33%,G,-15.30%,,-18.40%,,3.29,R,3.29,R,63.61%,G,59.46%,G,6.69%,G,5.02%,G,74.01%,G,73.90%,G,0:57:54,R,1:01:04,R,855/2578,,1399/2578,
