store_nbr,acct_dept,UPC_Number,description,DEPT_CATEGORY_DESC,SIZE,pack_qty,pack_cost,base_retail
458,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
459,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
461,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
462,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
463,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
464,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
465,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
467,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
468,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
469,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
470,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
471,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
472,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
475,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
476,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
477,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
481,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
483,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
489,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
490,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
491,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
492,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
493,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
494,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
495,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
497,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
498,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
499,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
500,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
501,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
502,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
504,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
505,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
506,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
507,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
508,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
510,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
511,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
512,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
513,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
514,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
515,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
516,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
518,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
519,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
520,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
521,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
522,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
523,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
524,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
526,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
529,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
