Store,Dept,Inventory Dollars,Format
188,93,87009.61,WM Supercenter
188,94,30136.08,WM Supercenter
188,98,22179.93,WM Supercenter
189,80,14298.75,WM Supercenter
189,93,73816.84,WM Supercenter
189,94,24937.91,WM Supercenter
189,98,22180.41,WM Supercenter
190,80,11138.7,WM Supercenter
190,93,69510.33,WM Supercenter
190,94,22048.66,WM Supercenter
190,98,15270.85,WM Supercenter
192,80,15492.71,WM Supercenter
192,93,88665.59,WM Supercenter
192,94,26574.99,WM Supercenter
192,98,22183.81,WM Supercenter
194,80,21512.61,WM Supercenter
194,93,63122.23,WM Supercenter
194,94,25176.11,WM Supercenter
194,98,25621.71,WM Supercenter
195,80,12361.84,WM Supercenter
195,93,65197.35,WM Supercenter
195,94,11837.68,WM Supercenter
195,98,18738.2,WM Supercenter
196,80,15791.96,WM Supercenter
196,93,83907.5,WM Supercenter
196,94,30985.2,WM Supercenter
196,98,21305.02,WM Supercenter
197,80,11505.02,WM Supercenter
197,93,76475.66,WM Supercenter
197,94,28482.62,WM Supercenter
197,98,22275.29,WM Supercenter
198,80,14122.18,WM Supercenter
198,93,67748.01,WM Supercenter
198,94,28398.59,WM Supercenter
198,98,20776.93,WM Supercenter
199,80,14270.02,WM Supercenter
199,93,75087.93,WM Supercenter
199,94,24235.33,WM Supercenter
199,98,16556.76,WM Supercenter
200,80,10935.8,WM Supercenter
200,93,102515.53,WM Supercenter
200,94,27270.33,WM Supercenter
200,98,27254.7,WM Supercenter
201,80,15974.46,WM Supercenter
201,93,73625.41,WM Supercenter
201,94,19590.65,WM Supercenter
201,98,23289.42,WM Supercenter
202,80,7320.21,WM Supercenter
202,93,44046.59,WM Supercenter
202,94,24286.22,WM Supercenter
202,98,18679.41,WM Supercenter
203,80,10031.06,WM Supercenter
203,93,27216.94,WM Supercenter
203,94,12553.8,WM Supercenter
203,98,6612.79,WM Supercenter
204,80,10325.63,WM Supercenter
204,93,62893.85,WM Supercenter
204,94,20554.19,WM Supercenter
204,98,17838.58,WM Supercenter
205,80,15272.46,WM Supercenter
205,93,58137.44,WM Supercenter
205,94,19225.47,WM Supercenter
205,98,22508.58,WM Supercenter
206,80,10772.7,WM Supercenter
206,93,64190,WM Supercenter
206,94,13043.84,WM Supercenter
206,98,25918.17,WM Supercenter
207,80,2242.73,WM Supercenter
207,93,48054.68,WM Supercenter
207,94,16745.29,WM Supercenter
207,98,10782.39,WM Supercenter
209,80,140.21,Wal-Mart
209,93,2.14,Wal-Mart
209,94,2144.57,Wal-Mart
209,98,-374.26,Wal-Mart
210,80,-171.86,Wal-Mart
210,93,-0.17,Wal-Mart
210,94,33.23,Wal-Mart
210,98,-7.73,Wal-Mart
211,80,11952.64,WM Supercenter
211,93,59364.67,WM Supercenter
211,94,22794.72,WM Supercenter
211,98,21069.07,WM Supercenter
212,80,15106.11,WM Supercenter
212,93,83396.72,WM Supercenter
212,94,27175.81,WM Supercenter
212,98,28482.32,WM Supercenter
213,80,28326.92,WM Supercenter
213,93,67978.92,WM Supercenter
